pct_missing,n_runs,n_success,n_failed,n_objective_improved,n_not_improved,missingness_actual_mean,missingness_actual_std,n_missing_mean,n_missing_std,n_observed_mean,n_observed_std,optimized_variables_mean,optimized_variables_std,RMSE_miss_mean,RMSE_miss_std,MAE_miss_mean,MAE_miss_std,Pearson_miss_mean,Pearson_miss_std,Spearman_miss_mean,Spearman_miss_std,runtime_seconds_mean,runtime_seconds_std,Delta_init_mean,Delta_init_std,Delta_final_mean,Delta_final_std,Delta_reduction_percent_mean,Delta_reduction_percent_std,best_epoch_mean,best_epoch_std,epochs_used_mean,epochs_used_std,convergence_epoch_mean,convergence_epoch_std,final_learning_rate_mean,final_learning_rate_std,n_restarts_mean,n_restarts_std,best_restart_mean,best_restart_std,best_restart_initial_Delta_mean,best_restart_initial_Delta_std,best_restart_final_Delta_mean,best_restart_final_Delta_std,upper_bound_mean,upper_bound_std,initial_global_mean_mean,initial_global_mean_std,initial_global_median_mean,initial_global_median_std,observed_max_distance_mean,observed_max_distance_std,Delta_total_completed_mean,Delta_total_completed_std,Delta_normalized_completed_mean,Delta_normalized_completed_std,Delta_per_triangle_completed_mean,Delta_per_triangle_completed_std,Delta_relative_to_original_mean,Delta_relative_to_original_std,max_abs_error_observed_mean,max_abs_error_observed_std,mean_abs_error_observed_mean,mean_abs_error_observed_std
30,30,30,0,30,0,0.30476190476190484,5.646012854083702e-17,32.0,0.0,73.0,0.0,32.0,0.0,0.015575763281895388,0.007801913907610776,0.007951764704051303,0.0035898611691984315,0.9605790038667689,0.026481530626852854,0.9392717497556206,0.038401735173617946,21.652095036899997,0.21871749630661003,140.531146708479,50.63717660017592,33.840572215745496,2.5407752564558166,73.96376262829132,6.185283263424796,4750.0,254.2738138578039,5000.0,0.0,4750.0,254.2738138578039,0.0025000000000000005,4.410947542252892e-19,1.0,0.0,0.0,0.0,140.531146708479,50.63717660017592,33.840572215745496,2.5407752564558166,0.4341441709313212,0.002977070660176744,0.2289209928330434,0.003560347312885138,0.25082975794255424,0.00483842279282309,0.2894294472875474,0.0019847137734511633,33.840572215745496,2.5407752564558166,0.014883841591094097,0.0010006212901477734,0.07437488399064945,0.005584121442760035,0.7239336042986938,0.054353471844166265,0.0,0.0,0.0,0.0
50,30,30,0,30,0,0.49523809523809526,0.0,52.0,0.0,53.0,0.0,52.0,0.0,0.021235373804624872,0.009828117515469009,0.011195678231907445,0.005096114801382991,0.9274517483453874,0.05946548776902239,0.8969606420216852,0.08288653442813816,34.998940224300064,0.2825734342890426,134.7651203531126,49.90226672860016,24.302985705291622,2.7580613104498286,80.18026471888666,5.507801952111344,4650.0,233.04579984969953,5000.0,0.0,4650.0,233.04579984969953,0.0025000000000000005,4.410947542252892e-19,1.0,0.0,0.0,0.0,134.7651203531126,49.90226672860016,24.302985705291622,2.7580613104498286,0.432560839495089,0.004439791433144561,0.22937607717707909,0.004683012783099712,0.24787734630546077,0.012808824960706088,0.288373892996726,0.002959860955429707,24.302985705291622,2.7580613104498286,0.010779820555332605,0.0010983431826379077,0.05341315539624532,0.006061673209779843,0.5199010207240319,0.059001758381074645,0.0,0.0,0.0,0.0
65,30,30,0,30,0,0.6476190476190479,2.2584051416334807e-16,68.0,0.0,37.0,0.0,68.0,0.0,0.03180423542506293,0.011657063789030631,0.017239502707975134,0.006767489484470117,0.8347344008305249,0.11526095997271328,0.81454110521561,0.13633113668598276,46.2936628195333,0.7477611816844912,123.23849899018059,49.76807069409758,15.127200546029801,2.481448392065995,86.23498263277752,4.4482399747063885,4766.666666666667,253.7081317024624,5000.0,0.0,4766.666666666667,253.7081317024624,0.0025000000000000005,4.410947542252892e-19,1.0,0.0,0.0,0.0,123.23849899018059,49.76807069409758,15.127200546029801,2.481448392065995,0.43016362663801055,0.005708368907130207,0.22822243978034842,0.006418527780931558,0.24529480180119806,0.015282077572426916,0.286775751092007,0.0038055792714201354,15.127200546029801,2.481448392065995,0.006688537506437716,0.0009850326001444754,0.0332465946066589,0.005453732729815373,0.32360826360794087,0.053084323364771466,0.0,0.0,0.0,0.0
85,30,30,0,30,0,0.8476190476190477,1.1292025708167404e-16,89.0,0.0,16.0,0.0,89.0,0.0,0.05726980183506827,0.010403248236732365,0.03648521735872764,0.008661228525941736,0.4629835501096663,0.1877898523832292,0.4145369424582909,0.2814445738405207,60.6055258788,0.5758322695716567,83.0967867639632,35.00618158496958,2.6329307824286983,1.2323726220195008,96.5760043278916,1.5072786413036192,4766.666666666667,253.70813170246242,5000.0,0.0,4766.666666666667,253.70813170246242,0.0025000000000000005,4.410947542252892e-19,1.0,0.0,0.0,0.0,83.0967867639632,35.00618158496958,2.6329307824286983,1.2323726220195008,0.424632908504044,0.007332994596970093,0.22944520664145027,0.011427265897362846,0.23951195193023803,0.019436532392989238,0.28308860566936267,0.004888663064646724,2.6329307824286983,1.2323726220195008,0.001202747442401324,0.0005209636330873878,0.0057866610602828545,0.0027085112571857166,0.05632490665467308,0.02636350084182392,0.0,0.0,0.0,0.0
