method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,embedding_dim,full_dim,max_iter,tol,init_method,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,stress_init,stress_final,stress_reduction_percent,best_epoch,epochs_used,convergence_epoch,last_rel_change,n_success,n_failed
MDS-SMACOF,30,0.3,0.3047619047619048,11,65,105,32,73,210,32,True,True,True,,missing_p30_rep11_seed65.csv,MDS_SMACOF_completed_p30_rep11_seed65.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04416805900018517,0.04193251293877063,0.0361497582250255,0.46415381006898976,0.3643695014662756,0.0,0.0,0.005463315269918479,3.4345190485638174e-18,99.99999999999993,973,973,973,9.912212171993822e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,12,66,105,32,73,210,32,True,True,True,,missing_p30_rep12_seed66.csv,MDS_SMACOF_completed_p30_rep12_seed66.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.0461608719999731,0.04195115215800314,0.03022490845225903,0.7359945474853594,0.7587976539589442,0.0,0.0,0.02354453589231496,3.3844259779814784e-18,99.99999999999999,974,974,974,9.856448010342421e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,13,67,105,32,73,210,32,True,True,True,,missing_p30_rep13_seed67.csv,MDS_SMACOF_completed_p30_rep13_seed67.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.03174642199996924,0.06290663090080618,0.04750341179483915,0.6406803841779111,0.6667888563049853,0.0,0.0,0.0033041791029154804,2.303307471628143e-18,99.99999999999993,662,662,662,9.923314954268113e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,14,68,105,32,73,210,32,True,True,True,,missing_p30_rep14_seed68.csv,MDS_SMACOF_completed_p30_rep14_seed68.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.03406104600003346,0.03534807445781138,0.02893332622361614,0.8504199961496629,0.6774193548387096,0.0,0.0,0.014456488461420329,2.5944580083078116e-18,99.99999999999999,801,801,801,9.8778002694749e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,15,69,105,32,73,210,32,True,True,True,,missing_p30_rep15_seed69.csv,MDS_SMACOF_completed_p30_rep15_seed69.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.05494691299986698,0.02958689109820959,0.024537095069966104,0.8420855784290618,0.844941348973607,0.0,0.0,0.02360317533891065,4.781206045195573e-17,99.99999999999979,1000,1000,1000,1.2911476392578266e-06,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,16,70,105,32,73,210,32,True,True,True,,missing_p30_rep16_seed70.csv,MDS_SMACOF_completed_p30_rep16_seed70.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.047117714999785676,0.03502646301076437,0.026890746875346108,0.8083975494350106,0.6381964809384163,0.0,0.0,0.025548659628006946,1.1999670028558333e-16,99.99999999999953,1000,1000,1000,3.178064273221154e-06,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,17,71,105,32,73,210,32,True,True,True,,missing_p30_rep17_seed71.csv,MDS_SMACOF_completed_p30_rep17_seed71.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.05365557999994053,0.03051598459727512,0.02430645967051738,0.892134094505165,0.7272727272727272,0.0,0.0,0.017785375886630005,2.8719643136249314e-18,99.99999999999999,842,842,842,9.949330392605189e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,18,72,105,32,73,210,32,True,True,True,,missing_p30_rep18_seed72.csv,MDS_SMACOF_completed_p30_rep18_seed72.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.05029765800009045,0.03660643792107138,0.030487048523236412,0.7739409018878765,0.7327712609970675,0.0,0.0,0.015945479416183603,5.859050297823647e-14,99.99999999963255,1000,1000,1000,0.0011828300646304615,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,19,73,105,32,73,210,32,True,True,True,,missing_p30_rep19_seed73.csv,MDS_SMACOF_completed_p30_rep19_seed73.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.026119411999843578,0.03582125473892881,0.027000867796501418,0.9046710376333675,0.8181818181818181,0.0,0.0,0.018219352551041762,1.936630495574846e-18,99.99999999999999,585,585,585,9.771721225537644e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,20,74,105,32,73,210,32,True,True,True,,missing_p30_rep20_seed74.csv,MDS_SMACOF_completed_p30_rep20_seed74.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04260244400006741,0.036769979704643796,0.030619212213129028,0.6091645036797976,0.7617302052785923,0.0,0.0,0.0060750733640392435,3.130973998171321e-18,99.99999999999993,904,904,904,9.875486006773906e-08,30,0
