method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
NJstar-STRICT,30,13,67,NJstar_STRICT_completed_p30_rep13_seed67.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep13_seed67.csv,0.3047619047619048,105,32,73,0,32,0.0322939300306808,0.0177774138022565,0.907924123855448,0.9010263929618768,0.0081029109999235,True,True,True,13,13,0.0186431970812209,0.9053211346647828,0.0,0.0,missing_p30_rep13_seed67.csv,NJstar_STRICT_completed_p30_rep13_seed67.csv,
NJstar-STRICT,30,14,68,NJstar_STRICT_completed_p30_rep14_seed68.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep14_seed68.csv,0.3047619047619048,105,32,73,0,32,0.0049322016814333,0.0041470261886456,0.9956696131950608,0.972507331378299,0.0085694609999791,True,True,True,13,13,0.0191572244757339,0.9473854471589436,0.0,0.0,missing_p30_rep14_seed68.csv,NJstar_STRICT_completed_p30_rep14_seed68.csv,
NJstar-STRICT,30,15,69,NJstar_STRICT_completed_p30_rep15_seed69.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,0,32,0.0235292562791137,0.0173876982594565,0.9091498071726808,0.8717008797653958,0.0094764349998968,True,True,True,13,13,0.0380411869219978,2.6071193496089955,0.0,0.0,missing_p30_rep15_seed69.csv,NJstar_STRICT_completed_p30_rep15_seed69.csv,
NJstar-STRICT,30,16,70,NJstar_STRICT_completed_p30_rep16_seed70.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,0,32,0.0239236054219064,0.0108736191836723,0.9107042118457198,0.8174486803519062,0.0085749620000115,True,True,True,13,13,0.0188585674879627,0.9079614113806918,0.0,0.0,missing_p30_rep16_seed70.csv,NJstar_STRICT_completed_p30_rep16_seed70.csv,
NJstar-STRICT,30,17,71,NJstar_STRICT_completed_p30_rep17_seed71.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,0,32,0.0326026461051208,0.0250035809595796,0.8729930527962869,0.6664222873900293,0.00847009600011,True,True,True,13,13,0.0504717111226869,7.208075853771417,0.0,0.0,missing_p30_rep17_seed71.csv,NJstar_STRICT_completed_p30_rep17_seed71.csv,
NJstar-STRICT,30,18,72,NJstar_STRICT_completed_p30_rep18_seed72.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,0,32,0.0199731462911077,0.0143448070195318,0.9439239108301116,0.936950146627566,0.0133524820000729,True,True,True,13,13,0.0431897920182294,4.077244986767557,0.0,0.0,missing_p30_rep18_seed72.csv,NJstar_STRICT_completed_p30_rep18_seed72.csv,
NJstar-STRICT,30,19,73,NJstar_STRICT_completed_p30_rep19_seed73.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,0,32,0.0184770606035559,0.014274002950173,0.9537485268273996,0.846407624633431,0.0141995279998354,True,True,True,13,13,0.0287141999668913,1.518181405797158,0.0,0.0,missing_p30_rep19_seed73.csv,NJstar_STRICT_completed_p30_rep19_seed73.csv,
NJstar-STRICT,30,22,76,NJstar_STRICT_completed_p30_rep22_seed76.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,0,32,0.0139503257536577,0.0105824275742598,0.949331764809018,0.8717008797653958,0.0130762100000083,True,True,True,13,13,0.0283386788277065,1.5333597341145648,0.0,0.0,missing_p30_rep22_seed76.csv,NJstar_STRICT_completed_p30_rep22_seed76.csv,
NJstar-STRICT,30,23,77,NJstar_STRICT_completed_p30_rep23_seed77.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,0,32,0.0140900108757891,0.0056952130060612,0.956162489926327,0.8335777126099706,0.0089263289999053,True,True,True,13,13,0.0202994253688748,1.023680783834715,0.0,0.0,missing_p30_rep23_seed77.csv,NJstar_STRICT_completed_p30_rep23_seed77.csv,
NJstar-STRICT,30,25,79,NJstar_STRICT_completed_p30_rep25_seed79.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,0,32,0.0178405430432478,0.0098904683720396,0.9437972539266548,0.9006598240469208,0.0081554130001677,True,True,True,13,13,0.023761289883797,1.2682281284357184,0.0,0.0,missing_p30_rep25_seed79.csv,NJstar_STRICT_completed_p30_rep25_seed79.csv,
