method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
NJstar-STRICT,30,11,65,NJstar_STRICT_completed_p30_rep11_seed65.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep11_seed65.csv,True,,NJstar-STRICT_NJ_p30_rep11_seed65.treefile,0.3047619047619048,105,32,73,0,32,0.0209264455168307,0.011292269834832,0.8796791728539531,0.9145894428152492,0.0090589589999581,True,True,True,13,13,0.020747071113324,1.0516457881254049,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T7|T9;T10|T7|T9;T1|T2|T3|T4|T5|T6|T8,T7|T8;T7|T8|T9;T10|T7|T8|T9,0.4022424548288228,0.45205216293060885,0.9407353440021186,0.9488181629691064,0.40279938754885913,0.4526403089655384,0.9402737557020415,0.9522911051212938,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,12,66,NJstar_STRICT_completed_p30_rep12_seed66.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep12_seed66.csv,True,,NJstar-STRICT_NJ_p30_rep12_seed66.treefile,0.3047619047619048,105,32,73,0,32,0.0270633043779722,0.0200169448901906,0.9001350449433178,0.8563049853372433,0.0095882850000634,True,True,True,13,13,0.0387389077689281,3.127526477834236,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T5|T6;T4|T5|T6,T1|T2|T3|T4;T1|T2|T3|T4|T5,0.40232251261355395,0.45197956709523524,0.9555715032179737,0.971366369479577,0.40261539270531,0.4523865286579863,0.9423521431852159,0.9575990047688161,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,13,67,NJstar_STRICT_completed_p30_rep13_seed67.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep13_seed67.csv,True,,NJstar-STRICT_NJ_p30_rep13_seed67.treefile,0.3047619047619048,105,32,73,0,32,0.0322939300306808,0.0177774138022565,0.907924123855448,0.9010263929618768,0.0081029109999235,True,True,True,13,13,0.0186431970812209,0.9053211346647828,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T1|T3;T1|T3|T5;T1|T3|T4|T5;T11|T13|T14|T15,T11|T12;T2|T3;T1|T2|T3;T1|T2|T3|T4,0.40358233987651143,0.4532744361784645,0.9564126737340386,0.9613311217084802,0.4036180457618933,0.45334104069943343,0.9509854063210339,0.9408355795148247,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,14,68,NJstar_STRICT_completed_p30_rep14_seed68.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep14_seed68.csv,True,,NJstar-STRICT_NJ_p30_rep14_seed68.treefile,0.3047619047619048,105,32,73,0,32,0.0049322016814333,0.0041470261886456,0.9956696131950608,0.972507331378299,0.0085694609999791,True,True,True,13,13,0.0191572244757339,0.9473854471589436,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.40403250671299135,0.4521862287797067,0.9715175826163244,0.9810284055567073,0.4044189153998754,0.45269486869827497,0.9698243026048716,0.9745283018867924,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,15,69,NJstar_STRICT_completed_p30_rep15_seed69.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep15_seed69.csv,True,,NJstar-STRICT_NJ_p30_rep15_seed69.treefile,0.3047619047619048,105,32,73,0,32,0.0235292562791137,0.0173876982594565,0.9091498071726808,0.8717008797653958,0.0094764349998968,True,True,True,13,13,0.0380411869219978,2.6071193496089955,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T10|T9,T7|T8|T9,0.4021572235670254,0.4502898395026662,0.9563718664614882,0.9479369686916858,0.40242991762357777,0.450839036468798,0.9502721898290323,0.9473978851337342,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,16,70,NJstar_STRICT_completed_p30_rep16_seed70.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep16_seed70.csv,True,,NJstar-STRICT_NJ_p30_rep16_seed70.treefile,0.3047619047619048,105,32,73,0,32,0.0239236054219064,0.0108736191836723,0.9107042118457198,0.8174486803519062,0.0085749620000115,True,True,True,13,13,0.0188585674879627,0.9079614113806918,0.0,0.0,10.0,0.4166666666666667,7.0,12.0,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,T1|T2;T11|T15;T13|T14;T8|T9;T12|T13|T14,T11|T12;T14|T15;T2|T3;T7|T8;T13|T14|T15,0.4024535190766891,0.4514839795964424,0.939168009516007,0.9297947335683184,0.40264036481092746,0.45164337931991705,0.9390191518422244,0.9287061994609164,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,17,71,NJstar_STRICT_completed_p30_rep17_seed71.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep17_seed71.csv,True,,NJstar-STRICT_NJ_p30_rep17_seed71.treefile,0.3047619047619048,105,32,73,0,32,0.0326026461051208,0.0250035809595796,0.8729930527962869,0.6664222873900293,0.00847009600011,True,True,True,13,13,0.0504717111226869,7.208075853771417,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T10|T11|T12|T7|T8|T9,T11|T12|T13|T14|T15,0.39946417600581535,0.44919495258243425,0.9204677022134243,0.9121293800539083,0.3990787593533455,0.4479738694723771,0.9208084164567987,0.9108231391250259,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,18,72,NJstar_STRICT_completed_p30_rep18_seed72.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep18_seed72.csv,True,,NJstar-STRICT_NJ_p30_rep18_seed72.treefile,0.3047619047619048,105,32,73,0,32,0.0199731462911077,0.0143448070195318,0.9439239108301116,0.936950146627566,0.0133524820000729,True,True,True,13,13,0.0431897920182294,4.077244986767557,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T7|T9;T1|T2|T3|T4|T6,T7|T8;T1|T2|T3|T4|T5,0.40455528988401107,0.45300490396365517,0.9477629823345336,0.9692618702052663,0.4048903295896366,0.45326100518330165,0.9389782513946108,0.9794215218743519,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,19,73,NJstar_STRICT_completed_p30_rep19_seed73.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep19_seed73.csv,True,,NJstar-STRICT_NJ_p30_rep19_seed73.treefile,0.3047619047619048,105,32,73,0,32,0.0184770606035559,0.014274002950173,0.9537485268273996,0.846407624633431,0.0141995279998354,True,True,True,13,13,0.0287141999668913,1.518181405797158,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T1|T2;T13|T15,T14|T15;T2|T3,0.40476848098330875,0.4544542258776632,0.9475768684039967,0.9284055567074435,0.4046742359703583,0.4542430441294216,0.9441110071119828,0.9175305826249223,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,22,76,NJstar_STRICT_completed_p30_rep22_seed76.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep22_seed76.csv,True,,NJstar-STRICT_NJ_p30_rep22_seed76.treefile,0.3047619047619048,105,32,73,0,32,0.0139503257536577,0.0105824275742598,0.949331764809018,0.8717008797653958,0.0130762100000083,True,True,True,13,13,0.0283386788277065,1.5333597341145648,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T13|T14,T14|T15,0.40378658641280835,0.4528800714997078,0.9563260128135982,0.9665249844495126,0.4043305664305456,0.45325955745751323,0.9559522814066479,0.9602736885755753,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
