% Missing,Δ_total_mean,Δ_total_std,Δ_normalized_mean,Δ_normalized_std,Δ_per_triangle_mean,Δ_per_triangle_std,Δ_relative_mean,Δ_relative_std,OK_count
Original,105.56027075215538,0.0,0.037555301232970975,0.0,0.23200059505968215,0.0,1.0,0.0,1
30%,815.5664076167832,112.53896792466422,0.13911362268691932,0.007704740546310401,1.7924536431138094,0.24733839104321811,7.726073472581828,1.0661110200152297,5
50%,1311.0055641191198,285.4694263668355,0.19776924310868602,0.014964425301052122,2.8813309101519113,0.6274053326743636,12.419497930213018,2.7043263941325826,5
65%,1483.1376914222667,199.64623567048832,0.23656736623782404,0.009957446740321167,3.2596432778511355,0.4387829355395348,14.050150505056214,1.8913009056147367,5
85%,5430136472756.736,985047943102.6536,0.4543385717481991,0.06311314134856641,11934365874.190632,2164940534.2915463,51441100274.421776,9331616299.236715,5
90%,8899282947291.074,1600971306623.1663,0.6226412338625019,0.11281652897966649,19558863620.41994,3518618256.314651,84305230404.20834,15166419100.81949,5
