method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,__metadata_scope,__metadata_source,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.054022340197619124,scipy.optimize.nnls,3.17394,1.4301369616426984,1.7438030383573015,0.549412729401722,0.3047619047619048,105,32,73,0,missing_p30_rep01_seed55.csv,0.0351652650001597,0.0241171707913017,0.0162888465840724,0.8952403033797504,0.7723607038123166,74.6403245174846,0.0271066030049759,0.1640446692691969,1.596741296496911,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.06477501148117705,0.0918483674550126,-0.06458529771693709,0.22847780039040408,0.6789191987268773,0.5763125763125762,0.6283177430000539,0.5510265821004116,0.06306874870133797,0.08987108910322117,-0.06306874870133797,0.22847780039040408,0.8372439197787751,0.8999999999999999,0.5176232763302154,0.4279464363190898,0.06690783995597592,0.09426165730874292,-0.066480983986436,0.22637,-0.38070960274635673,-0.0979020979020979,0.9243447802103331,0.8334742496929451,0.4033016528373308,0.4539193476148931,-0.4033016528373308,0.7253630300188181,0.9326931455254704,0.8993261455525605,0.6650248881549272,0.6368868981685956,0.4033016528373308,0.4539816294308408,-0.4033016528373308,0.7327544848805582,0.9265744713079572,0.8894464026539497,0.6651161355492107,0.6368868981685956
NJstar-STRICT,30,2,56,NJstar_STRICT_completed_p30_rep02_seed56.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.10256432613462928,scipy.optimize.nnls,3.17394,1.4616269849129757,1.7123130150870243,0.5394912994848751,0.3047619047619048,105,32,73,0,missing_p30_rep02_seed56.csv,0.0152663910000683,0.0356191608574817,0.0167570385815569,0.8669898281327921,0.935850439882698,46.404403480785,0.0204939290487071,0.1019876999577692,0.9927050539513312,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.07175182303145962,0.09150935567037621,-0.06341900055877868,0.22243987958695033,0.6914496850971746,0.7208059922172125,0.6259986259022189,0.6103767625882688,0.07558833603708241,0.09666562266606797,-0.06058925558625673,0.22243987958695033,0.9192941439535255,0.8535714285714284,0.5567572042599963,0.51289679437818,0.06695618177443109,0.08462335160842659,-0.06695618177443109,0.18287051201674945,0.9351648718487285,0.9562186292818428,0.8298300239613723,0.8340764461006043,0.40487109544966293,0.4537990948434495,-0.40190831055895077,0.7115500308246112,0.9814548778200892,0.9684947128343354,0.6648487090907392,0.6393653344214343,0.4065018139642438,0.453978805006763,-0.40190831055895077,0.7147709012439706,0.9554028035429531,0.9713249015135808,0.6651119975623275,0.6419405365046165
NJstar-STRICT,30,3,57,NJstar_STRICT_completed_p30_rep03_seed57.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.017597423099461044,scipy.optimize.nnls,3.17394,1.4503537513284392,1.7235862486715607,0.5430431100372284,0.3047619047619048,105,32,73,0,missing_p30_rep03_seed57.csv,0.0085601779999251,0.0246785935329829,0.0124952084943466,0.9100911635361644,0.9153225806451613,40.32479893716925,0.0177281451262582,0.0886259317300423,0.8626472640915414,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.06474148298446473,0.09194469198269341,-0.06383652772857631,0.22633837732866086,0.6632764095648772,0.6196581196581197,0.6289766813296611,0.5507413626535309,0.06193139942127136,0.09081483846553517,-0.06193139942127136,0.22224983779918897,0.7966062201636505,0.8857142857142855,0.5230589135504838,0.4202290710426758,0.06825408743845647,0.09333777775708645,-0.06621793811270751,0.22633837732866086,-0.1723317052992369,-0.18181818181818185,0.9152850706157987,0.8502445207269493,0.4014444223573182,0.4520166619250059,-0.4014444223573182,0.7118534829387996,0.9261248523996511,0.9497408252125232,0.6622373151097158,0.6339539923615457,0.4014444223573182,0.4520291947628901,-0.4014444223573182,0.7147709012439706,0.9252972403263204,0.949409081484553,0.6622556766295673,0.6339539923615457
NJstar-STRICT,30,4,58,NJstar_STRICT_completed_p30_rep04_seed58.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.019578627599985552,scipy.optimize.nnls,3.17394,1.40334091552986,1.77059908447014,0.5578552475693114,0.3047619047619048,105,32,73,0,missing_p30_rep04_seed58.csv,0.0169525420001264,0.0155651566870447,0.0051026850395096,0.9487487823082412,0.9534457478005866,43.78849977027617,0.0190119867569614,0.096238461033574,0.9367443985116498,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.06557774386926443,0.09205411694280238,-0.06557774386926443,0.22637,0.6974902780310015,0.6623931623931624,0.6297252373015156,0.5578552475693113,0.0650328198265064,0.09223486005312354,-0.0650328198265064,0.2222214138196681,0.8290812393239856,0.9035714285714285,0.5312376975616901,0.44127343671152386,0.06625889892271199,0.09182768777712937,-0.06625889892271199,0.22637,-0.025000185544462383,0.16783216783216784,0.9004768884718191,0.8253903593573655,0.4038630668868703,0.4529798611091594,-0.4038630668868703,0.7122689410112157,0.9520128582154759,0.9707650839726311,0.6636484720323682,0.637773473391097,0.4038630668868703,0.4529940120904922,-0.4038630668868703,0.7147709012439706,0.9510485772236095,0.9681526021148663,0.6636692042501677,0.637773473391097
NJstar-STRICT,30,5,59,NJstar_STRICT_completed_p30_rep05_seed59.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.061203105617669375,scipy.optimize.nnls,3.17394,1.3944445601403788,1.7794954398596212,0.5606581850506378,0.3047619047619048,105,32,73,0,missing_p30_rep05_seed59.csv,0.0090912759999355,0.0153143543733969,0.0114867107029664,0.9533714381885562,0.8691348973607038,78.06795343482614,0.0282400854823106,0.1715779196369805,1.670066763351013,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.06590723851331931,0.08881232318306097,-0.06590723851331931,0.21464047250901308,0.7958287266542695,0.78797131127176,0.6075487240456862,0.5606581850506378,0.06687268925510025,0.09201227064413957,-0.06687268925510025,0.21464047250901308,0.9143313811363369,0.8678571428571429,0.5299556672635777,0.45375767940655093,0.06470042508609311,0.08464243763783665,-0.06470042508609311,0.1837481586339998,0.7305845695391541,0.6059553951126696,0.8300171845966064,0.805976374202611,0.40410602329081174,0.4527092232217271,-0.40410602329081174,0.7120978134133698,0.9632502088517743,0.9711279286750986,0.6632519678256938,0.638157145883902,0.40410602329081174,0.45276099497887323,-0.40410602329081174,0.7157327674770604,0.9568095636304843,0.9553182666390213,0.6633278172187339,0.638157145883902
NJstar-STRICT,30,6,60,NJstar_STRICT_completed_p30_rep06_seed60.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.08300863958694528,scipy.optimize.nnls,3.17394,1.3807548892507968,1.7931851107492032,0.5649713323973368,0.3047619047619048,105,32,73,0,missing_p30_rep06_seed60.csv,0.0081169319998934,0.0227847445182056,0.0180677912371008,0.9008665111598276,0.8016862170087976,93.20265621261676,0.0358436145456076,0.2048410026650918,1.9938355182663785,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.0664142633610816,0.09012971961818789,-0.0664142633610816,0.23114483256117896,0.7875503951426861,0.7393162393162392,0.6165607901029375,0.5649713323973368,0.0686869753353998,0.09426492116240869,-0.0686869753353998,0.23114483256117896,0.9138108995962066,0.9714285714285713,0.5429300770913499,0.4660683289519264,0.06357337339318384,0.08467721124556304,-0.06357337339318384,0.17893336116133765,0.655064497760321,0.2657342657342658,0.8303581801159797,0.7919366358889723,0.4062883142888533,0.45662288054237343,-0.4062883142888533,0.7336311100833244,0.9332570003248495,0.8957910014513788,0.6689857607023696,0.6416033815610084,0.4062883142888532,0.45669473197981003,-0.4062883142888532,0.7478890507889048,0.9214767033168502,0.8870619946091644,0.6690910282887725,0.6416033815610082
NJstar-STRICT,30,7,61,NJstar_STRICT_completed_p30_rep07_seed61.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.057419761122138036,scipy.optimize.nnls,3.17394,1.4077450091105708,1.7661949908894292,0.5564676682260626,0.3047619047619048,105,32,73,0,missing_p30_rep07_seed61.csv,0.0081816350000281,0.0211729003062513,0.0145704738470521,0.9417190096804612,0.9270527859237536,62.42459223528698,0.0260948849910002,0.1371969060116197,1.3354165457267528,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.07062056606752962,0.09108854789740438,-0.06541462929220107,0.22395691658383077,0.7519572583791269,0.7354602436472957,0.6231199575330718,0.6007534117920628,0.07472845172171368,0.09603137185291877,-0.06535776552612231,0.22395691658383077,0.9584832110097397,0.9535714285714283,0.5531041609154306,0.507062138768453,0.06548570899979955,0.08450442314274413,-0.06548570899979955,0.18181276823734205,0.8633338777328761,0.7600712181471057,0.828663792541189,0.8157586944987538,0.4056428097235077,0.45392274738707383,-0.4043041402669946,0.7152920470720894,0.9745982559583733,0.9655090192826041,0.6650298690686647,0.6405840120704933,0.40573060168198294,0.45396713705333824,-0.40430414026699474,0.7195140490566838,0.9681780173777208,0.9534418411776903,0.66509490316117,0.6407226515918643
NJstar-STRICT,30,8,62,NJstar_STRICT_completed_p30_rep08_seed62.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.09209116216494162,scipy.optimize.nnls,3.17394,1.3556153741624288,1.8183246258375712,0.5728919342639026,0.3047619047619048,105,32,73,0,missing_p30_rep08_seed62.csv,0.0085106980000091,0.0227435804213068,0.0187000053898003,0.8658240926066267,0.753299120234604,131.6989834536142,0.0405839640726513,0.2894483152826685,2.817367246812929,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.06734535651250263,0.09002910666507785,-0.06734535651250263,0.2076765949731651,0.8117110098652336,0.7417582417582417,0.6158725154458443,0.5728919342639026,0.07048634198689939,0.09318887193452094,-0.07048634198689939,0.2076765949731651,0.9686020967572837,0.9928571428571428,0.5367324429868813,0.4782777442645268,0.06341912466950668,0.0859161381232667,-0.06341912466950668,0.18896461404285358,0.5361977551558532,0.39860139860139865,0.8425072938188792,0.7900151519594731,0.40449151712507536,0.453154326786317,-0.40449151712507536,0.713566693713707,0.955665862945812,0.915467551316608,0.663904076949956,0.6387659109872434,0.4044915171250754,0.4532570550165411,-0.4044915171250754,0.7147709012439706,0.9419799985689421,0.912253783951897,0.664054581285526,0.6387659109872436
NJstar-STRICT,30,9,63,NJstar_STRICT_completed_p30_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.15280853103115502,scipy.optimize.nnls,3.17394,1.414279946467556,1.759660053532444,0.5544087328470116,0.3047619047619048,105,32,73,0,missing_p30_rep09_seed63.csv,0.0089942940001037,0.0346064314795502,0.0265797781689502,0.8786108231259806,0.8555718475073313,158.83191447317955,0.0500885199585631,0.3490811307102847,3.397807802692255,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.06857986571832243,0.08986379743812799,-0.0651725945752757,0.22111620843056995,0.7782950124935841,0.743397963171924,0.6147416655107587,0.5833936288634018,0.07190973264329616,0.09482272661554379,-0.06577664458581203,0.22111620843056995,0.9691068584520147,0.9285714285714284,0.5461428242505061,0.487936013556969,0.06441753206210528,0.08325078287316177,-0.06441753206210528,0.18329712673262716,0.8121330734193785,0.7775843798555645,0.8163703969810577,0.8024523619035028,0.3995630339449373,0.4485145836639114,-0.3986868785081539,0.7104259863064424,0.9657644724352076,0.9632904831018038,0.6571065155169431,0.6309829367713151,0.39978628919241044,0.4487889915114671,-0.3986868785081539,0.7147709012439706,0.9267610888163527,0.9322413435620982,0.6575085429896395,0.6313354975432899
NJstar-STRICT,30,10,64,NJstar_STRICT_completed_p30_rep10_seed64.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.09874029929907922,scipy.optimize.nnls,3.17394,1.5103187339829551,1.6636212660170449,0.5241501937708478,0.3047619047619048,105,32,73,0,missing_p30_rep10_seed64.csv,0.0083127269999749,0.0407195001486897,0.0226471161488604,0.8301837299942034,0.8651026392961876,49.6996853213155,0.0209569463950167,0.1092300776292648,1.0631992892374975,0.0,0.0,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv,0.06947487593086421,0.09323762579024765,-0.06161560244507574,0.22637,0.5979576730052862,0.627978125722438,0.6378214030631078,0.5910072812130456,0.06875286421531476,0.09354377332761488,-0.054606171940895516,0.22229236987053685,0.7425761201243078,0.8571428571428571,0.5387765399673513,0.46651541109535355,0.070377390575301,0.0928535219110984,-0.070377390575301,0.22637,0.3252907736117145,0.3873335483621993,0.9105363808907786,0.8766946122261909,0.4033779590359865,0.4534504400560007,-0.400592441431115,0.7116281022224432,0.9684662865647998,0.9645552560646898,0.6643379044461563,0.637007399579465,0.40425690384398205,0.4540373901283503,-0.400592441431115,0.7147709012439706,0.9268067243981954,0.9357039187227866,0.6651978290302654,0.6383954138077416
