restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,226.91950487503468,226.91950487503468,0.49872418653853773,0.49872418653853773,1,0.01,52,checkpoint
0,500,46.55478709239381,46.55478709239381,0.1023182133898765,0.1023182133898765,500,0.01,52,checkpoint
0,1000,37.07752978908341,37.07752978908341,0.08148907645952397,0.08148907645952397,1000,0.005,52,checkpoint
0,1500,36.22874315548601,36.22874315548601,0.07962361133073848,0.07962361133073848,1500,0.005,52,checkpoint
0,2000,32.597621393972545,32.597621393972545,0.0716431239427968,0.0716431239427968,2000,0.0025,52,checkpoint
0,2500,27.507894770832053,27.507894770832053,0.06045691158424627,0.06045691158424627,2500,0.0025,52,checkpoint
0,3000,27.081054767717212,27.081054767717212,0.059518801687290575,0.059518801687290575,3000,0.0025,52,checkpoint
0,3500,30.47563841487542,27.081054767717212,0.06697942508763828,0.059518801687290575,3000,0.0025,52,checkpoint
0,4000,27.418410533634333,27.081054767717212,0.06026024293106447,0.059518801687290575,3000,0.00125,52,checkpoint
0,4500,27.057907586120308,27.057907586120308,0.059467928760703975,0.059467928760703975,4500,0.00125,52,checkpoint
0,5000,25.933675912210795,25.933675912210795,0.056997089916946804,0.056997089916946804,5000,0.00125,52,checkpoint
