restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,397.7582461865753,397.7582461865753,0.8741939476628029,0.8741939476628029,1,0.02,89,checkpoint
0,500,26.697918795219096,26.697918795219096,0.05867674460487713,0.05867674460487713,500,0.02,89,checkpoint
0,1000,15.48520019461074,15.48520019461074,0.03403340702112251,0.03403340702112251,1000,0.01,89,checkpoint
0,1500,14.235318786369108,14.235318786369108,0.03128641491509694,0.03128641491509694,1500,0.01,89,checkpoint
0,2000,15.172769461849926,14.235318786369108,0.033346746069999836,0.03128641491509694,1500,0.005,89,checkpoint
0,2500,7.822845913331306,7.822845913331306,0.017193067941387485,0.017193067941387485,2500,0.005,89,checkpoint
0,3000,7.253279515933237,7.253279515933237,0.01594127366139173,0.01594127366139173,3000,0.005,89,checkpoint
0,3500,7.633341676935989,7.253279515933237,0.01677657511414503,0.01594127366139173,3000,0.005,89,checkpoint
0,4000,7.72197823956888,7.253279515933237,0.01697138074630523,0.01594127366139173,3000,0.0025,89,checkpoint
0,4500,5.1612332113059445,5.1612332113059445,0.0113433696951779,0.0113433696951779,4500,0.0025,89,checkpoint
0,5000,4.940311556392156,4.940311556392156,0.010857827596466276,0.010857827596466276,5000,0.0025,89,checkpoint
