method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,__metadata_scope,__metadata_source,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.06063670560399693,scipy.optimize.nnls,1.2142374164,0.7136701714140885,0.5005672449859115,0.41224824587435727,0.3047619047619048,105,32,73,27,missing_p30_rep01_seed55.csv,14.302520691999234,0.0191705845501367,0.0062315570445926,0.8943907011282652,0.844941348973607,235.94201448624835,42.40040375176456,82.02931180184704,42.40040375176456,0.0180555907155419,0.0931877005533287,0.7244965294595593,0.0,0.0,0.0001324790862565,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.022035927110335543,0.036225489693158586,-0.01853952759207079,0.1349661488989994,0.7002602081524112,0.856925489058248,0.5847634503087696,0.48999480986431876,0.019593445060625443,0.02900750327401988,-0.013299925927748897,0.07764412287483997,0.8202492290378347,0.8857142857142855,0.43387257893765957,0.36509112871846944,0.02508902967247316,0.043598734788468575,-0.02508902967247316,0.1349661488989994,0.7428636970786047,0.8969391551148321,0.7897840490142212,0.73569773608425,0.13605325037924523,0.15364343238241437,-0.13492584478762082,0.22479503615980598,0.947902586519064,0.9327285921625543,0.5518831785523173,0.5293436627643203,0.1367548489646001,0.15378608678765487,-0.13492584478762082,0.22892619222390906,0.9344258097254013,0.894132282811528,0.5523955894336536,0.5320733789888631
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.013560027367044338,scipy.optimize.nnls,1.2142374164,0.7366412392706355,0.47759617712936453,0.39333014341244155,0.3047619047619048,105,32,73,27,missing_p30_rep02_seed56.csv,15.30055290600285,0.0233764171861566,0.0089070651709754,0.713968830786802,0.6763196480938416,371.7282660802371,51.39061793093609,86.17521920707438,51.39061793093609,0.0199704296313256,0.1129464130350243,0.8781124952423576,0.0,0.0,0.0001186565717636,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.02281393264146653,0.03808302533615634,-0.017688747301087576,0.14755043875284274,0.611279776599638,0.7794747941846605,0.6147483852502019,0.507294679771817,0.020558000237109054,0.02934088089074912,-0.011332666624426928,0.07730027150573918,0.7402241398498416,0.8392857142857142,0.4388589924515711,0.38306400367762183,0.025633848146913375,0.04676648081575974,-0.025633848146913375,0.14755043875284274,0.48129869710808904,0.7183276715080786,0.8471672573990763,0.7516737113792336,0.13648290695395449,0.1537003172439411,-0.1342048852430741,0.22769227717534773,0.9095913597004999,0.8772029856935517,0.5520875074826469,0.531015331646566,0.1364829069539545,0.15370754967755137,-0.13420488524307414,0.22892619222390906,0.9089506567725587,0.8662369537582322,0.5521134861944449,0.5310153316465661
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.011713195635756962,scipy.optimize.nnls,1.2142374164,0.6660463842626807,0.5481910321373193,0.45146939530376945,0.3047619047619048,105,32,73,27,missing_p30_rep03_seed57.csv,14.581148211000254,0.003687937519055,0.0017971344429137,0.9968044309487482,0.9582111436950146,292.8120965127204,37.84842633249785,87.07415889464333,37.84842633249785,0.0164454454909267,0.0831833545769183,0.6467168021309071,0.0,0.0,0.0001404670767852,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.021520681705329475,0.03305671608565256,-0.02030337156064146,0.11018548916533377,0.8920814970712653,0.9254735996784959,0.5336120924204997,0.4785377210386348,0.02034298660542531,0.02909963157934446,-0.018151828344986885,0.07738721171819184,0.985900663293304,0.9892857142857142,0.4352505653519585,0.37905758371225157,0.02299280058020968,0.03741916459195429,-0.02299280058020968,0.11018548916533377,0.957182415080934,0.8873459471570384,0.677842131556068,0.6742289978498565,0.13654000945460043,0.15372990419949087,-0.13622698684596637,0.22728217065761466,0.9798921349288131,0.9360978643997512,0.55219378305082,0.5312375008836895,0.1365463562998029,0.153735831580916,-0.1362269868459664,0.22892619222390906,0.9793560251056491,0.9311344887406576,0.5522150740494046,0.531262194614101
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.010989228274496143,scipy.optimize.nnls,1.2142374164,0.6668000848248481,0.547437331575152,0.45084867603422,0.3047619047619048,105,32,73,27,missing_p30_rep04_seed58.csv,16.792250762009644,0.0036385573156039,0.0016840784581077,0.9962076537588432,0.9794721407624633,273.6673429290945,39.63962043969364,85.51539982249032,39.63962043969364,0.0171172982742888,0.0871200449224035,0.6773229709270652,0.0,0.0,0.0001348007197031,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.021464841174152677,0.0330689639351564,-0.02027545672500562,0.11091545673766846,0.8875515101373589,0.9229604179332326,0.5338098011276943,0.4772960410167461,0.020097467094677864,0.028972425292031475,-0.017956575086213157,0.07740632195497818,0.9831624376883228,0.982142857142857,0.43334790866991996,0.37448273763368606,0.0231740587734962,0.037566608328375696,-0.0231740587734962,0.11091545673766846,0.953370127901739,0.882702025668565,0.6805130510613625,0.6795441194065073,0.1364917129440679,0.15362949954757885,-0.13618587122857295,0.22748252289345006,0.9794399338384565,0.9448476052249637,0.5518331321750916,0.5310495931952457,0.1364987843798856,0.15363556365646758,-0.13618587122857295,0.22892619222390906,0.9789395945043953,0.9374480029266475,0.5518549142951386,0.531077106097189
MW-proj,30,5,59,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.010983316958125862,scipy.optimize.nnls,1.2142374164,0.6518510919441871,0.5623863244558129,0.4631601010313035,0.3047619047619048,105,32,73,27,missing_p30_rep05_seed59.csv,15.857157418999122,0.0021002294238822,0.0016045714101548,0.9986269254885296,0.9252199413489736,368.00930841971433,52.392234033672295,85.76333999304197,52.392234033672295,0.0198769693850078,0.115147767106972,0.8952271292097992,0.0,0.0,0.0001223696814729,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.02082912312799307,0.03313672062862961,-0.02082912312799307,0.11039450118798624,0.9057902877380846,0.9516104522410214,0.5349035513624741,0.46316010103130345,0.01973348164879092,0.029464276287773792,-0.01973348164879092,0.07842129955931833,0.9794932948552434,0.9928571428571428,0.4407046486816294,0.3677004766854566,0.02219867497699576,0.03722117139601896,-0.02219867497699576,0.11039450118798624,0.9534511829360451,0.9211923058649254,0.6742555167443824,0.6509424691925915,0.13681702696867035,0.154068237599603,-0.13681702696867035,0.22907316198475863,0.97917709407778,0.9579203815052871,0.5534090677484409,0.5323152955349667,0.13681702696867037,0.15407302241282636,-0.13681702696867037,0.23140236832210986,0.9787328971592361,0.9515239477503629,0.553426254672018,0.5323152955349668
MW-proj,30,6,60,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.009601080419656289,scipy.optimize.nnls,1.2142374164,0.6559833397943505,0.5582540766056495,0.4597569380301049,0.3047619047619048,105,32,73,27,missing_p30_rep06_seed60.csv,12.880800872007969,0.0015845747832405,0.0011245668469293,0.9987387151718192,0.9167888563049852,481.8021774201917,52.25725830808239,89.15379366114664,52.25725830808239,0.0201517712920665,0.1148511171606206,0.8929207963426953,0.0,0.0,0.0001185865301608,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.020676076911320354,0.03304646784751047,-0.020676076911320354,0.11071749587597113,0.9020916334305772,0.9485574831930873,0.5334466620799765,0.459756938030105,0.019391960621803695,0.029153228025140438,-0.019391960621803695,0.07754951694606,0.9785888750536673,0.9964285714285712,0.4360522209767023,0.3613368026690671,0.022281222273216165,0.03734657887055961,-0.022281222273216165,0.11071749587597113,0.9528348689239414,0.8896686147896997,0.6765272529197532,0.6533630434332867,0.13647462590211978,0.1537727200740535,-0.13647462590211978,0.22735035950949942,0.9784181169480458,0.949709724238026,0.5523475765490498,0.5309831124801918,0.13647462590211978,0.15377651541986115,-0.13647462590211978,0.22892619222390906,0.9780742444465724,0.9462678830603358,0.5523612093316266,0.5309831124801918
MW-proj,30,7,61,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.009360060635977057,scipy.optimize.nnls,1.2142374164,0.686891445998958,0.527345970401042,0.43430219105299017,0.3047619047619048,105,32,73,27,missing_p30_rep07_seed61.csv,17.25263317799545,0.010439107320548,0.0032792646731388,0.9666512400831472,0.9552785923753664,175.13062221926822,52.20046097544389,70.19341317129135,52.20046097544389,0.019736449817458,0.1147262878581184,0.8919502992073363,0.0,0.0,0.000115402796637,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.022617262475675796,0.03496794305786068,-0.019531332237075632,0.11144083260063961,0.7736750656271294,0.8123950636552318,0.5644637299844958,0.5029214868487284,0.02108619198108919,0.030090415359086888,-0.015531517551608885,0.07756657119617102,0.8363731317272709,0.8892857142857141,0.45006996947735456,0.39290597477524203,0.02453110059390906,0.04024191811056048,-0.02453110059390906,0.11144083260063961,0.8889333734253444,0.7320501594135719,0.7289758562870797,0.719337312211599,0.13654295332157776,0.1537351674861665,-0.13574942840308055,0.22833063641144374,0.967968782045229,0.9421521874352062,0.5522126886384858,0.531248954614667,0.13654295332157776,0.15373838332474962,-0.13574942840308057,0.22892619222390906,0.967647475277143,0.9374559402861289,0.5522242398463145,0.531248954614667
MW-proj,30,8,62,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.010002630882537538,scipy.optimize.nnls,1.2142374164,0.6823385135548713,0.5318989028451288,0.4380518139707103,0.3047619047619048,105,32,73,27,missing_p30_rep08_seed62.csv,16.02023956499761,0.0103608640893549,0.003123304054852,0.9641563248405444,0.9743401759530792,319.5083426135769,50.860037126368766,84.08178117969194,50.860037126368766,0.0200191299733758,0.1117803013766346,0.8690464506415231,0.0,0.0,0.0001044438200134,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.022785889603234574,0.03485371576013782,-0.0196999593646344,0.1105915127028054,0.7804008268574419,0.81013431013431,0.5626198363808026,0.5066711097664487,0.02134334321272053,0.030095015054829245,-0.015788668783240208,0.07741357629328134,0.8379010893852278,0.907142857142857,0.45013876829244776,0.39769755854813843,0.02458907259137714,0.04001400962426885,-0.02458907259137714,0.1105915127028054,0.8993115060573164,0.7202797202797203,0.7248473308153792,0.721037253096134,0.13694023170417516,0.15393911400526308,-0.13614670678567797,0.22733177572435148,0.9679210080995004,0.9396952104499274,0.5529452591849023,0.5327946493598863,0.13694023170417516,0.15394281428588547,-0.136146706785678,0.22892619222390906,0.967559389904698,0.9347059265683645,0.5529585504958276,0.5327946493598863
MW-proj,30,9,63,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.010133704505893602,scipy.optimize.nnls,1.2142374164,0.6847687248303426,0.5294686915696575,0.4360503839022181,0.3047619047619048,105,32,73,27,missing_p30_rep09_seed63.csv,17.002583426001365,0.0103692092057573,0.0031370877203354,0.9700298471876724,0.9780058651026392,216.8306161916749,55.20234379468258,74.54125954893539,55.20234379468258,0.0210542555817774,0.1213238325157858,0.943243529741543,0.0,0.0,0.0001126833255238,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.022695881778217117,0.0349030286393048,-0.019609951539616945,0.11117106577415092,0.7758929924553702,0.8034188034188033,0.563415860661236,0.5046696796979564,0.021106547789805648,0.029969450996673735,-0.01555187336032533,0.07827604811583776,0.8371639148406561,0.9107142857142855,0.4482606748481697,0.39328527127758117,0.024682549263731462,0.04022795268390824,-0.024682549263731462,0.11117106577415092,0.896529038010965,0.6573426573426573,0.7287228748356425,0.7237783147125271,0.13675241670474464,0.15383710424210534,-0.13595889178624743,0.22798424971464304,0.9682789106045621,0.9417582417582417,0.5525788427916866,0.5320639157725335,0.1367524167047446,0.15384063955669955,-0.13595889178624743,0.22975831068329444,0.9679146922227425,0.9375800206430158,0.5525915415489662,0.5320639157725334
MW-proj,30,10,64,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.012490225173811759,scipy.optimize.nnls,1.2142374164,0.7420292358127552,0.4722081805872449,0.3888927932951193,0.3047619047619048,105,32,73,27,missing_p30_rep10_seed64.csv,16.024569824003265,0.0234385375367062,0.0086909979944369,0.8371675868946931,0.8229472140762463,272.1248620774025,37.02802593135242,86.39300148884585,37.02802593135242,0.0159822023836483,0.0813802767722031,0.6326986044062601,0.0,0.0,0.0001414215489075,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.023989528535799116,0.03874254370000563,-0.017489191873601654,0.1481285231351463,0.5848566657700043,0.784164780390441,0.6253945417895113,0.5334354399874645,0.022180798463912393,0.03053385460790358,-0.010480192471956966,0.07818573707196566,0.704823925897446,0.8357142857142855,0.45670260271947827,0.41330213864943316,0.026250441125657515,0.04702999267764837,-0.026250441125657515,0.1481285231351463,0.5025776706792674,0.8755834609454314,0.8519407322775429,0.769754365133859,0.1366760564946938,0.15376167548109856,-0.1340617210003257,0.22746762260018777,0.9139485517915581,0.8930541156956251,0.5523079046608911,0.531766820384036,0.13670597483118943,0.1537694383278925,-0.1340617210003257,0.22892619222390906,0.9133162159991981,0.886312684827476,0.5523357886029303,0.5318832239376466
