method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,masked_file,__metadata_scope,__metadata_source
MW-proj,30,11,65,MWproj_completed_p30_rep11_seed65.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep11_seed65.csv,0.3047619047619048,105,32,73,27,15.870633079000982,0.0015489100044391,0.0011814636534847,0.9992719846969352,0.9758064516129032,255.7731836175187,49.83404527504712,80.5163134890761,49.83404527504712,0.0192778982839105,0.1095253742308727,0.8515153077805218,0.0,0.0,0.0001140744843644,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep11_seed65.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,12,66,MWproj_completed_p30_rep12_seed66.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep12_seed66.csv,0.3047619047619048,105,32,73,27,17.007627127997694,0.0220662743509473,0.0079376337382201,0.853711846890709,0.8933284457478006,202.14186381493064,44.92247383241987,77.77675886398856,44.92247383241987,0.017954855360832,0.0987307117196041,0.7675911903308611,0.0,0.0,0.0001174645488349,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep12_seed66.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,13,67,MWproj_completed_p30_rep13_seed67.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep13_seed67.csv,0.3047619047619048,105,32,73,27,15.696179360005772,0.023512873545044,0.0090804278807697,0.8139114189199788,0.784824046920821,209.86143890065867,39.06577342955404,81.38496827516443,39.06577342955404,0.0167525895804412,0.0858588427023165,0.6675176358241045,0.0,0.0,0.0001127398657336,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep13_seed67.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,14,68,MWproj_completed_p30_rep14_seed68.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep14_seed68.csv,0.3047619047619048,105,32,73,27,13.495391307995304,0.0190309218654556,0.0058034904317397,0.8901111374888577,0.8548387096774193,370.565430875058,53.65549784197255,85.52064133039346,53.65549784197255,0.0204649570906198,0.1179241710812583,0.9168125426474556,0.0,0.0,0.0001357235198173,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep14_seed68.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,15,69,MWproj_completed_p30_rep15_seed69.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,27,20.006691667003903,0.012212467711963,0.0041505943341915,0.944959443790648,0.971407624633431,325.3432572502168,37.82458871825794,88.37394417270262,37.82458871825794,0.0162852952693137,0.0831309642159515,0.6463094883494507,0.0,0.0,0.0001358637762286,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep15_seed69.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,16,70,MWproj_completed_p30_rep16_seed70.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,27,15.853613945000689,0.0112070374874872,0.0038981933148813,0.9677015571710248,0.9743401759530792,248.67679093357896,37.00183253452934,85.12051229404337,37.00183253452934,0.0160103347653398,0.0813227088670974,0.6322510373216593,0.0,0.0,0.0001364444134314,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep16_seed70.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,17,71,MWproj_completed_p30_rep17_seed71.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,27,15.09281119100342,0.0254806984477153,0.0148262160825305,0.8614433768597508,0.8218475073313783,152.52656954040083,74.61580569811628,51.08012595906955,74.61580569811628,0.0263972544326406,0.1639907817541017,1.2749617335628392,0.0,0.0,0.0036656973892874,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep17_seed71.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,18,72,MWproj_completed_p30_rep18_seed72.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,27,15.957622461006396,0.0015686037195385,0.0012753880893014,0.9991811978924712,0.9688416422287388,575.1080071045452,47.412178303839625,91.75595232232251,47.412178303839625,0.0187357468334261,0.1042025896787684,0.8101328194031666,0.0,0.0,0.0001286574259934,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep18_seed72.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,19,73,MWproj_completed_p30_rep19_seed73.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,27,15.01907041600498,0.0192877918849971,0.0058677305831192,0.8008474830195783,0.7899560117302052,953.4060032042948,55.42824549978831,94.18629153650176,55.42824549978831,0.0209109773840219,0.1218203197797545,0.9471035166017222,0.0,0.0,0.0001155675191572,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep19_seed73.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,20,74,MWproj_completed_p30_rep20_seed74.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,27,14.512363900008497,0.0116622225533789,0.0032538274952885,0.9417960518145636,0.9343841642228736,348.5832399755494,53.71989053019109,84.58907819723083,53.71989053019109,0.021125114895438,0.1180656934729474,0.9179128217723912,0.0,0.0,0.0001442043111617,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep20_seed74.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
