method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.016922446192027606,-0.06910755380797239,0.06910755380797239
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,internal:T7|T8|T9,internal,3,0.05128,0.016124924548910312,-0.03515507545108969,0.03515507545108969
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,internal:T7|T8,internal,2,0.02354,0.0038791527676866945,-0.019660847232313303,0.019660847232313303
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T7,terminal,1,0.11573,0.0707923405246718,-0.0449376594753282,0.0449376594753282
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T8,terminal,1,0.11535,0.07620935131065616,-0.03914064868934383,0.03914064868934383
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T9,terminal,1,0.12153,0.07647706845229302,-0.04505293154770698,0.04505293154770698
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T10,terminal,1,0.18189,0.09424704808735722,-0.08764295191264278,0.08764295191264278
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.022472039224708508,-0.0940379607752915,0.0940379607752915
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,internal:T11|T12,internal,2,0.22637,0.043336567069930984,-0.18303343293006902,0.18303343293006902
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T11,terminal,1,0.16094,0.08887101139836999,-0.07206898860163001,0.07206898860163001
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T12,terminal,1,0.14942,0.08411808925315535,-0.06530191074684465,0.06530191074684465
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,internal:T13|T14|T15,internal,3,0.18561,0.02309712800100716,-0.16251287199899284,0.16251287199899284
