method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
KNN-Impute,30,14,68,KNNimpute_completed_p30_rep14_seed68.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep14_seed68.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0599673928764438,0.0511897963230445,0.8442603498763775,0.7291055718475072,0.0022128509999674,True,True,True,0,0,0.0,0.0,missing_p30_rep14_seed68.csv,KNNimpute_completed_p30_rep14_seed68.csv,
KNN-Impute,30,15,69,KNNimpute_completed_p30_rep15_seed69.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.062602606276776,0.0549713019357864,0.8171351476518877,0.7155425219941348,0.0024900530002014,True,True,True,0,0,0.0,0.0,missing_p30_rep15_seed69.csv,KNNimpute_completed_p30_rep15_seed69.csv,
KNN-Impute,30,16,70,KNNimpute_completed_p30_rep16_seed70.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0634445074635726,0.0478319222958499,0.8439973158414814,0.8830645161290323,0.00211000399986,True,True,True,0,0,0.0,0.0,missing_p30_rep16_seed70.csv,KNNimpute_completed_p30_rep16_seed70.csv,
KNN-Impute,30,17,71,KNNimpute_completed_p30_rep17_seed71.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0672552056331501,0.0565938990804254,0.7701980790993789,0.5274926686217009,0.0030092970000623,True,True,True,0,0,0.0,0.0,missing_p30_rep17_seed71.csv,KNNimpute_completed_p30_rep17_seed71.csv,
KNN-Impute,30,18,72,KNNimpute_completed_p30_rep18_seed72.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0634467551257175,0.0552161883572987,0.8019846177370034,0.6594574780058651,0.0024302609999722,True,True,True,0,0,0.0,0.0,missing_p30_rep18_seed72.csv,KNNimpute_completed_p30_rep18_seed72.csv,
KNN-Impute,30,19,73,KNNimpute_completed_p30_rep19_seed73.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.059492791685783,0.0520779808659524,0.8650236760745521,0.7767595307917888,0.0024944780000168,True,True,True,0,0,0.0,0.0,missing_p30_rep19_seed73.csv,KNNimpute_completed_p30_rep19_seed73.csv,
KNN-Impute,30,20,74,KNNimpute_completed_p30_rep20_seed74.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0747525582142663,0.0657649822756632,0.7141644932526181,0.7452346041055719,0.0025035290000232,True,True,True,0,0,0.0,0.0,missing_p30_rep20_seed74.csv,KNNimpute_completed_p30_rep20_seed74.csv,
KNN-Impute,30,21,75,KNNimpute_completed_p30_rep21_seed75.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0690466086770696,0.0631358366480896,0.8396070915386455,0.811217008797654,0.0020736169999509,True,True,True,0,0,0.0,0.0,missing_p30_rep21_seed75.csv,KNNimpute_completed_p30_rep21_seed75.csv,
KNN-Impute,30,22,76,KNNimpute_completed_p30_rep22_seed76.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0719164575744418,0.0626505732091088,0.6452052270852905,0.6264662756598239,0.0030729940001492,True,True,True,0,0,0.0,0.0,missing_p30_rep22_seed76.csv,KNNimpute_completed_p30_rep22_seed76.csv,
KNN-Impute,30,23,77,KNNimpute_completed_p30_rep23_seed77.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0652941119703669,0.0525504805466444,0.709637022242362,0.7067448680351905,0.0021447699998589,True,True,True,0,0,0.0,0.0,missing_p30_rep23_seed77.csv,KNNimpute_completed_p30_rep23_seed77.csv,
