pct_missing,n_replicates,n_success,n_failed,missingness_actual_mean,missingness_actual_std,n_missing_mean,n_missing_std,n_observed_mean,n_observed_std,optimized_variables_mean,optimized_variables_std,RMSE_miss_mean,RMSE_miss_std,MAE_miss_mean,MAE_miss_std,Pearson_miss_mean,Pearson_miss_std,Spearman_miss_mean,Spearman_miss_std,runtime_seconds_mean,runtime_seconds_std,iters_used_mean,iters_used_std,epochs_used_mean,epochs_used_std,convergence_epoch_mean,convergence_epoch_std,final_rank_mean,final_rank_std,last_rel_change_mean,last_rel_change_std,Delta_total_completed_mean,Delta_total_completed_std,Delta_normalized_completed_mean,Delta_normalized_completed_std,Delta_per_triangle_completed_mean,Delta_per_triangle_completed_std,Delta_relative_to_original_mean,Delta_relative_to_original_std,max_abs_error_observed_mean,max_abs_error_observed_std,mean_abs_error_observed_mean,mean_abs_error_observed_std
30,30,30,0,0.30476190476190484,5.646012854083702e-17,32.0,0.0,73.0,0.0,32.0,0.0,0.10602172269762737,0.007948703428783678,0.09136673088759466,0.008219554081339482,0.4006088614706224,0.1500990727389093,0.3470430107526881,0.13904781484151546,0.05817924936669291,0.039126084245333724,1499.3666666666666,1100.669027998609,1499.3666666666666,1100.669027998609,1499.3666666666666,1100.669027998609,9.666666666666666,0.47946330148538413,1.372079923166625e-07,2.058770237863325e-07,1006.3843106589217,1052.4125065544579,0.1298248532792533,0.009838607673218513,2.2118336497998285,2.312994519899907,21.529051479395026,22.51370852188197,0.0,0.0,0.0,0.0
50,30,30,0,0.49523809523809526,0.0,52.0,0.0,53.0,0.0,52.0,0.0,0.11456562254369283,0.008067267216519325,0.09875583246874256,0.007432554038994904,0.30597054615270763,0.13281010828391102,0.2758473490992914,0.14809383279232008,0.07965795820000494,0.045451642413437916,2171.2,1257.4779740307238,2171.2,1257.4779740307238,2171.2,1257.4779740307238,7.833333333333333,0.461133037377414,1.1090191731764377e-07,6.132899219513601e-08,1168.6418997831963,186.08715091784353,0.18731374836845294,0.008652236558698383,2.5684437357872456,0.4089827492699858,25.000142942349033,3.980864774353573,0.0,0.0,0.0,0.0
65,30,30,0,0.6476190476190479,2.2584051416334807e-16,68.0,0.0,37.0,0.0,68.0,0.0,0.13342046082286999,0.0095485665648769,0.11578491245992237,0.007995005480808426,0.17870008700317763,0.10429765426532976,0.16232053819344153,0.10168938518569857,0.09970961200000754,0.05697379608932497,2666.633333333333,1537.6816737820143,2666.633333333333,1537.6816737820143,2666.633333333333,1537.6816737820143,6.1,0.48066046515042266,2.386257084499869e-07,4.399889484661744e-07,1036176196134.95,3944007933320.166,0.24600153050057036,0.03949121704898936,2277310321.1757145,8668149304.000364,22166373652.73228,84372092184.14548,0.0,0.0,0.0,0.0
85,30,30,0,0.8476190476190477,1.1292025708167404e-16,89.0,0.0,16.0,0.0,89.0,0.0,0.18789711465235698,0.015435090017638393,0.1692846121246732,0.01729255058443779,0.02530066004022965,0.12384529305240155,-0.004766448389257799,0.16110009144246543,0.1550634269333538,0.06736254675649442,4282.366666666667,1791.2190124534497,4282.366666666667,1791.2190124534497,4282.366666666667,1791.2190124534497,5.166666666666667,1.11674815279973,1.8512508033532787e-06,3.975639183172506e-06,14882794608540.102,11679614734424.232,0.449249699197289,0.12991087749542965,32709438700.08813,25669482932.80051,318379815633.98505,249855869386.79965,0.0,0.0,0.0,0.0
