method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,iters_used,epochs_used,convergence_epoch,final_rank,last_rel_change,last_singular_values_json,lrmc_config_json
LRMC-SoftImpute,30,0.3,0.3047619047619048,11,65,105,32,73,32,True,True,True,,missing_p30_rep11_seed65.csv,LRMC_SoftImpute_completed_p30_rep11_seed65.csv,0.04484403900005418,595.5719598017457,0.11762259131792875,1.308949362201639,12.740758422456732,46.74540871538672,0.02022617682793644,0.10220840635667404,0.08773122369323855,0.17041561091021992,0.10703812316715541,0.0,0.0,1114,1114,1114,10,9.948134108940604e-08,"[2.8628142809252144, 0.6535946028322905, 0.5322235924267288, 0.42289657787504636, 0.3819951440785924, 0.3057008441842291, 0.20986909928774736, 0.1682239468745837, 0.12625893240038238, 0.04161854461214094]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300011}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,12,66,105,32,73,32,True,True,True,,missing_p30_rep12_seed66.csv,LRMC_SoftImpute_completed_p30_rep12_seed66.csv,0.036326179000070624,678.5896934065922,0.1302274469606289,1.491405919574928,14.51671323569426,46.74540871538672,0.02022617682793644,0.10159131577661772,0.08753051780222987,0.5045238954120266,0.36803519061583573,0.0,0.0,879,879,879,9,9.959417207810925e-08,"[2.8848374050647676, 0.6301530811875856, 0.5477201238305054, 0.4831894660919961, 0.4562716278072685, 0.31180630913417434, 0.17926896188286195, 0.1611105679791931, 0.08436793647489094, 0.017241487091092817]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300012}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,13,67,105,32,73,32,True,True,True,,missing_p30_rep13_seed67.csv,LRMC_SoftImpute_completed_p30_rep13_seed67.csv,0.046538184000155525,2541.4777850866135,0.13652917177100715,5.585665461728821,54.36850067052811,46.74540871538672,0.02022617682793644,0.1040540003545375,0.0876410736988229,0.5580031338834353,0.40762463343108496,0.0,0.0,1178,1178,1178,9,9.982506700645654e-08,"[2.8757773092802075, 0.7340164020330183, 0.5336450631909486, 0.48494214811810754, 0.341295152952284, 0.2667423117304305, 0.22193527632361731, 0.20601004841040474, 0.04848267922987386, 0.01828992481310129]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300013}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,14,68,105,32,73,32,True,True,True,,missing_p30_rep14_seed68.csv,LRMC_SoftImpute_completed_p30_rep14_seed68.csv,0.03988751799988677,680.9096393267649,0.12606077352371056,1.4965047018170659,14.566342621422768,46.74540871538672,0.02022617682793644,0.09951544525763435,0.08301570021125322,0.4781300311616706,0.4263196480938416,0.0,0.0,1049,1049,1049,9,9.970500902622632e-08,"[2.8938422097358933, 0.7112898032745253, 0.5798147431584428, 0.4210338556310975, 0.3453368598016668, 0.2406859573955619, 0.21825559506310616, 0.20897533469212162, 0.12515234809119544, 0.01706462605152754]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300014}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,15,69,105,32,73,32,True,True,True,,missing_p30_rep15_seed69.csv,LRMC_SoftImpute_completed_p30_rep15_seed69.csv,0.13083158199992795,616.9200997380701,0.12103525891383139,1.3558683510726817,13.19744797813704,46.74540871538672,0.02022617682793644,0.10062602046425709,0.08681350260537755,0.3938615527825104,0.33394428152492667,0.0,0.0,3365,3365,3365,10,9.989736637560193e-08,"[2.875084646486743, 0.6692351633994899, 0.6013880321539677, 0.44362869160808643, 0.39744658154914286, 0.2461180976251223, 0.19843794584542346, 0.12726934984411237, 0.10838511054029464, 0.07054209740876732]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300015}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,16,70,105,32,73,32,True,True,True,,missing_p30_rep16_seed70.csv,LRMC_SoftImpute_completed_p30_rep16_seed70.csv,0.05157376500005739,1142.4774080444445,0.1404499758921714,2.5109393583394386,24.440419699836458,46.74540871538672,0.02022617682793644,0.1120879074257028,0.1019817612254367,0.2844025116707631,0.4259530791788856,0.0,0.0,1377,1377,1377,9,9.995754546785959e-08,"[2.8588535704117293, 0.6878219419022019, 0.6515636638883292, 0.42908098523283633, 0.37190832742728547, 0.2878340155573452, 0.24686513123873535, 0.10397602948684989, 0.0468627495383753, 0.018930644343455958]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300016}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,17,71,105,32,73,32,True,True,True,,missing_p30_rep17_seed71.csv,LRMC_SoftImpute_completed_p30_rep17_seed71.csv,0.1168906909999805,998.4666091564994,0.1380908559196492,2.1944321080362625,21.359672245797352,46.74540871538672,0.02022617682793644,0.10660721941657708,0.09137850035213058,0.5573047704581994,0.4171554252199413,0.0,0.0,3099,3099,3099,10,9.997611921424809e-08,"[2.8452952354086185, 0.684021160891918, 0.602998843592152, 0.4437706052771949, 0.3629020161691346, 0.25544451712600547, 0.22320547722213988, 0.14581459130260746, 0.08950059215600395, 0.02140732918923354]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300017}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,18,72,105,32,73,32,True,True,True,,missing_p30_rep18_seed72.csv,LRMC_SoftImpute_completed_p30_rep18_seed72.csv,0.2094138599998132,520.3105971745381,0.11110272974400547,1.1435397740099738,11.130731583554914,46.74540871538672,0.02022617682793644,0.09631431019312367,0.08392943348154504,0.39819550793443453,0.3980938416422287,0.0,0.0,6000,6000,6000,10,1.2272539751177606e-06,"[2.900760866566743, 0.66436007702835, 0.5296446396094638, 0.4616119283377965, 0.34183923153270696, 0.26569738570280305, 0.2156050675449357, 0.18678941903151117, 0.12562413876887418, 0.08782374830543527]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300018}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,19,73,105,32,73,32,True,True,True,,missing_p30_rep19_seed73.csv,LRMC_SoftImpute_completed_p30_rep19_seed73.csv,0.03213305700001001,857.1013081279397,0.13498302062312237,1.8837391387427245,18.335518539295947,46.74540871538672,0.02022617682793644,0.10781631520937045,0.09028039051840597,0.4422739262737622,0.4035923753665689,0.0,0.0,891,891,891,10,9.993839115361389e-08,"[2.8803187760314177, 0.7400602146182931, 0.5022074804383722, 0.42555525848355535, 0.3898595565496486, 0.29971433605864967, 0.2652322008213354, 0.17638281874635864, 0.04137342426881279, 0.02492649046927954]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300019}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,20,74,105,32,73,32,True,True,True,,missing_p30_rep20_seed74.csv,LRMC_SoftImpute_completed_p30_rep20_seed74.csv,0.02744415300003311,634.0403001391608,0.12958805472341428,1.3934951651410126,13.56369144186047,46.74540871538672,0.02022617682793644,0.11251052794599595,0.09926843261502251,0.40842293037871275,0.3203812316715542,0.0,0.0,805,805,805,10,9.899608741695111e-08,"[2.8164587143357336, 0.8358330153734814, 0.45366327142433727, 0.4185438907051511, 0.3210528500711631, 0.3010772925956668, 0.2033704242130359, 0.14269687675270948, 0.10676156517368554, 0.02632384778465545]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300020}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,21,75,105,32,73,32,True,True,True,,missing_p30_rep21_seed75.csv,LRMC_SoftImpute_completed_p30_rep21_seed75.csv,0.0325214849999611,667.8982176644381,0.13625446379054262,1.4679081706910728,14.287996105264401,46.74540871538672,0.02022617682793644,0.11155055296393462,0.10373545475776313,0.5626946227620628,0.4886363636363636,0.0,0.0,893,893,893,10,9.962991032168876e-08,"[2.805261308301556, 0.667140957646907, 0.49107571341860523, 0.4387463740133731, 0.350978399506403, 0.3122411573894836, 0.22757046048065235, 0.14549193504046753, 0.11986431923081661, 0.03810533928385683]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300021}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,22,76,105,32,73,32,True,True,True,,missing_p30_rep22_seed76.csv,LRMC_SoftImpute_completed_p30_rep22_seed76.csv,0.031075476000069102,697.9362358720543,0.12877219842457815,1.5339257931253942,14.930583666975652,46.74540871538672,0.02022617682793644,0.12093847303975054,0.10163310806970718,-0.026237240152709982,0.04105571847507331,0.0,0.0,879,879,879,9,9.904401149409094e-08,"[2.8148140448056638, 0.752262369285107, 0.5992197777251329, 0.46743908434660564, 0.33361655832660647, 0.26324953494964387, 0.20284935633525894, 0.09477500496347999, 0.06630204581919075, 0.019439342803405295]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300022}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,23,77,105,32,73,32,True,True,True,,missing_p30_rep23_seed77.csv,LRMC_SoftImpute_completed_p30_rep23_seed77.csv,0.0967846799999279,664.5223569671267,0.12381515216628337,1.4604886966310477,14.215778088777144,46.74540871538672,0.02022617682793644,0.10140086971622636,0.08755119496106317,0.5071867850197742,0.3793988269794721,0.0,0.0,2228,2228,2228,10,9.986739982053055e-08,"[2.850882612592387, 0.7623887398789092, 0.5165295028045143, 0.4618810202283963, 0.37814155941765326, 0.21418692356515645, 0.18433756635240117, 0.1680833240307416, 0.11728191794581119, 0.03142465103212072]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300023}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,24,78,105,32,73,32,True,True,True,,missing_p30_rep24_seed78.csv,LRMC_SoftImpute_completed_p30_rep24_seed78.csv,0.04333416400004353,566.7941881895663,0.11656946444531024,1.2457015125045412,12.125130654874352,46.74540871538672,0.02022617682793644,0.09453472973651937,0.08380474495349868,0.5196916951161805,0.4175219941348973,0.0,0.0,1166,1166,1166,10,9.918826611846216e-08,"[2.9121778720888503, 0.6413617113400144, 0.4897646769383123, 0.4103701940124099, 0.35295724525969435, 0.31376588359997803, 0.22070798173267886, 0.20220329079592703, 0.13722178021582607, 0.11881929711109364]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300024}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,25,79,105,32,73,32,True,True,True,,missing_p30_rep25_seed79.csv,LRMC_SoftImpute_completed_p30_rep25_seed79.csv,0.03683942600014234,701.0766607771405,0.13478117497507935,1.5408278258838253,14.997765129099708,46.74540871538672,0.02022617682793644,0.11203014967034704,0.09752827698350092,0.31133649999056306,0.2067448680351906,0.0,0.0,692,692,692,10,9.912837647485379e-08,"[2.8332633562068046, 0.6867730093064341, 0.5532661992011189, 0.4501843926293143, 0.38528894340332187, 0.2905281807999966, 0.2765385101623646, 0.0956188428937728, 0.05234279178414482, 0.03006138775395032]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300025}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,26,80,105,32,73,32,True,True,True,,missing_p30_rep26_seed80.csv,LRMC_SoftImpute_completed_p30_rep26_seed80.csv,0.04347526100013965,948.1543464895019,0.13116099859826008,2.083855706570334,20.28336841084047,46.74540871538672,0.02022617682793644,0.10753362358167247,0.08787964730692488,0.44853550040213575,0.3929618768328445,0.0,0.0,1278,1278,1278,10,9.934038388623726e-08,"[2.8755624760754457, 0.7835008070003311, 0.5585979620596928, 0.4243374276336739, 0.3819334551388449, 0.27518760340375736, 0.175412654548406, 0.1382350921527607, 0.0745103219144329, 0.0446431129176138]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300026}"
