% Missing,StepA_method,RMSE_all_mean,RMSE_all_std,MAE_all_mean,MAE_all_std,RMSE_missing_mean,RMSE_missing_std,MAE_missing_mean,MAE_missing_std,Delta_total_mean,Delta_total_std,Delta_per_triangle_mean,Delta_per_triangle_std,Delta_relative_mean,Delta_relative_std,runtime_seconds_mean,runtime_seconds_std
30%,ultrametric,0.00586126303382817,0.005349238515006956,0.001464960097853089,0.001024492923023378,0.010617221353964663,0.00968972882827409,0.004806900321080448,0.003361617403670459,93.49592372163374,10.773911850250403,0.20548554664095325,0.02367892714340748,0.8857112913356628,0.10206407934995203,29.401216665200263,2.6029006521665754
50%,ultrametric,0.009331277934351512,0.004967869687383182,0.0029487358667404815,0.0011206317579898482,0.013259712353484748,0.007059324942170968,0.005954178192456742,0.00226281412671027,78.3646000374227,10.40105020097138,0.1722298901921378,0.02285945099114589,0.742368312235715,0.09853186361554503,28.231517815999904,5.032144379876271
65%,ultrametric,0.01398848052482595,0.008425734332608778,0.0063309747633351525,0.003785131529566519,0.017382439869825465,0.010470030689592598,0.009775769855149866,0.005844688391242416,82.72835212369235,11.379470031284598,0.18182055411800513,0.025009824244581532,0.7837072748508762,0.10780069007214292,30.532642591400144,3.8228346819460612
85%,ultrametric,0.04190606884486727,0.003688433330052398,0.027086460352738227,0.0030860137002663903,0.04551730793579162,0.004006282629519318,0.03195593637120802,0.0036408026800895626,9425626886632.895,8009774496234.269,20715663487.105263,17603899991.72367,89291423936.97807,75878684652.49007,29.375207355999738,3.5955132028067927
90%,ultrametric,0.05206883109323009,0.004054989041317251,0.03728023469017737,0.0050220222541843915,0.055031145243341184,0.004285686584615881,0.0416428153454109,0.005609705709461294,14452251170855.12,8488216228262.45,31763189386.494762,18655420281.895496,136909947917.69258,80411088071.11632,13.339491646999885,7.681260475112197
