pct_missing,frac_missing_requested,replicate,mask_seed,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file
65,0.65,3,57,0.6476190476190476,105,68,37,68,missing_p65_rep03_seed57.csv
65,0.65,4,58,0.6476190476190476,105,68,37,68,missing_p65_rep04_seed58.csv
65,0.65,5,59,0.6476190476190476,105,68,37,68,missing_p65_rep05_seed59.csv
65,0.65,6,60,0.6476190476190476,105,68,37,68,missing_p65_rep06_seed60.csv
65,0.65,7,61,0.6476190476190476,105,68,37,68,missing_p65_rep07_seed61.csv
65,0.65,8,62,0.6476190476190476,105,68,37,68,missing_p65_rep08_seed62.csv
65,0.65,9,63,0.6476190476190476,105,68,37,68,missing_p65_rep09_seed63.csv
65,0.65,10,64,0.6476190476190476,105,68,37,68,missing_p65_rep10_seed64.csv
65,0.65,11,65,0.6476190476190476,105,68,37,68,missing_p65_rep11_seed65.csv
65,0.65,12,66,0.6476190476190476,105,68,37,68,missing_p65_rep12_seed66.csv
65,0.65,13,67,0.6476190476190476,105,68,37,68,missing_p65_rep13_seed67.csv
65,0.65,14,68,0.6476190476190476,105,68,37,68,missing_p65_rep14_seed68.csv
65,0.65,15,69,0.6476190476190476,105,68,37,68,missing_p65_rep15_seed69.csv
65,0.65,16,70,0.6476190476190476,105,68,37,68,missing_p65_rep16_seed70.csv
65,0.65,17,71,0.6476190476190476,105,68,37,68,missing_p65_rep17_seed71.csv
65,0.65,18,72,0.6476190476190476,105,68,37,68,missing_p65_rep18_seed72.csv
65,0.65,19,73,0.6476190476190476,105,68,37,68,missing_p65_rep19_seed73.csv
65,0.65,20,74,0.6476190476190476,105,68,37,68,missing_p65_rep20_seed74.csv
65,0.65,21,75,0.6476190476190476,105,68,37,68,missing_p65_rep21_seed75.csv
65,0.65,22,76,0.6476190476190476,105,68,37,68,missing_p65_rep22_seed76.csv
65,0.65,23,77,0.6476190476190476,105,68,37,68,missing_p65_rep23_seed77.csv
65,0.65,24,78,0.6476190476190476,105,68,37,68,missing_p65_rep24_seed78.csv
65,0.65,25,79,0.6476190476190476,105,68,37,68,missing_p65_rep25_seed79.csv
65,0.65,26,80,0.6476190476190476,105,68,37,68,missing_p65_rep26_seed80.csv
65,0.65,27,81,0.6476190476190476,105,68,37,68,missing_p65_rep27_seed81.csv
65,0.65,28,82,0.6476190476190476,105,68,37,68,missing_p65_rep28_seed82.csv
65,0.65,29,83,0.6476190476190476,105,68,37,68,missing_p65_rep29_seed83.csv
65,0.65,30,84,0.6476190476190476,105,68,37,68,missing_p65_rep30_seed84.csv
85,0.85,1,55,0.8476190476190476,105,89,16,89,missing_p85_rep01_seed55.csv
85,0.85,2,56,0.8476190476190476,105,89,16,89,missing_p85_rep02_seed56.csv
85,0.85,3,57,0.8476190476190476,105,89,16,89,missing_p85_rep03_seed57.csv
85,0.85,4,58,0.8476190476190476,105,89,16,89,missing_p85_rep04_seed58.csv
85,0.85,5,59,0.8476190476190476,105,89,16,89,missing_p85_rep05_seed59.csv
85,0.85,6,60,0.8476190476190476,105,89,16,89,missing_p85_rep06_seed60.csv
85,0.85,7,61,0.8476190476190476,105,89,16,89,missing_p85_rep07_seed61.csv
85,0.85,8,62,0.8476190476190476,105,89,16,89,missing_p85_rep08_seed62.csv
85,0.85,9,63,0.8476190476190476,105,89,16,89,missing_p85_rep09_seed63.csv
85,0.85,10,64,0.8476190476190476,105,89,16,89,missing_p85_rep10_seed64.csv
85,0.85,11,65,0.8476190476190476,105,89,16,89,missing_p85_rep11_seed65.csv
85,0.85,12,66,0.8476190476190476,105,89,16,89,missing_p85_rep12_seed66.csv
85,0.85,13,67,0.8476190476190476,105,89,16,89,missing_p85_rep13_seed67.csv
85,0.85,14,68,0.8476190476190476,105,89,16,89,missing_p85_rep14_seed68.csv
85,0.85,15,69,0.8476190476190476,105,89,16,89,missing_p85_rep15_seed69.csv
85,0.85,16,70,0.8476190476190476,105,89,16,89,missing_p85_rep16_seed70.csv
85,0.85,17,71,0.8476190476190476,105,89,16,89,missing_p85_rep17_seed71.csv
85,0.85,18,72,0.8476190476190476,105,89,16,89,missing_p85_rep18_seed72.csv
85,0.85,19,73,0.8476190476190476,105,89,16,89,missing_p85_rep19_seed73.csv
85,0.85,20,74,0.8476190476190476,105,89,16,89,missing_p85_rep20_seed74.csv
85,0.85,21,75,0.8476190476190476,105,89,16,89,missing_p85_rep21_seed75.csv
85,0.85,22,76,0.8476190476190476,105,89,16,89,missing_p85_rep22_seed76.csv
85,0.85,23,77,0.8476190476190476,105,89,16,89,missing_p85_rep23_seed77.csv
85,0.85,24,78,0.8476190476190476,105,89,16,89,missing_p85_rep24_seed78.csv
85,0.85,25,79,0.8476190476190476,105,89,16,89,missing_p85_rep25_seed79.csv
85,0.85,26,80,0.8476190476190476,105,89,16,89,missing_p85_rep26_seed80.csv
85,0.85,27,81,0.8476190476190476,105,89,16,89,missing_p85_rep27_seed81.csv
85,0.85,28,82,0.8476190476190476,105,89,16,89,missing_p85_rep28_seed82.csv
85,0.85,29,83,0.8476190476190476,105,89,16,89,missing_p85_rep29_seed83.csv
85,0.85,30,84,0.8476190476190476,105,89,16,89,missing_p85_rep30_seed84.csv
