method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T5,terminal,1,0.12997,0.07916351060850409,-0.050806489391495915,0.050806489391495915
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.005623840393071379,-0.02494615960692862,0.02494615960692862
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T6,terminal,1,0.14605,0.08354147987134224,-0.06250852012865778,0.06250852012865778
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.019983262198902986,-0.05211673780109701,0.05211673780109701
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.016177360824405542,-0.06985263917559445,0.06985263917559445
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:T7|T8|T9,internal,3,0.05128,0.01445286678209239,-0.03682713321790761,0.03682713321790761
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:T7|T8,internal,2,0.02354,0.0049999504946586565,-0.01854004950534134,0.01854004950534134
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T7,terminal,1,0.11573,0.07079150459658437,-0.04493849540341563,0.04493849540341563
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T8,terminal,1,0.11535,0.07621018723874357,-0.03913981276125643,0.03913981276125643
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T9,terminal,1,0.12153,0.07760830038259738,-0.043921699617402624,0.043921699617402624
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T10,terminal,1,0.18189,0.09603205178377178,-0.08585794821622822,0.08585794821622822
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.022800900436216413,-0.0937090995637836,0.0937090995637836
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:T11|T12,internal,2,0.22637,0.04342993198009241,-0.1829400680199076,0.1829400680199076
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T11,terminal,1,0.16094,0.08950292515665614,-0.07143707484334386,0.07143707484334386
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T12,terminal,1,0.14942,0.08348617549486914,-0.06593382450513086,0.06593382450513086
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:T13|T14|T15,internal,3,0.18561,0.022484737805709337,-0.16312526219429066,0.16312526219429066
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T13,terminal,1,0.32149,0.12181507316482058,-0.1996749268351794,0.1996749268351794
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:T14|T15,internal,2,0.07113,0.006847909089421255,-0.06428209091057874,0.06428209091057874
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T14,terminal,1,0.34439,0.12247873633404134,-0.22191126366595865,0.22191126366595865
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:T15,terminal,1,0.24256,0.11339305544810108,-0.12916694455189892,0.12916694455189892
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T1,terminal,1,0.05696,0.04272410729737329,-0.014235892702626707,0.014235892702626707
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T2|T3,internal,2,0.03472,0.022242869322825112,-0.012477130677174889,0.012477130677174889
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T2,terminal,1,0.02433,0.020829746384327077,-0.003500253615672924,0.003500253615672924
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T3,terminal,1,0.02231,0.02020240251584208,-0.0021075974841579213,0.0021075974841579213
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T1|T2|T3,internal,3,0.01863,0.009141771093730613,-0.009488228906269387,0.009488228906269387
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T4,terminal,1,0.07771,0.054076187561605794,-0.023633812438394207,0.023633812438394207
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.0191595667415202,-0.0276604332584798,0.0276604332584798
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T5,terminal,1,0.12997,0.0758084147196319,-0.0541615852803681,0.0541615852803681
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.008456499521623443,-0.022113500478376555,0.022113500478376555
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T6,terminal,1,0.14605,0.08420307853495183,-0.06184692146504818,0.06184692146504818
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.02092303822083366,-0.051176961779166336,0.051176961779166336
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.0013441779907107222,-0.08468582200928927,0.08468582200928927
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T7|T8|T9,internal,3,0.05128,0.0009328784678143544,-0.050347121532185644,0.050347121532185644
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T7|T8,internal,2,0.02354,0.03271355518166096,0.009173555181660964,0.009173555181660964
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T7,terminal,1,0.11573,0.07097557927236196,-0.044754420727638036,0.044754420727638036
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T8,terminal,1,0.11535,0.076026112562966,-0.039323887437033994,0.039323887437033994
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T9,terminal,1,0.12153,0.10512741358892476,-0.01640258641107524,0.01640258641107524
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T10,terminal,1,0.18189,0.1099993360530025,-0.0718906639469975,0.0718906639469975
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.02396173616724498,-0.09254826383275502,0.09254826383275502
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:T11|T12,internal,2,0.22637,0.0,-0.22637,0.22637
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T11,terminal,1,0.16094,0.1303127308635732,-0.0306272691364268,0.0306272691364268
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:T12,terminal,1,0.14942,0.12748501789720587,-0.021934982102794126,0.021934982102794126
