method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,masked_file,__metadata_scope,__metadata_source,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed
Hyb-Adam-UM,30,11,65,HybAdamUM_completed_p30_rep11_seed65.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep11_seed65.csv,0.3047619047619048,105,32,73,missing_p30_rep11_seed65.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.74029348500005,0.0169296524124472,0.0082043570189356,0.9236122597820892,0.9431818181818182,137.84926867779615,33.349997840768054,75.80690985113667,33.349997840768054,0.0146625734929126,0.0732966985511385,0.7134390041131583,0.0,0.0
Hyb-Adam-UM,30,12,66,HybAdamUM_completed_p30_rep12_seed66.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep12_seed66.csv,0.3047619047619048,105,32,73,missing_p30_rep12_seed66.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.759927981000036,0.0190129266771235,0.0094562259289031,0.9701516209812976,0.966642228739003,134.123329417884,35.1504696780682,73.7924268427971,35.1504696780682,0.0151836359381517,0.0772537795122378,0.751955553369631,0.0,0.0
Hyb-Adam-UM,30,13,67,HybAdamUM_completed_p30_rep13_seed67.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep13_seed67.csv,0.3047619047619048,105,32,73,missing_p30_rep13_seed67.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,20.81354047299999,0.0313233693335918,0.0164693360814017,0.9178956030919188,0.943548387096774,84.02143834695556,28.950087637570533,65.54440365799866,28.950087637570533,0.0129215783318245,0.0636265662364187,0.6193140338944415,0.0,0.0
Hyb-Adam-UM,30,14,68,HybAdamUM_completed_p30_rep14_seed68.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep14_seed68.csv,0.3047619047619048,105,32,73,missing_p30_rep14_seed68.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.809496227000068,0.0053237606258168,0.0041620088689763,0.9948671213601968,0.9754398826979472,151.7499238495228,36.64048614806817,75.85469223404597,36.64048614806817,0.0160523790462066,0.0805285409847652,0.7838306938582309,0.0,0.0
Hyb-Adam-UM,30,15,69,HybAdamUM_completed_p30_rep15_seed69.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,missing_p30_rep15_seed69.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.59844194300001,0.0155604829359624,0.0059346968052827,0.944757098342729,0.944648093841642,179.91147642273688,36.65685982425025,79.62505752655942,36.65685982425025,0.0159694914601214,0.0805645270862642,0.7841809673210596,0.0,0.0
Hyb-Adam-UM,30,16,70,HybAdamUM_completed_p30_rep16_seed70.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,missing_p30_rep16_seed70.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.536302523000018,0.0206771356505839,0.0108726170433852,0.9307151344285616,0.8526392961876832,110.4282166282198,32.17565506967392,70.86283193542812,32.17565506967392,0.0143161029630506,0.0707157254278547,0.6883169054222641,0.0,0.0
Hyb-Adam-UM,30,17,71,HybAdamUM_completed_p30_rep17_seed71.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,missing_p30_rep17_seed71.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.56446332600001,0.0053439844681646,0.0042147175031747,0.9943790953706628,0.9230205278592372,142.21507919824978,36.55361211676483,74.29695056048973,36.55361211676483,0.0160760798006392,0.0803376090478348,0.7819722432918389,0.0,0.0
Hyb-Adam-UM,30,18,72,HybAdamUM_completed_p30_rep18_seed72.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,missing_p30_rep18_seed72.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.67545044999997,0.0056698684151702,0.0045486663277799,0.9946849807445446,0.9699413489736072,127.60304716735656,30.751990632547376,75.90026937819526,30.751990632547376,0.0136679127340757,0.0675867925990052,0.6578611991561226,0.0,0.0
Hyb-Adam-UM,30,19,73,HybAdamUM_completed_p30_rep19_seed73.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,missing_p30_rep19_seed73.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.735110266999985,0.0097028082826708,0.0053123572260639,0.9881911920370698,0.9853372434017592,138.6231702951059,30.813050881357785,77.77207748476545,30.813050881357785,0.013777532949983,0.067720990948039,0.6591674290188708,0.0,0.0
Hyb-Adam-UM,30,20,74,HybAdamUM_completed_p30_rep20_seed74.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,missing_p30_rep20_seed74.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.88513031699995,0.010067993920725,0.0060104039454195,0.9719816941009352,0.8907624633431085,252.67897881967235,32.0651237467648,87.30993615038768,32.0651237467648,0.0141825452160824,0.0704727994434391,0.6859523668302047,0.0,0.0
Hyb-Adam-UM,30,21,75,HybAdamUM_completed_p30_rep21_seed75.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,missing_p30_rep21_seed75.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.81011628300007,0.0135920395726016,0.0072517857806588,0.969450640648203,0.8995601173020527,121.57337055787828,30.282864508403136,75.09087362681437,30.282864508403136,0.0132748800599086,0.0665557461723145,0.647825430146153,0.0,0.0
Hyb-Adam-UM,30,22,76,HybAdamUM_completed_p30_rep22_seed76.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,missing_p30_rep22_seed76.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.959785757999956,0.0091599530757637,0.0056448211465347,0.9786515122159832,0.9285190615835776,202.9645383717803,35.89064670528461,82.31678942873168,35.89064670528461,0.0157030214631326,0.0788805422094167,0.7677897721208894,0.0,0.0
Hyb-Adam-UM,30,23,77,HybAdamUM_completed_p30_rep23_seed77.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,missing_p30_rep23_seed77.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.733285269999897,0.0113267356062995,0.0068643712101515,0.9686880700415428,0.8533724340175952,131.32706774741308,36.41642988998845,72.27043098226352,36.41642988998845,0.0157066466975918,0.0800361096483262,0.7790375758978361,0.0,0.0
