method,% Missing,n_files,n_success,n_failed,edge_BL_MAE,edge_BL_RMSE,edge_BL_rel_RMSE,edge_BL_Pearson,edge_BL_Spearman,terminal_BL_MAE,terminal_BL_RMSE,internal_BL_MAE,internal_BL_RMSE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Pearson,fit_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,tree_length_abs_error,tree_length_rel_error
MDS-SMACOF,30%,30,30,0,0.067990 ± 0.002886,0.091995 ± 0.001193,0.629318 ± 0.008160,0.697214 ± 0.067371,0.674724 ± 0.047327,0.068886 ± 0.004391,0.094171 ± 0.002034,0.066871 ± 0.002326,0.089152 ± 0.002603,0.407031 ± 0.001672,0.459228 ± 0.001542,0.932186 ± 0.019528,0.932208 ± 0.031901,0.407654 ± 0.001812,0.459529 ± 0.001515,0.878391 ± 0.029170,0.872089 ± 0.025741,1.747137 ± 0.057724,0.550463 ± 0.018187
MDS-SMACOF,50%,30,30,0,0.068364 ± 0.004190,0.093051 ± 0.001563,0.636544 ± 0.010693,0.622095 ± 0.073959,0.615830 ± 0.044922,0.067160 ± 0.007021,0.093440 ± 0.003042,0.069869 ± 0.002421,0.092482 ± 0.003034,0.408346 ± 0.003256,0.463223 ± 0.002587,0.892797 ± 0.034719,0.907703 ± 0.034761,0.409354 ± 0.003287,0.463667 ± 0.002557,0.792844 ± 0.057728,0.814176 ± 0.040866,1.686774 ± 0.071567,0.531445 ± 0.022548
MDS-SMACOF,65%,30,30,0,0.070286 ± 0.004171,0.094590 ± 0.001808,0.647073 ± 0.012369,0.550506 ± 0.069716,0.589021 ± 0.052950,0.067428 ± 0.007245,0.093820 ± 0.003596,0.073858 ± 0.002214,0.095464 ± 0.002654,0.411951 ± 0.004868,0.468619 ± 0.004158,0.822968 ± 0.049160,0.855393 ± 0.050846,0.413296 ± 0.005076,0.469151 ± 0.004137,0.664307 ± 0.080044,0.730507 ± 0.057258,1.631509 ± 0.079595,0.514033 ± 0.025078
MDS-SMACOF,85%,30,30,0,0.074415 ± 0.002764,0.099274 ± 0.003544,0.679117 ± 0.024247,0.419194 ± 0.055372,0.510766 ± 0.055050,0.071708 ± 0.005198,0.099103 ± 0.006302,0.077798 ± 0.001111,0.099366 ± 0.001967,0.419217 ± 0.014324,0.479520 ± 0.015252,0.511328 ± 0.264451,0.585561 ± 0.196719,0.420184 ± 0.014439,0.479991 ± 0.015300,0.300734 ± 0.160331,0.264931 ± 0.196905,1.557876 ± 0.138120,0.490834 ± 0.043517
