pct_missing,n_replicates,n_success,n_failed,missingness_actual_mean,missingness_actual_std,n_missing_mean,n_missing_std,n_observed_mean,n_observed_std,imputed_variables_mean,imputed_variables_std,optimized_variables_mean,optimized_variables_std,RMSE_miss_mean,RMSE_miss_std,MAE_miss_mean,MAE_miss_std,Pearson_miss_mean,Pearson_miss_std,Spearman_miss_mean,Spearman_miss_std,runtime_seconds_mean,runtime_seconds_std,joins_performed_mean,joins_performed_std,epochs_used_mean,epochs_used_std,convergence_epoch_mean,convergence_epoch_std,tree_edges_final_mean,tree_edges_final_std,initial_known_graph_components_mean,initial_known_graph_components_std,n_pair_selection_failures_mean,n_pair_selection_failures_std,Delta_total_completed_mean,Delta_total_completed_std,Delta_normalized_completed_mean,Delta_normalized_completed_std,Delta_per_triangle_completed_mean,Delta_per_triangle_completed_std,Delta_relative_to_original_mean,Delta_relative_to_original_std,max_abs_error_observed_mean,max_abs_error_observed_std,mean_abs_error_observed_mean,mean_abs_error_observed_std
30,30,29,1,0.30476190476190484,5.646012854083702e-17,32.0,0.0,73.0,0.0,32.0,0.0,0.0,0.0,0.021314210832528036,0.011851079878969377,0.011531444179841812,0.008558691956268913,0.8175643778458261,0.16958703428776034,0.7137475983415917,0.2604035192588981,0.009812090862020529,0.001988412736020398,13.0,0.0,13.0,0.0,13.0,0.0,27.0,0.0,1.0,0.0,0.03333333333333333,0.18257418583505533,108335919591.66246,583378109247.1198,0.04341670340708393,0.026650883482116167,238100922.17947796,1282149690.6530104,1851137980.1826274,9968193180.109245,0.0,0.0,0.0,0.0
50,30,22,8,0.49523809523809526,0.0,52.0,0.0,53.0,0.0,52.0,0.0,0.0,0.0,0.025286736314957207,0.012405488002914149,0.013745440922487428,0.010421890092192646,0.7844453257228885,0.15575433331949776,0.7180289189168213,0.2241287546242766,0.007610406590339897,0.0006048625166988763,13.0,0.0,13.0,0.0,13.0,0.0,27.0,0.0,1.0,0.0,0.26666666666666666,0.44977644510880355,285599325980.2849,924397731186.6388,0.05712570330619162,0.042486979568580524,627690826.3302965,2031643365.2453597,4880041277.43936,15795202140.195158,0.0,0.0,0.0,0.0
65,30,8,22,0.6476190476190479,2.2584051416334807e-16,68.0,0.0,37.0,0.0,68.0,0.0,0.0,0.0,0.041116290613010184,0.010289465970045167,0.02660046185825875,0.010722167717041072,0.46973956346184187,0.21621097924069027,0.5074101996411803,0.2419442214974496,0.00656441237697436,0.0004100183009182697,13.0,0.0,13.0,0.0,13.0,0.0,27.0,0.0,1.0666666666666667,0.2537081317024624,0.6666666666666666,0.47946330148538413,359.1633533059975,328.99407749562585,0.07324156899159141,0.04423588103669407,0.7893700072659287,0.723063906583793,6.137031253350354,5.621528246612763,0.0,0.0,0.0,0.0
85,30,0,30,0.8476190476190477,1.1292025708167404e-16,89.0,0.0,16.0,0.0,89.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2.2666666666666666,0.9444331755018487,0.2,0.4068381021724863,,,,,,,,,,,,
