method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,iters_used,epochs_used,convergence_epoch,final_rank,last_rel_change,last_singular_values_json,lrmc_config_json
LRMC-SoftImpute,30,0.3,0.3047619047619048,11,65,105,32,73,32,True,True,True,,missing_p30_rep11_seed65.csv,LRMC_SoftImpute_completed_p30_rep11_seed65.csv,0.028020937999826856,1028.27585285313,0.13634221874289124,2.2599469293475383,17.57016963990956,58.523957020737264,0.022445654481427994,0.045930073746555576,0.03633860180686828,0.6647299125042846,0.470307917888563,0.0,0.0,703,703,703,10,9.887301146781857e-08,"[1.5657566438880062, 0.4742572019217351, 0.26786298058723296, 0.2499599748814005, 0.18137858870693122, 0.17201375434308921, 0.08173135489834157, 0.07094194446513426, 0.029320430238909487, 0.022304708657752765]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300011}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,12,66,105,32,73,32,True,True,True,,missing_p30_rep12_seed66.csv,LRMC_SoftImpute_completed_p30_rep12_seed66.csv,0.014404693007236347,820.6350954499122,0.1255590828752736,1.8035936163734334,14.022207950824821,58.523957020737264,0.022445654481427994,0.05150028088180537,0.03951923410174171,0.5236240162405371,0.4171554252199413,0.0,0.0,368,368,368,9,9.93528257881496e-08,"[1.5547239831154005, 0.48315276451617006, 0.2910777104221672, 0.2605362473208702, 0.22533206668629266, 0.15398464274135037, 0.04684117095427178, 0.04016532257046657, 0.024003296637281683, 0.01975026434075751]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300012}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,13,67,105,32,73,32,True,True,True,,missing_p30_rep13_seed67.csv,LRMC_SoftImpute_completed_p30_rep13_seed67.csv,0.0219451239972841,1011.2894413400603,0.130771126441568,2.2226141567913413,17.279922493650282,58.523957020737264,0.022445654481427994,0.04854702415627164,0.04348280114629314,0.7150720147548817,0.7305718475073313,0.0,0.0,531,531,531,9,9.849983481766951e-08,"[1.5431242113266328, 0.5046275243127567, 0.29458829641798073, 0.21708548656753723, 0.1751146969977793, 0.13808962942417216, 0.10255036592799721, 0.04857686619112677, 0.03952806866337557, 0.018958672562076544]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300013}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,14,68,105,32,73,32,True,True,True,,missing_p30_rep14_seed68.csv,LRMC_SoftImpute_completed_p30_rep14_seed68.csv,0.012299141992116347,1086.2989524997042,0.14427422576372081,2.3874702252740754,18.56161148014628,58.523957020737264,0.022445654481427994,0.05297677131813938,0.03970338675788105,0.5830281041887408,0.45051319648093835,0.0,0.0,340,340,340,9,9.878856943252199e-08,"[1.5431222356744723, 0.5465519031100937, 0.2672570912072841, 0.2046622064552013, 0.17790183492666864, 0.12917960104136744, 0.08357560071368483, 0.05372567896475297, 0.0431096229690585, 0.018151913728469336]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300014}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,15,69,105,32,73,32,True,True,True,,missing_p30_rep15_seed69.csv,LRMC_SoftImpute_completed_p30_rep15_seed69.csv,0.022821962003945373,746.5743035085761,0.1282100965292589,1.6408226450737937,12.756729748195879,58.523957020737264,0.022445654481427994,0.054373909623608455,0.045856614635587295,0.5069947946701282,0.3962609970674486,0.0,0.0,513,513,513,10,9.88174796737038e-08,"[1.5311389199249297, 0.46020992428059865, 0.3285744127381842, 0.24591007116607552, 0.17957137784638894, 0.1491798243693409, 0.06169883934691904, 0.04774684533783733, 0.023091039072461895, 0.02149627595892656]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300015}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,16,70,105,32,73,32,True,True,True,,missing_p30_rep16_seed70.csv,LRMC_SoftImpute_completed_p30_rep16_seed70.csv,0.02323115200852044,608.6052445876852,0.12067398370709807,1.3375939441487588,10.399249735830972,58.523957020737264,0.022445654481427994,0.0498313173577765,0.041882499000346005,0.7190835505081777,0.7236070381231671,0.0,0.0,500,500,500,9,9.884947352465255e-08,"[1.5453325536450992, 0.46100978034546813, 0.30802641812598164, 0.27520013788697384, 0.18802042068710131, 0.12533047629273383, 0.10656149231643067, 0.030464064892358277, 0.023620191325440153, 0.016826257323992806]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300016}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,17,71,105,32,73,32,True,True,True,,missing_p30_rep17_seed71.csv,LRMC_SoftImpute_completed_p30_rep17_seed71.csv,0.024563006008975208,586.084825039942,0.10928848254276312,1.288098516571301,10.014442885881245,58.523957020737264,0.022445654481427994,0.047085150315110944,0.03844621680450591,0.6833430829215963,0.721407624633431,0.0,0.0,492,492,492,9,9.982625523758384e-08,"[1.5619836310968418, 0.46532925604013325, 0.3345203400448088, 0.2234803615673655, 0.17033579226227696, 0.1454461922827377, 0.10418584838817709, 0.055555657458262075, 0.029100291993513216, 0.016875217908597976]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300017}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,18,72,105,32,73,32,True,True,True,,missing_p30_rep18_seed72.csv,LRMC_SoftImpute_completed_p30_rep18_seed72.csv,0.035454289012704976,750.1716911545959,0.13035054994189937,1.6487289915485626,12.818198381370241,58.523957020737264,0.022445654481427994,0.057338170471082896,0.044734649518169425,0.45115509505073415,0.3343108504398827,0.0,0.0,835,835,835,9,9.939450160815704e-08,"[1.525492001738463, 0.5283108827249643, 0.29365053965671783, 0.22429154517391203, 0.1682107385704524, 0.11645354232508263, 0.09888104834074714, 0.03770523056304824, 0.023250740127587998, 0.019779791628213056]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300018}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,19,73,105,32,73,32,True,True,True,,missing_p30_rep19_seed73.csv,LRMC_SoftImpute_completed_p30_rep19_seed73.csv,0.02214630600064993,622.0460174715394,0.1250547426059904,1.3671341043330536,10.628912485379702,58.523957020737264,0.022445654481427994,0.05431636172830441,0.0471115220452933,0.6190239574078624,0.6110703812316716,0.0,0.0,594,594,594,9,9.88731858158608e-08,"[1.5171177969351861, 0.4734913243438996, 0.29894167896940166, 0.22846403382463118, 0.1759944454403045, 0.1493209387304263, 0.10725546350010343, 0.0429913939544155, 0.023032949034808566, 0.017982186559709554]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300019}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,20,74,105,32,73,32,True,True,True,,missing_p30_rep20_seed74.csv,LRMC_SoftImpute_completed_p30_rep20_seed74.csv,0.035110999990138225,763.1031984313024,0.13167377963134194,1.6771498866622032,13.039159299513974,58.523957020737264,0.022445654481427994,0.04779537928652048,0.04020725191336787,0.6649349506228428,0.49816715542521983,0.0,0.0,771,771,771,9,9.984889622766822e-08,"[1.5530603077475635, 0.4150977849952787, 0.29874668358807877, 0.20101575604462066, 0.19524636016283095, 0.15622814583151545, 0.12641099165894457, 0.0832365939043383, 0.0498566943607224, 0.018578590708535885]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300020}"
