method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MW-proj,30,15,69,MWproj_completed_p30_rep15_seed69.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,27,0.012212467711963,0.0041505943341915,0.944959443790648,0.971407624633431,20.006691667003903,True,True,True,0,0,0.0162852952693137,0.6463094883494507,0.0,0.0,missing_p30_rep15_seed69.csv,MWproj_completed_p30_rep15_seed69.csv,
MW-proj,30,16,70,MWproj_completed_p30_rep16_seed70.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,27,0.0112070374874872,0.0038981933148813,0.9677015571710248,0.9743401759530792,15.853613945000689,True,True,True,0,0,0.0160103347653398,0.6322510373216593,0.0,0.0,missing_p30_rep16_seed70.csv,MWproj_completed_p30_rep16_seed70.csv,
MW-proj,30,17,71,MWproj_completed_p30_rep17_seed71.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,27,0.0254806984477153,0.0148262160825305,0.8614433768597508,0.8218475073313783,15.09281119100342,True,True,True,0,0,0.0263972544326406,1.2749617335628392,0.0,0.0,missing_p30_rep17_seed71.csv,MWproj_completed_p30_rep17_seed71.csv,
MW-proj,30,18,72,MWproj_completed_p30_rep18_seed72.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,27,0.0015686037195385,0.0012753880893014,0.9991811978924712,0.9688416422287388,15.957622461006396,True,True,True,0,0,0.0187357468334261,0.8101328194031666,0.0,0.0,missing_p30_rep18_seed72.csv,MWproj_completed_p30_rep18_seed72.csv,
MW-proj,30,19,73,MWproj_completed_p30_rep19_seed73.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,27,0.0192877918849971,0.0058677305831192,0.8008474830195783,0.7899560117302052,15.01907041600498,True,True,True,0,0,0.0209109773840219,0.9471035166017222,0.0,0.0,missing_p30_rep19_seed73.csv,MWproj_completed_p30_rep19_seed73.csv,
MW-proj,30,20,74,MWproj_completed_p30_rep20_seed74.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,27,0.0116622225533789,0.0032538274952885,0.9417960518145636,0.9343841642228736,14.512363900008497,True,True,True,0,0,0.021125114895438,0.9179128217723912,0.0,0.0,missing_p30_rep20_seed74.csv,MWproj_completed_p30_rep20_seed74.csv,
MW-proj,30,21,75,MWproj_completed_p30_rep21_seed75.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,27,0.0020834059279214,0.0014840689906213,0.9987632801180508,0.9835043988269794,15.277067937000538,True,True,True,0,0,0.0219319292008755,1.0036178145301786,0.0,0.0,missing_p30_rep21_seed75.csv,MWproj_completed_p30_rep21_seed75.csv,
MW-proj,30,22,76,MWproj_completed_p30_rep22_seed76.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,27,0.0019407922113623,0.0014649733586488,0.998773101609872,0.9692082111436948,18.247443083004327,True,True,True,0,0,0.0207935422187793,0.9367282118676806,0.0,0.0,missing_p30_rep22_seed76.csv,MWproj_completed_p30_rep22_seed76.csv,
MW-proj,30,23,77,MWproj_completed_p30_rep23_seed77.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,27,0.0103197519915856,0.0028357612480238,0.9700027609880262,0.9824046920821112,15.785884179000275,True,True,True,0,0,0.0212260395031981,0.9295202030567428,0.0,0.0,missing_p30_rep23_seed77.csv,MWproj_completed_p30_rep23_seed77.csv,
MW-proj,30,24,78,MWproj_completed_p30_rep24_seed78.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,27,0.0253411247915346,0.0099519236394615,0.809820811928854,0.847140762463343,16.37618166799075,True,True,True,0,0,0.0184924661627448,0.8162001422281493,0.0,0.0,missing_p30_rep24_seed78.csv,MWproj_completed_p30_rep24_seed78.csv,
