method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
MDS-SMACOF,30,11,65,MDS_SMACOF_completed_p30_rep11_seed65.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep11_seed65.csv,True,,MDS-SMACOF_NJ_p30_rep11_seed65.treefile,0.3047619047619048,105,32,73,210,32,0.0419325129387706,0.0361497582250255,0.4641538100689897,0.3643695014662756,0.0441680590001851,True,True,True,973,973,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T13|T15;T7|T9;T10|T7|T9;T11|T12|T14;T1|T2|T3|T4|T5|T8;T1|T2|T3|T4|T5|T6|T8,T14|T15;T7|T8;T13|T14|T15;T7|T8|T9;T10|T7|T8|T9;T1|T2|T3|T4|T5|T6,0.4095540724348328,0.4643739468983035,0.8318963487596343,0.7353618080033174,0.4102974209508484,0.4641881221493931,0.8330940405329419,0.7973045822102425,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,12,66,MDS_SMACOF_completed_p30_rep12_seed66.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep12_seed66.csv,True,,MDS-SMACOF_NJ_p30_rep12_seed66.treefile,0.3047619047619048,105,32,73,210,32,0.0419511521580031,0.030224908452259,0.7359945474853594,0.7587976539589442,0.0461608719999731,True,True,True,974,974,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T4|T6;T1|T2|T3|T5,T1|T2|T3|T4;T1|T2|T3|T4|T5,0.4065321114524459,0.45872635096863196,0.9245210575834357,0.956064690026954,0.408531956140058,0.45917482083601663,0.8830764804801818,0.8881919966825628,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,13,67,MDS_SMACOF_completed_p30_rep13_seed67.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep13_seed67.csv,True,,MDS-SMACOF_NJ_p30_rep13_seed67.treefile,0.3047619047619048,105,32,73,210,32,0.0629066309008061,0.0475034117948391,0.6406803841779111,0.6667888563049853,0.0317464219999692,True,True,True,662,662,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T1|T3;T2|T5;T4|T6;T1|T2|T3|T5,T2|T3;T1|T2|T3;T1|T2|T3|T4;T1|T2|T3|T4|T5,0.4075382080071863,0.4588414168699509,0.8928976325192218,0.933267675720506,0.40907113980175425,0.45921616580680563,0.8067950564922952,0.8318888658511299,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,14,68,MDS_SMACOF_completed_p30_rep14_seed68.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep14_seed68.csv,True,,MDS-SMACOF_NJ_p30_rep14_seed68.treefile,0.3047619047619048,105,32,73,210,32,0.0353480744578113,0.0289333262236161,0.8504199961496629,0.6774193548387096,0.0340610460000334,True,True,True,801,801,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T11|T12|T13;T11|T12|T13|T15,T14|T15;T13|T14|T15,0.40546507153437317,0.45978984139041834,0.8599516542782337,0.7565312046444121,0.4079359578746615,0.4606508795090555,0.883628109778034,0.8576715737093095,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,15,69,MDS_SMACOF_completed_p30_rep15_seed69.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep15_seed69.csv,True,,MDS-SMACOF_NJ_p30_rep15_seed69.treefile,0.3047619047619048,105,32,73,210,32,0.0295868910982095,0.0245370950699661,0.8420855784290618,0.844941348973607,0.0549469129998669,True,True,True,1000,1000,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T10|T9;T11|T13;T11|T12|T13,T11|T12;T13|T14|T15;T7|T8|T9,0.4058910807418002,0.45868124110796443,0.8997422588130567,0.891944847605225,0.40595007936422267,0.4580550313174393,0.901114463254613,0.890089156126892,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,16,70,MDS_SMACOF_completed_p30_rep16_seed70.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep16_seed70.csv,True,,MDS-SMACOF_NJ_p30_rep16_seed70.treefile,0.3047619047619048,105,32,73,210,32,0.0350264630107643,0.0268907468753461,0.8083975494350106,0.6381964809384163,0.0471177149997856,True,True,True,1000,1000,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T1|T3;T2|T4;T8|T9;T10|T11|T12|T13|T14|T15,T2|T3;T7|T8;T1|T2|T3;T10|T7|T8|T9,0.40617022740075137,0.45804464306421305,0.9295317454295635,0.9439353099730456,0.4065514234247128,0.457564691920336,0.9065620314852539,0.9049346879535558,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,17,71,MDS_SMACOF_completed_p30_rep17_seed71.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep17_seed71.csv,True,,MDS-SMACOF_NJ_p30_rep17_seed71.treefile,0.3047619047619048,105,32,73,210,32,0.0305159845972751,0.0243064596705173,0.892134094505165,0.7272727272727272,0.0536555799999405,True,True,True,842,842,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.4089433652726028,0.4611901878460995,0.9265642382411307,0.9095583661621397,0.40874849369854993,0.46024013521353846,0.9082942117338972,0.8750259174787476,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,18,72,MDS_SMACOF_completed_p30_rep18_seed72.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep18_seed72.csv,True,,MDS-SMACOF_NJ_p30_rep18_seed72.treefile,0.3047619047619048,105,32,73,210,32,0.0366064379210713,0.0304870485232364,0.7739409018878765,0.7327712609970675,0.0502976580000904,True,True,True,1000,1000,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T1|T4;T7|T9;T10|T7|T9;T11|T12|T13;T11|T12|T13|T15;T11|T12|T13|T14|T15|T8,T14|T15;T7|T8;T1|T2|T3;T13|T14|T15;T7|T8|T9;T10|T7|T8|T9,0.4048848198918888,0.45929739715109347,0.863760691576027,0.7868235538046858,0.40682401455196693,0.4601578411121308,0.8703429232823291,0.8578581795562927,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,19,73,MDS_SMACOF_completed_p30_rep19_seed73.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep19_seed73.csv,True,,MDS-SMACOF_NJ_p30_rep19_seed73.treefile,0.3047619047619048,105,32,73,210,32,0.0358212547389288,0.0270008677965014,0.9046710376333676,0.8181818181818181,0.0261194119998435,True,True,True,585,585,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T1|T2;T13|T15;T3|T4,T14|T15;T2|T3;T1|T2|T3,0.40579679551206643,0.4582983055389219,0.9285575936249998,0.8990047688160895,0.4065813771136347,0.4579413398232753,0.9048817686786451,0.8812564793696869,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,20,74,MDS_SMACOF_completed_p30_rep20_seed74.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep20_seed74.csv,True,,MDS-SMACOF_NJ_p30_rep20_seed74.treefile,0.3047619047619048,105,32,73,210,32,0.0367699797046437,0.030619212213129,0.6091645036797976,0.7617302052785923,0.0426024440000674,True,True,True,904,904,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T13|T15;T1|T2|T3|T4|T6;T10|T13|T14|T15|T7|T8|T9,T14|T15;T1|T2|T3|T4|T5;T11|T12|T13|T14|T15,0.4068394017165247,0.46044130868451755,0.8709480627578415,0.8803649181007671,0.40697777750112446,0.459844958508966,0.87280924409188,0.8893634667219572,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
