pct_missing,n_runs,n_success,n_failed,n_objective_improved,n_not_improved,stepA_method_mode,nnls_backend,missingness_actual_mean,missingness_actual_std,n_missing_mean,n_missing_std,n_observed_mean,n_observed_std,optimized_variables_mean,optimized_variables_std,RMSE_miss_mean,RMSE_miss_std,MAE_miss_mean,MAE_miss_std,Pearson_miss_mean,Pearson_miss_std,Spearman_miss_mean,Spearman_miss_std,runtime_seconds_mean,runtime_seconds_std,Delta_init_mean,Delta_init_std,Delta_final_mean,Delta_final_std,Delta_reduction_percent_mean,Delta_reduction_percent_std,best_epoch_mean,best_epoch_std,epochs_used_mean,epochs_used_std,convergence_epoch_mean,convergence_epoch_std,final_learning_rate_mean,final_learning_rate_std,Delta_total_completed_mean,Delta_total_completed_std,Delta_normalized_completed_mean,Delta_normalized_completed_std,Delta_per_triangle_completed_mean,Delta_per_triangle_completed_std,Delta_relative_to_original_mean,Delta_relative_to_original_std,max_abs_error_observed_mean,max_abs_error_observed_std,mean_abs_error_observed_mean,mean_abs_error_observed_std,MW_Qw_final_mean,MW_Qw_final_std,weighted_fit_pairs_mean,weighted_fit_pairs_std,final_tree_edges_mean,final_tree_edges_std,n_start_pairs_mean,n_start_pairs_std,n_weighted_lsq_fits_mean,n_weighted_lsq_fits_std,n_graft_evaluations_mean,n_graft_evaluations_std,stepA_loops_mean,stepA_loops_std,stepA_estimated_pairs_mean,stepA_estimated_pairs_std,stepA_unfilled_pairs_mean,stepA_unfilled_pairs_std
30,30,30,0,30,0,ultrametric,scipy.optimize.nnls,0.30476190476190484,5.646012854083702e-17,32.0,0.0,73.0,0.0,27.0,0.0,0.011912859493591157,0.008341930016083585,0.004509256825595509,0.0033178970314010204,0.9302385836266559,0.07776865448923001,0.9122800586510262,0.07774701439946842,15.738137815001634,1.6393613920744785,308.2563802102853,156.17210660409725,48.673597344103456,9.188044865319162,81.45523527179753,8.4037300772519,0.0,0.0,0.0,0.0,0.0,0.0,,,48.673597344103456,9.188044865319162,0.019230684535340208,0.002563892726290998,0.10697493921780978,0.020193505198503655,0.8316867112532486,0.15699630259217584,0.0,0.0,0.0,0.0,0.0003229571870143412,0.0007632542993974776,105.0,0.0,27.0,0.0,105.0,0.0,20580.0,0.0,17745.0,0.0,2.0,0.0,32.0,0.0,0.0,0.0
50,30,30,0,30,0,ultrametric,scipy.optimize.nnls,0.49523809523809526,0.0,52.0,0.0,53.0,0.0,27.0,0.0,0.015894474786517433,0.008617315099580043,0.006388588808586183,0.004215619433266311,0.9007693822606273,0.08168302016520579,0.8783716098921425,0.06557400032389901,14.350456072168406,2.109177221225844,243.94274905862258,78.29985945109776,44.797543542854186,14.1134700725344,79.62525211318062,9.922871973561888,0.0,0.0,0.0,0.0,0.0,0.0,,,44.797543542854186,14.1134700725344,0.017832948127097396,0.004384862734397878,0.09845613965462457,0.03101861554403165,0.7654565040258762,0.24115713958872362,0.0,0.0,0.0,0.0,0.0007156313284471045,0.0012105473797328833,105.0,0.0,27.0,0.0,105.0,0.0,20580.0,0.0,17745.0,0.0,2.033333333333333,0.18257418583505536,52.0,0.0,0.0,0.0
65,30,30,0,29,1,ultrametric,scipy.optimize.nnls,0.6476190476190479,2.2584051416334807e-16,68.0,0.0,37.0,0.0,27.0,0.0,0.02654961542060012,0.009525075580706472,0.012410653520544134,0.005566313320361044,0.7405856355794516,0.1505530688167495,0.7636643519825587,0.1127616653931924,14.955728541132704,1.8957559205915964,177.67565211156065,84.77033916278228,314171259112.2178,1720786855110.408,-333791203351.3245,1828249716117.675,0.0,0.0,0.0,0.0,0.0,0.0,,,314171259112.2178,1720786855110.408,0.018612964769472266,0.015186377579344257,690486283.763116,3781949132.110787,5368250458.54119,29403118700.61465,0.0,0.0,0.0,0.0,0.0010900633575336971,0.001377592040275921,104.06666666666666,3.5519138438344737,27.0,0.0,104.06666666666666,3.5519138438344737,20397.066666666666,696.1751133915569,17587.266666666666,600.273439608026,2.2,0.4068381021724862,67.06666666666666,3.5519138438344737,0.9333333333333333,3.551913843834474
85,30,30,0,6,24,ultrametric,scipy.optimize.nnls,0.8476190476190477,1.1292025708167404e-16,89.0,0.0,16.0,0.0,27.0,0.0,0.04430243120293001,0.0073195403453709,0.02800089700674591,0.006472754195315656,0.2590456364163013,0.19441340741007823,0.3342055405021445,0.21485242597194357,14.840035419365934,5.000050211753282,84.05532008800056,102.84114070158049,5131521362847.015,7355559402801.1,-9508298182542.717,15311346648680.643,0.0,0.0,0.0,0.0,0.0,0.0,,,5131521362847.015,7355559402801.1,0.059823588391974374,0.037997657058987847,11278068929.334097,16166064621.540878,87682406044.90775,125684587598.79729,0.0,0.0,0.0,0.0,0.0007553338167800241,0.0012816851598088934,83.73333333333333,17.20652108405682,27.0,0.0,83.73333333333333,17.20652108405682,16411.733333333334,3372.478132475137,14150.933333333332,2907.9020632056026,2.933333333333333,0.2537081317024624,67.73333333333333,17.20652108405682,21.266666666666666,17.20652108405682
