method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,best_start_pair,n_weighted_lsq_fits,n_graft_evaluations,nnls_backend
MW-proj,30,0.3,0.3047619047619048,11,65,105,32,73,27,True,True,True,True,,missing_p30_rep11_seed65.csv,MWproj_completed_p30_rep11_seed65.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep11_seed65.log,15.870633079000982,49.83404527504712,0.019277898283910515,0.10952537423087279,0.8515153077805218,58.523957020737264,0.022445654481427994,0.0015489100044391144,0.00118146365348474,0.9992719846969352,0.9758064516129032,0.0,0.0,255.7731836175187,49.83404527504712,80.5163134890761,0,0,0,,ultrametric,2,32,0,0.00011407448436448187,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,12,66,105,32,73,27,True,True,True,True,,missing_p30_rep12_seed66.csv,MWproj_completed_p30_rep12_seed66.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep12_seed66.log,17.007627127997694,44.92247383241987,0.017954855360832064,0.09873071171960411,0.7675911903308611,58.523957020737264,0.022445654481427994,0.022066274350947327,0.007937633738220172,0.853711846890709,0.8933284457478006,0.0,0.0,202.14186381493062,44.92247383241987,77.77675886398856,0,0,0,,ultrametric,2,32,0,0.0001174645488349903,105,27,105,"(1, 4)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,13,67,105,32,73,27,True,True,True,True,,missing_p30_rep13_seed67.csv,MWproj_completed_p30_rep13_seed67.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep13_seed67.log,15.696179360005772,39.06577342955404,0.016752589580441294,0.08585884270231657,0.6675176358241045,58.523957020737264,0.022445654481427994,0.023512873545044024,0.009080427880769792,0.8139114189199788,0.784824046920821,0.0,0.0,209.86143890065867,39.06577342955404,81.38496827516443,0,0,0,,ultrametric,2,32,0,0.00011273986573367288,105,27,105,"(0, 8)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,14,68,105,32,73,27,True,True,True,True,,missing_p30_rep14_seed68.csv,MWproj_completed_p30_rep14_seed68.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep14_seed68.log,13.495391307995305,53.65549784197255,0.020464957090619854,0.11792417108125834,0.9168125426474557,58.523957020737264,0.022445654481427994,0.01903092186545568,0.005803490431739729,0.8901111374888577,0.8548387096774193,0.0,0.0,370.565430875058,53.65549784197255,85.52064133039346,0,0,0,,ultrametric,2,32,0,0.00013572351981733932,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,15,69,105,32,73,27,True,True,True,True,,missing_p30_rep15_seed69.csv,MWproj_completed_p30_rep15_seed69.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep15_seed69.log,20.006691667003906,37.82458871825794,0.016285295269313795,0.08313096421595152,0.6463094883494507,58.523957020737264,0.022445654481427994,0.012212467711963071,0.00415059433419159,0.9449594437906481,0.971407624633431,0.0,0.0,325.34325725021677,37.82458871825794,88.37394417270262,0,0,0,,ultrametric,2,32,0,0.00013586377622869125,105,27,105,"(0, 3)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,16,70,105,32,73,27,True,True,True,True,,missing_p30_rep16_seed70.csv,MWproj_completed_p30_rep16_seed70.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep16_seed70.log,15.853613945000689,37.00183253452934,0.0160103347653398,0.08132270886709746,0.6322510373216593,58.523957020737264,0.022445654481427994,0.011207037487487258,0.003898193314881352,0.9677015571710248,0.9743401759530791,0.0,0.0,248.67679093357896,37.00183253452934,85.12051229404337,0,0,0,,ultrametric,2,32,0,0.00013644441343140662,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,17,71,105,32,73,27,True,True,True,True,,missing_p30_rep17_seed71.csv,MWproj_completed_p30_rep17_seed71.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep17_seed71.log,15.09281119100342,74.61580569811628,0.026397254432640606,0.1639907817541017,1.2749617335628392,58.523957020737264,0.022445654481427994,0.02548069844771534,0.014826216082530517,0.8614433768597508,0.8218475073313783,0.0,0.0,152.52656954040083,74.61580569811628,51.08012595906955,0,0,0,,ultrametric,2,32,0,0.003665697389287465,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,18,72,105,32,73,27,True,True,True,True,,missing_p30_rep18_seed72.csv,MWproj_completed_p30_rep18_seed72.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep18_seed72.log,15.957622461006395,47.412178303839625,0.01873574683342618,0.1042025896787684,0.8101328194031666,58.523957020737264,0.022445654481427994,0.0015686037195385483,0.0012753880893014368,0.9991811978924712,0.9688416422287388,0.0,0.0,575.1080071045452,47.412178303839625,91.75595232232251,0,0,0,,ultrametric,2,32,0,0.0001286574259934427,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,19,73,105,32,73,27,True,True,True,True,,missing_p30_rep19_seed73.csv,MWproj_completed_p30_rep19_seed73.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep19_seed73.log,15.019070416004979,55.42824549978831,0.02091097738402192,0.12182031977975454,0.9471035166017222,58.523957020737264,0.022445654481427994,0.01928779188499717,0.005867730583119233,0.8008474830195783,0.7899560117302052,0.0,0.0,953.4060032042948,55.42824549978831,94.18629153650177,0,0,0,,ultrametric,2,32,0,0.00011556751915728999,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,20,74,105,32,73,27,True,True,True,True,,missing_p30_rep20_seed74.csv,MWproj_completed_p30_rep20_seed74.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep20_seed74.log,14.512363900008495,53.71989053019109,0.021125114895438064,0.11806569347294744,0.9179128217723912,58.523957020737264,0.022445654481427994,0.01166222255337894,0.003253827495288594,0.9417960518145635,0.9343841642228737,0.0,0.0,348.5832399755494,53.71989053019109,84.58907819723083,0,0,0,,ultrametric,2,32,0,0.00014420431116177543,105,27,105,"(0, 7)",20580,17745,scipy.optimize.nnls
