method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,imputed_variables,optimized_variables,success,success_numerical,success_valid_matrix,status,reason,error_message,masked_file,completed_file,run_log_file,s_top,initial_known_graph_components,joins_performed,n_pair_selection_failures,last_active_clusters,tree_edges_final,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,epochs_used,convergence_epoch,njstar_config_json
NJstar-STRICT,65,0.65,0.6505747126436782,1,55,435,283,152,283,0,False,False,False,FAIL,No eligible pair at r=3: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=3: need d_xy known and |S_xy|>=3.'),missing_p65_rep01_seed55.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p65_rep01_seed55.log,15,1,27,1,3,-1,0.04758963899985247,,,,,2094.9481216356535,0.06362992423130975,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,65,0.65,0.6505747126436782,2,56,435,283,152,283,0,False,False,False,FAIL,No eligible pair at r=3: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=3: need d_xy known and |S_xy|>=3.'),missing_p65_rep02_seed56.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p65_rep02_seed56.log,15,1,27,1,3,-1,0.04853525699945749,,,,,2094.9481216356535,0.06362992423130975,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,65,0.65,0.6505747126436782,3,57,435,283,152,283,0,True,True,True,OK,OK,,missing_p65_rep03_seed57.csv,NJstar_STRICT_completed_p65_rep03_seed57.csv,njstar_strict_outputs/logs/NJstar_STRICT_p65_rep03_seed57.log,15,1,28,0,2,57,0.047241413998563075,1681.128589537866,0.05944047972754183,0.41407108116696206,0.8024678855652553,2094.9481216356535,0.06362992423130975,0.02089688372095762,0.010019359690554126,0.852217282237574,0.8780982262267689,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,65,0.65,0.6505747126436782,4,58,435,283,152,283,0,True,True,True,OK,OK,,missing_p65_rep04_seed58.csv,NJstar_STRICT_completed_p65_rep04_seed58.csv,njstar_strict_outputs/logs/NJstar_STRICT_p65_rep04_seed58.log,15,1,28,0,2,57,0.04735967300075572,1677.9993932070279,0.05952222974002358,0.41330034315444036,0.8009741987772526,2094.9481216356535,0.06362992423130975,0.01938539393093164,0.01067715038750323,0.8732780436559013,0.9100575938905365,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,65,0.65,0.6505747126436782,5,59,435,283,152,283,0,False,False,False,FAIL,No eligible pair at r=5: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=5: need d_xy known and |S_xy|>=3.'),missing_p65_rep05_seed59.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p65_rep05_seed59.log,15,1,25,1,5,-1,0.061698993000391056,,,,,2094.9481216356535,0.06362992423130975,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,85,0.85,0.8505747126436781,1,55,435,370,65,370,0,False,False,False,FAIL,No eligible pair at r=6: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=6: need d_xy known and |S_xy|>=3.'),missing_p85_rep01_seed55.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p85_rep01_seed55.log,15,1,24,1,6,-1,0.030256375999670126,,,,,2094.9481216356535,0.06362992423130975,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,85,0.85,0.8505747126436781,2,56,435,370,65,370,0,False,False,False,FAIL,No eligible pair at r=4: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=4: need d_xy known and |S_xy|>=3.'),missing_p85_rep02_seed56.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p85_rep02_seed56.log,15,1,26,1,4,-1,0.03132619600000908,,,,,2094.9481216356535,0.06362992423130975,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,85,0.85,0.8505747126436781,3,57,435,370,65,370,0,False,False,False,FAIL,No eligible pair at r=4: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=4: need d_xy known and |S_xy|>=3.'),missing_p85_rep03_seed57.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p85_rep03_seed57.log,15,1,26,1,4,-1,0.031038847999298014,,,,,2094.9481216356535,0.06362992423130975,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,85,0.85,0.8505747126436781,4,58,435,370,65,370,0,False,False,False,FAIL,No eligible pair at r=6: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=6: need d_xy known and |S_xy|>=3.'),missing_p85_rep04_seed58.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p85_rep04_seed58.log,15,1,24,1,6,-1,0.0284633909996046,,,,,2094.9481216356535,0.06362992423130975,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,85,0.85,0.8505747126436781,5,59,435,370,65,370,0,False,False,False,FAIL,No eligible pair at r=5: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=5: need d_xy known and |S_xy|>=3.'),missing_p85_rep05_seed59.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p85_rep05_seed59.log,15,1,25,1,5,-1,0.030214487000193913,,,,,2094.9481216356535,0.06362992423130975,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
