pct_missing,init_variant,variant_description,n_runs,n_success,n_failed,init_strategy,n_restarts,RMSE_miss_mean,RMSE_miss_std,RMSE_miss,MAE_miss_mean,MAE_miss_std,MAE_miss,Pearson_miss_mean,Pearson_miss_std,Pearson_miss,Spearman_miss_mean,Spearman_miss_std,Spearman_miss,runtime_seconds_mean,runtime_seconds_std,runtime_seconds,Delta_init_mean,Delta_init_std,Delta_init,Delta_final_mean,Delta_final_std,Delta_final,Delta_reduction_percent_mean,Delta_reduction_percent_std,Delta_reduction_percent,Delta_total_completed_mean,Delta_total_completed_std,Delta_total_completed,Delta_normalized_completed_mean,Delta_normalized_completed_std,Delta_normalized_completed,Delta_per_triangle_completed_mean,Delta_per_triangle_completed_std,Delta_per_triangle_completed,Delta_relative_to_original_mean,Delta_relative_to_original_std,Delta_relative_to_original,best_epoch_mean,best_epoch_std,best_epoch,epochs_used_mean,epochs_used_std,epochs_used,convergence_epoch_mean,convergence_epoch_std,convergence_epoch,final_learning_rate_mean,final_learning_rate_std,final_learning_rate,max_abs_error_observed_mean,max_abs_error_observed_std,max_abs_error_observed,mean_abs_error_observed_mean,mean_abs_error_observed_std,mean_abs_error_observed
65,observed_mean,all missing entries initialized by the global observed mean,5,5,0,global_mean,1,0.02258705304531892,0.014827661448782175,0.022587 ± 0.014828,0.010821723809387371,0.0064057869468706384,0.010822 ± 0.006406,0.7713970333053031,0.1976623317397451,0.771397 ± 0.197662,0.8096499599190746,0.08640157332784139,0.809650 ± 0.086402,48.02620686099981,0.2684248888856015,48.0262 ± 0.2684,193.93546445886022,27.688804499424055,193.9355 ± 27.6888,18.520433398468054,2.490204920398174,18.5204 ± 2.4902,90.268395892759,2.1468362118269675,90.268396 ± 2.146836,18.520433398468054,2.490204920398174,18.5204 ± 2.4902,0.007388085195112642,0.0004318226120144817,0.007388 ± 0.000432,0.0407042492274023,0.0054729778470289535,0.040704 ± 0.005473,0.31645900826400986,0.04255018025380272,0.316459 ± 0.042550,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
65,observed_median,all missing entries initialized by the global observed median,5,5,0,global_median,1,0.015624727674067602,0.01039994672381243,0.015625 ± 0.010400,0.00694750827619893,0.0045688558075071715,0.006948 ± 0.004569,0.8897991528329573,0.1282245625893342,0.889799 ± 0.128225,0.8263923350001908,0.07757312144978804,0.826392 ± 0.077573,48.42196765320841,0.21888829403719456,48.4220 ± 0.2189,141.5187841060973,24.379288071976116,141.5188 ± 24.3793,17.232725866621184,2.4057101768483324,17.2327 ± 2.4057,87.67925580071449,1.7261227675477946,87.679256 ± 1.726123,17.232725866621184,2.4057101768483324,17.2327 ± 2.4057,0.007422592118016727,0.0007076486411414591,0.007423 ± 0.000708,0.03787412278378282,0.00528727511395238,0.037874 ± 0.005287,0.2944559244433006,0.041106416915655544,0.294456 ± 0.041106,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
65,random_observed_range,missing entries initialized uniformly from the observed distance range,5,5,0,random_observed_range,1,0.018418598801398903,0.012663047498849632,0.018419 ± 0.012663,0.008469872455684828,0.005517422384952289,0.008470 ± 0.005517,0.8504063351556213,0.15499935518984478,0.850406 ± 0.154999,0.8316753826774057,0.06543395646934826,0.831675 ± 0.065434,47.700787425995806,0.3296753189429835,47.7008 ± 0.3297,959.5929897681538,149.54557839020833,959.5930 ± 149.5456,16.830510369081487,2.062525960253616,16.8305 ± 2.0625,98.2266496668941,0.23938584090551038,98.226650 ± 0.239386,16.830510369081487,2.062525960253616,16.8305 ± 2.0625,0.007178494900366652,0.00042602520671248655,0.007178 ± 0.000426,0.03699013267929997,0.004533024088469485,0.036990 ± 0.004533,0.2875832603581093,0.03524242148429547,0.287583 ± 0.035242,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
65,two_way_mean,missing entries initialized by shrunk row/column observed means,5,5,0,two_way_mean,1,0.015593872654372024,0.010446413190170289,0.015594 ± 0.010446,0.006946480829648755,0.004596050903042823,0.006946 ± 0.004596,0.8898687637862157,0.12885374992333587,0.889869 ± 0.128854,0.8390579073939766,0.07708430555459313,0.839058 ± 0.077084,47.329744622000725,0.1398138361870845,47.3297 ± 0.1398,337.4290733892802,119.29836208871514,337.4291 ± 119.2984,17.269226191763103,2.673797587310639,17.2692 ± 2.6738,94.40910860696262,1.999161708729068,94.409109 ± 1.999162,17.269226191763103,2.673797587310639,17.2692 ± 2.6738,0.007430836333327082,0.0008248093514712605,0.007431 ± 0.000825,0.037954343278600235,0.005876478213869537,0.037954 ± 0.005876,0.2950796062139811,0.045687231749610015,0.295080 ± 0.045687,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
65,two_way_two_restarts,two-way initialization with two noisy restarts,5,5,0,two_way_mean,2,0.016215081524936857,0.011705437309687509,0.016215 ± 0.011705,0.007439879126801016,0.005689151613933386,0.007440 ± 0.005689,0.8829726153159424,0.14404007577380576,0.882973 ± 0.144040,0.8412031912050997,0.0650186107876692,0.841203 ± 0.065019,94.24487472059555,0.6522267264877104,94.2449 ± 0.6522,336.7208910293056,128.2182647204131,336.7209 ± 128.2183,16.908231483263716,2.552129507407609,16.9082 ± 2.5521,94.43458341776326,1.959662354777816,94.434583 ± 1.959662,16.908231483263716,2.552129507407609,16.9082 ± 2.5521,0.0072747315672196545,0.0007400111855158739,0.007275 ± 0.000740,0.03716094831486531,0.0056090758404562825,0.037161 ± 0.005609,0.28891128255856807,0.04360828688503227,0.288911 ± 0.043608,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
85,observed_mean,all missing entries initialized by the global observed mean,5,5,0,global_mean,1,0.04138657951038278,0.007848116712526066,0.041387 ± 0.007848,0.02436102386730824,0.006863589359271148,0.024361 ± 0.006864,0.35212457030214733,0.2033060583491557,0.352125 ± 0.203306,0.3303915560095335,0.3055661797529847,0.330392 ± 0.305566,62.42632590180146,0.47333370592996815,62.4263 ± 0.4733,156.27228003114436,222.09283781346164,156.2723 ± 222.0928,4.093287443944065,2.0074207231224306,4.0933 ± 2.0074,94.89834715157289,2.4387787517921673,94.898347 ± 2.438779,4.093287443944065,2.0074207231224306,4.0933 ± 2.0074,0.001824018769257129,0.0007544932416735318,0.001824 ± 0.000754,0.008996236140536403,0.004411913677192154,0.008996 ± 0.004412,0.06994208273534301,0.03430083721801526,0.069942 ± 0.034301,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
85,observed_median,all missing entries initialized by the global observed median,5,5,0,global_median,1,0.04070769532964993,0.007834980048440562,0.040708 ± 0.007835,0.023948561686708652,0.006459023774488109,0.023949 ± 0.006459,0.3902607654276311,0.2647271797958706,0.390261 ± 0.264727,0.41281239359891053,0.2872269145734848,0.412812 ± 0.287227,61.97630507119466,0.28349554806434496,61.9763 ± 0.2835,47.880505557100406,22.675874440276335,47.8805 ± 22.6759,4.71184458684762,2.3248440396302352,4.7118 ± 2.3248,90.03046026430215,1.8395330473884262,90.030460 ± 1.839533,4.71184458684762,2.3248440396302352,4.7118 ± 2.3248,0.0019526649514093816,0.0007614066624963027,0.001953 ± 0.000761,0.01035570238867609,0.005109547339846671,0.010356 ± 0.005110,0.08051138075263835,0.03972465564497722,0.080511 ± 0.039725,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
85,random_observed_range,missing entries initialized uniformly from the observed distance range,5,5,0,random_observed_range,1,0.039894322786240416,0.00787751061486354,0.039894 ± 0.007878,0.02273356390136081,0.006538322447062167,0.022734 ± 0.006538,0.4145831404890924,0.2216528412574126,0.414583 ± 0.221653,0.42922029281579854,0.3350641250483102,0.429220 ± 0.335064,61.62248838539817,0.25808580024513095,61.6225 ± 0.2581,818.3606752356476,55.94124859031871,818.3607 ± 55.9412,4.719492583504178,2.6005971417735183,4.7195 ± 2.6006,99.43183614640297,0.27902696346007666,99.431836 ± 0.279027,4.719492583504178,2.6005971417735183,4.7195 ± 2.6006,0.0020339779332298703,0.0008681326867309971,0.002034 ± 0.000868,0.010372511172536656,0.005715598113787953,0.010373 ± 0.005716,0.08064206222132045,0.04443645430284264,0.080642 ± 0.044436,5000.0,0.0,5000.000000 ± 0.000000,5000.0,0.0,5000.000000 ± 0.000000,5000.0,0.0,5000.000000 ± 0.000000,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
85,two_way_mean,missing entries initialized by shrunk row/column observed means,5,5,0,two_way_mean,1,0.0416260888893842,0.008035542275036632,0.041626 ± 0.008036,0.024527878709621927,0.0070241802314838,0.024528 ± 0.007024,0.32511418233620626,0.23435441919347624,0.325114 ± 0.234354,0.2793156281920327,0.30300573820737875,0.279316 ± 0.303006,61.497638138401086,0.404611796760631,61.4976 ± 0.4046,174.5211772344042,78.21590124969121,174.5212 ± 78.2159,4.097614978715681,1.9335173607762743,4.0976 ± 1.9335,97.5198119522255,0.7269251956793749,97.519812 ± 0.726925,4.097614978715681,1.9335173607762743,4.0976 ± 1.9335,0.0018284848204942004,0.0007350433492488678,0.001828 ± 0.000735,0.009005747205968528,0.0042494887050028,0.009006 ± 0.004249,0.0700160274067548,0.033038049017962944,0.070016 ± 0.033038,4600.0,223.60679774997897,4600.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4600.0,223.60679774997897,4600.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
85,two_way_two_restarts,two-way initialization with two noisy restarts,5,5,0,two_way_mean,2,0.041607171605885396,0.008069324576739631,0.041607 ± 0.008069,0.024529671395356997,0.0070207899869920345,0.024530 ± 0.007021,0.3263846613440905,0.23649136926057782,0.326385 ± 0.236491,0.27927477017364655,0.30292181681007685,0.279275 ± 0.302922,123.06057410339126,0.5750614904552364,123.0606 ± 0.5751,192.7913473098382,113.44912735447703,192.7913 ± 113.4491,4.007607770237703,1.7533189195272256,4.0076 ± 1.7533,97.66620338144617,0.7858199289757652,97.666203 ± 0.785820,4.007607770237703,1.7533189195272256,4.0076 ± 1.7533,0.0017893413287219835,0.0006616032993762816,0.001789 ± 0.000662,0.00880792916535759,0.003853448174785111,0.008808 ± 0.003853,0.06847807247240058,0.029958994722553672,0.068478 ± 0.029959,4600.0,223.60679774997897,4600.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4600.0,223.60679774997897,4600.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
