method,pct_missing,replicate,mask_seed,file,path
NJstar-STRICT,50,9,63,NJstar_STRICT_completed_p50_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep09_seed63.csv
NJstar-STRICT,50,10,64,NJstar_STRICT_completed_p50_rep10_seed64.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep10_seed64.csv
NJstar-STRICT,50,15,69,NJstar_STRICT_completed_p50_rep15_seed69.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep15_seed69.csv
NJstar-STRICT,50,17,71,NJstar_STRICT_completed_p50_rep17_seed71.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep17_seed71.csv
NJstar-STRICT,50,19,73,NJstar_STRICT_completed_p50_rep19_seed73.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep19_seed73.csv
NJstar-STRICT,50,20,74,NJstar_STRICT_completed_p50_rep20_seed74.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep20_seed74.csv
NJstar-STRICT,50,21,75,NJstar_STRICT_completed_p50_rep21_seed75.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep21_seed75.csv
NJstar-STRICT,50,22,76,NJstar_STRICT_completed_p50_rep22_seed76.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep22_seed76.csv
NJstar-STRICT,50,23,77,NJstar_STRICT_completed_p50_rep23_seed77.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep23_seed77.csv
NJstar-STRICT,50,24,78,NJstar_STRICT_completed_p50_rep24_seed78.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep24_seed78.csv
NJstar-STRICT,50,25,79,NJstar_STRICT_completed_p50_rep25_seed79.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep25_seed79.csv
NJstar-STRICT,50,26,80,NJstar_STRICT_completed_p50_rep26_seed80.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep26_seed80.csv
NJstar-STRICT,50,27,81,NJstar_STRICT_completed_p50_rep27_seed81.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep27_seed81.csv
NJstar-STRICT,50,28,82,NJstar_STRICT_completed_p50_rep28_seed82.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep28_seed82.csv
NJstar-STRICT,50,29,83,NJstar_STRICT_completed_p50_rep29_seed83.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep29_seed83.csv
NJstar-STRICT,65,1,55,NJstar_STRICT_completed_p65_rep01_seed55.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p65_rep01_seed55.csv
NJstar-STRICT,65,9,63,NJstar_STRICT_completed_p65_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p65_rep09_seed63.csv
NJstar-STRICT,65,10,64,NJstar_STRICT_completed_p65_rep10_seed64.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p65_rep10_seed64.csv
NJstar-STRICT,65,11,65,NJstar_STRICT_completed_p65_rep11_seed65.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p65_rep11_seed65.csv
NJstar-STRICT,65,12,66,NJstar_STRICT_completed_p65_rep12_seed66.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p65_rep12_seed66.csv
NJstar-STRICT,65,13,67,NJstar_STRICT_completed_p65_rep13_seed67.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p65_rep13_seed67.csv
NJstar-STRICT,65,16,70,NJstar_STRICT_completed_p65_rep16_seed70.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p65_rep16_seed70.csv
NJstar-STRICT,65,23,77,NJstar_STRICT_completed_p65_rep23_seed77.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p65_rep23_seed77.csv
