method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
MW-proj,30,11,65,MWproj_completed_p30_rep11_seed65.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep11_seed65.csv,True,,MW-proj_NJ_p30_rep11_seed65.treefile,0.3047619047619048,105,32,73,27,0.0157980853178861,0.0083201878919246,0.9365816537560544,0.938049853372434,14.365929292000033,True,True,True,0,0,0.0179006735520107,0.9007968426838268,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T7|T9;T10|T7|T9,T7|T8;T7|T8|T9,0.4041770979839195,0.45384883691650135,0.949355649009492,0.9708791208791208,0.4042375070080881,0.45399022094565833,0.9478999971329048,0.965177275554634,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,12,66,MWproj_completed_p30_rep12_seed66.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep12_seed66.csv,True,,MW-proj_NJ_p30_rep12_seed66.treefile,0.3047619047619048,105,32,73,27,0.0143363549977582,0.0074918711407109,0.9770623388242032,0.9857038123167154,14.371230669000056,True,True,True,0,0,0.018508862261886,0.9383033194546084,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T1|T2|T3|T5,T1|T2|T3|T4,0.40401584795843654,0.45374564249426497,0.9670578568394397,0.9800228073812979,0.40407031433357743,0.45370123998554274,0.967274889162399,0.976010781671159,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,13,67,MWproj_completed_p30_rep13_seed67.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep13_seed67.csv,True,,MW-proj_NJ_p30_rep13_seed67.treefile,0.3047619047619048,105,32,73,27,0.0298867870938492,0.015757181722667,0.9270597739698914,0.971774193548387,15.073446572999956,True,True,True,0,0,0.0147536063126553,0.7038944302064455,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T1|T3;T2|T4;T1|T3|T5,T2|T3;T1|T2|T3;T1|T2|T3|T4,0.40474140886708904,0.4540605323618528,0.9669024430168984,0.9698942566867094,0.40463178133687605,0.4539016050026366,0.9659391157293428,0.9674837626283959,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,14,68,MWproj_completed_p30_rep14_seed68.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep14_seed68.csv,True,,MW-proj_NJ_p30_rep14_seed68.treefile,0.3047619047619048,105,32,73,27,0.0045186187169171,0.0035233926122843,0.9964819013330408,0.9849706744868034,12.36787209900001,True,True,True,0,0,0.0178436112497079,0.8744812067227173,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.4049729798642888,0.45348040794114325,0.967546650172016,0.9819095998341281,0.4051140041464889,0.4536339891406617,0.9668433976751035,0.9773792245490358,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,15,69,MWproj_completed_p30_rep15_seed69.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep15_seed69.csv,True,,MW-proj_NJ_p30_rep15_seed69.treefile,0.3047619047619048,105,32,73,27,0.0137694108777776,0.0053064155565248,0.9566837223081468,0.9497800586510262,16.83085797800004,True,True,True,0,0,0.0202682169707458,1.0226680399946009,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.4046281698415419,0.453637616141679,0.9555298695781195,0.9755339000622019,0.4046356509043593,0.4536518619276277,0.9544834436624808,0.9701948994401823,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,16,70,MWproj_completed_p30_rep16_seed70.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep16_seed70.csv,True,,MW-proj_NJ_p30_rep16_seed70.treefile,0.3047619047619048,105,32,73,27,0.0180632514556382,0.0088171408144288,0.9465624032597598,0.9127565982404692,14.304512509000006,True,True,True,0,0,0.0167820102587217,0.8058939931784239,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T13|T14;T8|T9,T14|T15;T7|T8,0.403702354777873,0.45246308149734665,0.9550620861593503,0.9669292971179763,0.40369629473512525,0.4524904174077986,0.9545582146793804,0.9619635081899233,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,17,71,MWproj_completed_p30_rep17_seed71.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep17_seed71.csv,True,,MW-proj_NJ_p30_rep17_seed71.treefile,0.3047619047619048,105,32,73,27,0.0057503543495426,0.0044112093836684,0.9949082301999606,0.944648093841642,14.26699737299998,True,True,True,0,0,0.0206334930902231,1.027891334339606,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.4054568337942378,0.45416877838502,0.964115044689583,0.9731702260004146,0.40555712725534243,0.4542942268085579,0.9627927867535344,0.9681526021148663,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,18,72,MWproj_completed_p30_rep18_seed72.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep18_seed72.csv,True,,MW-proj_NJ_p30_rep18_seed72.treefile,0.3047619047619048,105,32,73,27,0.005245540699699,0.0042953006143355,0.996668764530868,0.9842375366568914,16.299572856000054,True,True,True,0,0,0.0170858305827601,0.8396075638309275,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T7|T9,T7|T8,0.4053158786045896,0.45409097305145774,0.9641207334547971,0.9807795977607299,0.40533836341946433,0.45409868545669946,0.9638704711416411,0.9735849056603773,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,19,73,MWproj_completed_p30_rep19_seed73.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep19_seed73.csv,True,,MW-proj_NJ_p30_rep19_seed73.treefile,0.3047619047619048,105,32,73,27,0.0088010102221834,0.004318015434709,0.9909037099367352,0.9890029325513194,14.389185920000044,True,True,True,0,0,0.0158255173838121,0.7573128821360127,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T1|T3,T2|T3,0.4053980894140415,0.4537077091393816,0.9722905189234665,0.9778561061579929,0.405167300203169,0.45337229476224405,0.9723707548541629,0.9745283018867924,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,20,74,MWproj_completed_p30_rep20_seed74.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep20_seed74.csv,True,,MW-proj_NJ_p30_rep20_seed74.treefile,0.3047619047619048,105,32,73,27,0.0076568128751597,0.0047262709840488,0.9835697331603404,0.9611436950146628,14.667909863999968,True,True,True,0,0,0.0179704456896526,0.918334221505403,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T13|T15,T14|T15,0.4044039270221281,0.45299457598340204,0.9620674777642132,0.9748185776487662,0.4046025506159236,0.4532800864353841,0.9608804648206523,0.9700290275761972,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
