method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MW-proj,30,15,69,MWproj_completed_p30_rep15_seed69.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,27,0.0137694108777776,0.0053064155565248,0.9566837223081468,0.9497800586510262,16.83085797800004,True,True,True,0,0,0.0202682169707458,1.0226680399946009,0.0,0.0,missing_p30_rep15_seed69.csv,MWproj_completed_p30_rep15_seed69.csv,
MW-proj,30,16,70,MWproj_completed_p30_rep16_seed70.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,27,0.0180632514556382,0.0088171408144288,0.9465624032597598,0.9127565982404692,14.304512509000006,True,True,True,0,0,0.0167820102587217,0.8058939931784239,0.0,0.0,missing_p30_rep16_seed70.csv,MWproj_completed_p30_rep16_seed70.csv,
MW-proj,30,17,71,MWproj_completed_p30_rep17_seed71.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,27,0.0057503543495426,0.0044112093836684,0.9949082301999606,0.944648093841642,14.26699737299998,True,True,True,0,0,0.0206334930902231,1.027891334339606,0.0,0.0,missing_p30_rep17_seed71.csv,MWproj_completed_p30_rep17_seed71.csv,
MW-proj,30,18,72,MWproj_completed_p30_rep18_seed72.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,27,0.005245540699699,0.0042953006143355,0.996668764530868,0.9842375366568914,16.299572856000054,True,True,True,0,0,0.0170858305827601,0.8396075638309275,0.0,0.0,missing_p30_rep18_seed72.csv,MWproj_completed_p30_rep18_seed72.csv,
MW-proj,30,19,73,MWproj_completed_p30_rep19_seed73.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,27,0.0088010102221834,0.004318015434709,0.9909037099367352,0.9890029325513194,14.389185920000044,True,True,True,0,0,0.0158255173838121,0.7573128821360127,0.0,0.0,missing_p30_rep19_seed73.csv,MWproj_completed_p30_rep19_seed73.csv,
MW-proj,30,20,74,MWproj_completed_p30_rep20_seed74.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,27,0.0076568128751597,0.0047262709840488,0.9835697331603404,0.9611436950146628,14.667909863999968,True,True,True,0,0,0.0179704456896526,0.918334221505403,0.0,0.0,missing_p30_rep20_seed74.csv,MWproj_completed_p30_rep20_seed74.csv,
MW-proj,30,21,75,MWproj_completed_p30_rep21_seed75.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,27,0.0103486176902247,0.0062510836958887,0.9851119380179342,0.9765395894428152,14.83032729699994,True,True,True,0,0,0.018617095999194,0.9156762131215376,0.0,0.0,missing_p30_rep21_seed75.csv,MWproj_completed_p30_rep21_seed75.csv,
MW-proj,30,22,76,MWproj_completed_p30_rep22_seed76.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,27,0.0057067203929558,0.0043529280058578,0.9933588729815044,0.971041055718475,17.19834644299999,True,True,True,0,0,0.0181797182406187,0.8994720579468811,0.0,0.0,missing_p30_rep22_seed76.csv,MWproj_completed_p30_rep22_seed76.csv,
MW-proj,30,23,77,MWproj_completed_p30_rep23_seed77.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,27,0.0085795412269674,0.0056565973932464,0.9824884077756204,0.9464809384164222,15.62567693799997,True,True,True,0,0,0.0188482658830291,0.9564849498943208,0.0,0.0,missing_p30_rep23_seed77.csv,MWproj_completed_p30_rep23_seed77.csv,
MW-proj,30,24,78,MWproj_completed_p30_rep24_seed78.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,27,0.023715978383527,0.0105127224227464,0.9459723153998606,0.972873900293255,15.588453447000006,True,True,True,0,0,0.0170484204949407,0.8212229688886964,0.0,0.0,missing_p30_rep24_seed78.csv,MWproj_completed_p30_rep24_seed78.csv,
MW-proj,30,25,79,MWproj_completed_p30_rep25_seed79.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,27,0.013820862534318,0.0055633458086779,0.965395570700821,0.9736070381231672,15.313151608999988,True,True,True,0,0,0.0175445497810774,0.8567427137092104,0.0,0.0,missing_p30_rep25_seed79.csv,MWproj_completed_p30_rep25_seed79.csv,
MW-proj,30,26,80,MWproj_completed_p30_rep26_seed80.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,27,0.0186034871861432,0.0085537788565716,0.9516678050360324,0.9516129032258064,13.116313492000018,True,True,True,0,0,0.0183730066978305,0.886400275863428,0.0,0.0,missing_p30_rep26_seed80.csv,MWproj_completed_p30_rep26_seed80.csv,
MW-proj,30,27,81,MWproj_completed_p30_rep27_seed81.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,27,0.0041493210778431,0.0033103873716544,0.997939888575766,0.9802052785923752,15.134514081000134,True,True,True,0,0,0.0203722497539888,1.0188345833523444,0.0,0.0,missing_p30_rep27_seed81.csv,MWproj_completed_p30_rep27_seed81.csv,
MW-proj,30,28,82,MWproj_completed_p30_rep28_seed82.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,27,0.0103605282480166,0.0059317723139351,0.9851063949136006,0.9670087976539588,15.898410581999997,True,True,True,0,0,0.0169221108571052,0.8153148137144482,0.0,0.0,missing_p30_rep28_seed82.csv,MWproj_completed_p30_rep28_seed82.csv,
MW-proj,30,29,83,MWproj_completed_p30_rep29_seed83.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,27,0.0090417242093208,0.0043120467045367,0.9882369541025308,0.9820381231671552,13.364231851000111,True,True,True,0,0,0.0202081672076728,1.0329850074539575,0.0,0.0,missing_p30_rep29_seed83.csv,MWproj_completed_p30_rep29_seed83.csv,
MW-proj,30,30,84,MWproj_completed_p30_rep30_seed84.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,27,0.0177136660364311,0.0086465989563521,0.9445182607735578,0.942815249266862,18.17717536600003,True,True,True,0,0,0.0177273818531894,0.8772338946880899,0.0,0.0,missing_p30_rep30_seed84.csv,MWproj_completed_p30_rep30_seed84.csv,
MW-proj,50,1,55,MWproj_completed_p50_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,27,0.0388622213777092,0.021538093968397,0.8547922856802164,0.8866217023819688,11.555720327000016,True,True,True,0,0,0.0132582893625525,0.6293903077408419,0.0,0.0,missing_p50_rep01_seed55.csv,MWproj_completed_p50_rep01_seed55.csv,
MW-proj,50,2,56,MWproj_completed_p50_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,27,0.0269942478730001,0.015225967425725,0.9524131179949156,0.9710577990267224,13.40996779000011,True,True,True,0,0,0.0161829801676094,0.7751350004547215,0.0,0.0,missing_p50_rep02_seed56.csv,MWproj_completed_p50_rep02_seed56.csv,
MW-proj,50,3,57,MWproj_completed_p50_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,27,0.021556335504969,0.0117153775690715,0.9221165478872064,0.9087338854264492,11.966194761999986,True,True,True,0,0,0.012149666636262,0.5821061895650711,0.0,0.0,missing_p50_rep03_seed57.csv,MWproj_completed_p50_rep03_seed57.csv,
MW-proj,50,4,58,MWproj_completed_p50_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,27,0.0179145026956077,0.0097526116693496,0.9552640157801272,0.9364808332621872,13.70459659800008,True,True,True,0,0,0.0144148027690451,0.6878178533451595,0.0,0.0,missing_p50_rep04_seed58.csv,MWproj_completed_p50_rep04_seed58.csv,
MW-proj,50,5,59,MWproj_completed_p50_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,27,0.0170707997144279,0.0085625011100844,0.9488101357772504,0.9316144454879194,18.712492667999868,True,True,True,0,0,0.0173642688625972,0.862580942286854,0.0,0.0,missing_p50_rep05_seed59.csv,MWproj_completed_p50_rep05_seed59.csv,
MW-proj,50,6,60,MWproj_completed_p50_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,27,0.0076348200600288,0.0049316820731181,0.9887002287790204,0.9518483736019806,15.298492400999976,True,True,True,0,0,0.0158256268701182,0.772866875057274,0.0,0.0,missing_p50_rep06_seed60.csv,MWproj_completed_p50_rep06_seed60.csv,
MW-proj,50,7,61,MWproj_completed_p50_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,27,0.0332630003187146,0.0157318714600937,0.8696581120822205,0.9383590881926064,12.079278579999936,True,True,True,0,0,0.0134133572525148,0.6335147601389837,0.0,0.0,missing_p50_rep07_seed61.csv,MWproj_completed_p50_rep07_seed61.csv,
MW-proj,50,8,62,MWproj_completed_p50_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,27,0.010441365164473,0.0062365744952751,0.977864986342044,0.9504823700162212,16.949594826000066,True,True,True,0,0,0.0156782059246468,0.7567951658456503,0.0,0.0,missing_p50_rep08_seed62.csv,MWproj_completed_p50_rep08_seed62.csv,
MW-proj,50,9,63,MWproj_completed_p50_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,27,0.0180795125012133,0.010242926618201,0.9572027171014188,0.9225646717322632,15.68528746600009,True,True,True,0,0,0.0148870954563003,0.7109284285001464,0.0,0.0,missing_p50_rep09_seed63.csv,MWproj_completed_p50_rep09_seed63.csv,
