restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,94.20594432981565,94.20594432981565,0.20704603149410034,0.20704603149410034,1,0.02,52,checkpoint
0,500,28.313959472516636,28.313959472516636,0.06222848235717942,0.06222848235717942,500,0.02,52,checkpoint
0,1000,25.01770742641359,25.01770742641359,0.054983972365744156,0.054983972365744156,1000,0.01,52,checkpoint
0,1500,24.603589724194237,24.603589724194237,0.05407382356965766,0.05407382356965766,1500,0.01,52,checkpoint
0,2000,24.76401554736237,24.603589724194237,0.05442640779640081,0.05407382356965766,1500,0.005,52,checkpoint
0,2500,23.601835849164722,23.601835849164722,0.05187216670146093,0.05187216670146093,2500,0.005,52,checkpoint
0,3000,23.37377193731699,23.37377193731699,0.05137092733476262,0.05137092733476262,3000,0.005,52,checkpoint
0,3500,23.698994713850325,23.37377193731699,0.052085702667802915,0.05137092733476262,3000,0.005,52,checkpoint
0,4000,23.73329607301725,23.37377193731699,0.05216109027036758,0.05137092733476262,3000,0.0025,52,checkpoint
0,4500,23.063155674132094,23.063155674132094,0.050688254228861744,0.050688254228861744,4500,0.0025,52,checkpoint
0,5000,23.193408164560246,23.063155674132094,0.05097452343859395,0.050688254228861744,4500,0.0025,52,checkpoint
