method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,masked_file,__metadata_scope,__metadata_source
KNN-Impute,30,16,70,KNNimpute_completed_p30_rep16_seed70.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,0,0.0022885280050104,0.0349002613860653,0.0250376640232934,0.8585792557517344,0.814882697947214,0.0,0.0,missing_p30_rep16_seed70.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,17,71,KNNimpute_completed_p30_rep17_seed71.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,0,0.0022834849951323,0.0324114904970038,0.0246180395363808,0.8830125963752445,0.8394428152492668,0.0,0.0,missing_p30_rep17_seed71.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,18,72,KNNimpute_completed_p30_rep18_seed72.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,0,0.0032799150067148,0.0340221158641122,0.0271239481436143,0.8388737988770388,0.6708211143695014,0.0,0.0,missing_p30_rep18_seed72.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,19,73,KNNimpute_completed_p30_rep19_seed73.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,0,0.0027997069992125,0.0351450702186811,0.0258886457490363,0.8038395938772908,0.7613636363636362,0.0,0.0,missing_p30_rep19_seed73.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,20,74,KNNimpute_completed_p30_rep20_seed74.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,0,0.002357839999604,0.0305511804745127,0.0256411871654522,0.8812062384618795,0.6140029325513195,0.0,0.0,missing_p30_rep20_seed74.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,21,75,KNNimpute_completed_p30_rep21_seed75.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,0,0.0021698500058846,0.0320620862699102,0.0267746015924334,0.8923681767792508,0.7613636363636362,0.0,0.0,missing_p30_rep21_seed75.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,22,76,KNNimpute_completed_p30_rep22_seed76.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,0,0.0021037730039097,0.0328275861720901,0.0280368779249918,0.894766084997401,0.8288123167155425,0.0,0.0,missing_p30_rep22_seed76.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,23,77,KNNimpute_completed_p30_rep23_seed77.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,0,0.0037373459927039,0.0291037201969326,0.0205205632438334,0.8898739869761366,0.87316715542522,0.0,0.0,missing_p30_rep23_seed77.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,24,78,KNNimpute_completed_p30_rep24_seed78.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,0,0.0022807869972893,0.0318676597655412,0.0211479752682561,0.8875962354356203,0.8409090909090908,0.0,0.0,missing_p30_rep24_seed78.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,25,79,KNNimpute_completed_p30_rep25_seed79.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,0,0.0030269750131992,0.0324848833205517,0.0239712025729204,0.8676037856835797,0.8101173020527858,0.0,0.0,missing_p30_rep25_seed79.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,26,80,KNNimpute_completed_p30_rep26_seed80.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,0,0.0023323560017161,0.0278032220215758,0.0215467447361447,0.9259165840479338,0.7415689149560116,0.0,0.0,missing_p30_rep26_seed80.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
