% Missing,OK_count,FAIL_count,RMSE_all_mean,RMSE_all_std,RMSE_holdout_mean,RMSE_holdout_std,runtime_mean_s,runtime_std_s
30%,5,0,0.010265632834360007,0.006765519867379246,0.01859539411759542,0.012255212160252781,0.008933654999782447,0.0002783478207338436
50%,4,1,0.023536190804129813,0.008484331534126803,0.03344484240584169,0.012056204567647971,0.008611247000089861,0.0031293767937843947
65%,2,3,0.027974550389969023,0.0008614023730936942,0.03476188419292877,0.001070400386049963,0.005855744499967841,8.396539586370203e-05
85%,0,5,,,,,,
90%,0,5,,,,,,
