method,pct_missing,n_replicates,n_success_tree,n_failed_tree,RF_mean,RF_std,nRF_mean,nRF_std,shared_splits_mean,shared_splits_std,ref_splits_mean,ref_splits_std,est_splits_mean,est_splits_std,split_precision_mean,split_precision_std,split_recall_mean,split_recall_std,split_F1_mean,split_F1_std,nj_vs_ML_pat_MAE_mean,nj_vs_ML_pat_MAE_std,nj_vs_ML_pat_RMSE_mean,nj_vs_ML_pat_RMSE_std,nj_vs_ML_pat_Pearson_mean,nj_vs_ML_pat_Pearson_std,nj_vs_ML_pat_Spearman_mean,nj_vs_ML_pat_Spearman_std,input_vs_ML_pat_MAE_mean,input_vs_ML_pat_MAE_std,input_vs_ML_pat_RMSE_mean,input_vs_ML_pat_RMSE_std,input_vs_ML_pat_Pearson_mean,input_vs_ML_pat_Pearson_std,input_vs_ML_pat_Spearman_mean,input_vs_ML_pat_Spearman_std,missingness_actual_mean,missingness_actual_std,n_missing_mean,n_missing_std,n_observed_mean,n_observed_std,optimized_variables_mean,optimized_variables_std,RMSE_miss_mean,RMSE_miss_std,MAE_miss_mean,MAE_miss_std,Pearson_miss_mean,Pearson_miss_std,Spearman_miss_mean,Spearman_miss_std,runtime_seconds_mean,runtime_seconds_std,epochs_used_mean,epochs_used_std,convergence_epoch_mean,convergence_epoch_std
NJstar-STRICT,30,27,27,0,4.296296296296297,2.9196260932209324,0.17901234567901234,0.12165108721753884,9.851851851851851,1.4598130466104662,12.0,0.0,12.0,0.0,0.8209876543209875,0.12165108721753884,0.8209876543209875,0.12165108721753884,0.8209876543209875,0.12165108721753884,0.4035355789275787,0.001724941188470657,0.45268861458409326,0.0016849659788237801,0.9493949631959104,0.014991610424307482,0.9475376475376476,0.028092181460066198,0.4036527756752685,0.0017138360288562649,0.45273455548015623,0.0016448312863355636,0.9454784779520315,0.014983194383359226,0.9445538737991567,0.025233826893815564,0.3047619047619048,0.0,32.0,0.0,73.0,0.0,0.0,0.0,0.02184078706307719,0.008915183127854156,0.013747992622200887,0.006178687246912286,0.9198647365536897,0.04187260911246995,0.8737645269903334,0.07247419576116207,0.010834876851849527,0.005442868809201705,13.0,0.0,13.0,0.0
NJstar-STRICT,50,22,22,0,9.727272727272727,4.630970464804051,0.4053030303030303,0.1929571027001688,7.136363636363637,2.3154852324020254,12.0,0.0,12.0,0.0,0.5946969696969696,0.1929571027001688,0.5946969696969696,0.1929571027001688,0.5946969696969696,0.1929571027001688,0.4023194328495265,0.0022778975717428628,0.45152893037361996,0.0021464920640738576,0.9257573407001413,0.036323711347137515,0.9231480783367576,0.04842068665123793,0.40231510735868903,0.0022451094778164963,0.45151881058394855,0.002036167951632543,0.9220803687225814,0.03793807941801582,0.9229600588091155,0.04439752992222865,0.4952380952380952,0.0,52.0,0.0,53.0,0.0,0.0,0.0,0.02592657661091006,0.010436092574777256,0.015637747377672716,0.007303434302101673,0.8912170621005605,0.07133661550677493,0.8809752955146961,0.07806047562227784,0.007537690772695927,0.001084316772831762,13.0,0.0,13.0,0.0
NJstar-STRICT,65,11,11,0,16.90909090909091,4.3232984041017914,0.7045454545454546,0.18013743350424127,3.5454545454545454,2.1616492020508953,12.0,0.0,12.0,0.0,0.2954545454545454,0.18013743350424127,0.2954545454545454,0.18013743350424127,0.32499999999999996,0.15932922666333318,0.3969997340611185,0.007388687786224252,0.4485934108485987,0.006180448432459054,0.7604802476278703,0.1401378677160087,0.7530752266601325,0.15934335812646555,0.3971402692112335,0.0073810507040094646,0.44868825686105274,0.006089932539332599,0.7530589075384317,0.1435951745171473,0.7448249863344202,0.1730321579537472,0.6476190476190478,1.1644117316690923e-16,68.0,0.0,37.0,0.0,0.0,0.0,0.04898046191161352,0.019324122566938724,0.03381171590403858,0.015358555597843382,0.653132431724668,0.21901673495404264,0.6463890730028073,0.26084435226841385,0.005928873272750892,0.0005849790196815532,13.0,0.0,13.0,0.0
