method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,embedding_dim,full_dim,max_iter,tol,init_method,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,stress_init,stress_final,stress_reduction_percent,best_epoch,epochs_used,convergence_epoch,last_rel_change,n_success,n_failed
MDS-SMACOF,30,0.3,0.3047619047619048,11,65,105,32,73,210,32,True,True,True,,missing_p30_rep11_seed65.csv,MDS_SMACOF_completed_p30_rep11_seed65.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.053659899000194855,0.012484025999479856,0.008767788066409016,0.9624172306952073,0.8629032258064515,0.0,0.0,0.0212555567488823,4.215553180599722e-11,99.99999980167287,1000,1000,1000,0.011883744781100752,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,12,66,105,32,73,210,32,True,True,True,,missing_p30_rep12_seed66.csv,MDS_SMACOF_completed_p30_rep12_seed66.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.048179022007388994,0.021836013805169967,0.015011725404702433,0.8458370425364067,0.810483870967742,0.0,0.0,0.029774174232023328,1.0368744777310694e-11,99.99999996517538,1000,1000,1000,0.01003347180806737,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,13,67,105,32,73,210,32,True,True,True,,missing_p30_rep13_seed67.csv,MDS_SMACOF_completed_p30_rep13_seed67.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.0449230819940567,0.023297385393215467,0.01659732390548682,0.829854757293206,0.6019061583577713,0.0,0.0,0.01649830687629326,8.131548858937759e-11,99.99999950712828,1000,1000,1000,0.010877960567806844,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,14,68,105,32,73,210,32,True,True,True,,missing_p30_rep14_seed68.csv,MDS_SMACOF_completed_p30_rep14_seed68.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04714547100593336,0.020552300465338447,0.014243486251598825,0.8718215907906947,0.752932551319648,0.0,0.0,0.021728782704365412,2.2455866825193215e-10,99.99999896653821,1000,1000,1000,0.010177748609155964,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,15,69,105,32,73,210,32,True,True,True,,missing_p30_rep15_seed69.csv,MDS_SMACOF_completed_p30_rep15_seed69.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.0502304490073584,0.017915829927440282,0.012324526826394585,0.904540406671749,0.8870967741935483,0.0,0.0,0.02554734262929534,7.485752941685399e-10,99.99999706985065,1000,1000,1000,0.00901314508181405,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,16,70,105,32,73,210,32,True,True,True,,missing_p30_rep16_seed70.csv,MDS_SMACOF_completed_p30_rep16_seed70.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.054609123995760456,0.022349024811197465,0.015388580311916339,0.9109684148047427,0.848240469208211,0.0,0.0,0.01601488881427722,2.598046917509464e-10,99.99999837773028,1000,1000,1000,0.009799194155858225,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,17,71,105,32,73,210,32,True,True,True,,missing_p30_rep17_seed71.csv,MDS_SMACOF_completed_p30_rep17_seed71.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.05188374900899362,0.03136034090993607,0.020888309520458604,0.8323605443828379,0.7888563049853372,0.0,0.0,0.006988886267252865,3.7240088220463814e-16,99.99999999999467,1000,1000,1000,9.042086118958928e-06,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,18,72,105,32,73,210,32,True,True,True,,missing_p30_rep18_seed72.csv,MDS_SMACOF_completed_p30_rep18_seed72.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.05228985501162242,0.01625109617114898,0.01185921692178903,0.911297574212115,0.7628299120234603,0.0,0.0,0.026707667001290902,6.424908784170507e-09,99.9999759435791,1000,1000,1000,0.007204959647016001,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,19,73,105,32,73,210,32,True,True,True,,missing_p30_rep19_seed73.csv,MDS_SMACOF_completed_p30_rep19_seed73.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04424120699695777,0.01802416615817006,0.013172474265728033,0.8421667589099283,0.7547653958944281,0.0,0.0,0.014044943894483377,6.864747745149797e-11,99.99999951122997,1000,1000,1000,0.008259915453568861,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,20,74,105,32,73,210,32,True,True,True,,missing_p30_rep20_seed74.csv,MDS_SMACOF_completed_p30_rep20_seed74.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.03866659699997399,0.016132582357022904,0.010961159356916902,0.9176129455441613,0.8596041055718473,0.0,0.0,0.021950340118805686,2.772947254151305e-18,99.99999999999999,757,757,757,9.994225380130724e-08,30,0
