method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,masked_file,__metadata_scope,__metadata_source
MW-proj,30,11,65,MWproj_completed_p30_rep11_seed65.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep11_seed65.csv,0.3047619047619048,105,32,73,27,14.365929292000033,0.0157980853178861,0.0083201878919246,0.9365816537560544,0.938049853372434,154.67426470819495,42.108116580785406,72.77626199793117,42.108116580785406,0.0179006735520107,0.0925453111665613,0.9007968426838268,0.0,0.0,0.0014457030863179,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep11_seed65.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,12,66,MWproj_completed_p30_rep12_seed66.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep12_seed66.csv,0.3047619047619048,105,32,73,27,14.371230669000056,0.0143363549977582,0.0074918711407109,0.9770623388242032,0.9857038123167154,189.0896022447889,43.86137216690975,76.80392171425252,43.86137216690975,0.018508862261886,0.0963986201470544,0.9383033194546084,0.0,0.0,0.0013971329865459,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep12_seed66.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,13,67,MWproj_completed_p30_rep13_seed67.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep13_seed67.csv,0.3047619047619048,105,32,73,27,15.073446572999956,0.0298867870938492,0.015757181722667,0.9270597739698914,0.971774193548387,96.15520044966246,32.90383283248455,65.78049582486202,32.90383283248455,0.0147536063126553,0.0723161161153506,0.7038944302064455,0.0,0.0,0.0019188454105852,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep13_seed67.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,14,68,MWproj_completed_p30_rep14_seed68.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep14_seed68.csv,0.3047619047619048,105,32,73,27,12.36787209900001,0.0045186187169171,0.0035233926122843,0.9964819013330408,0.9849706744868034,227.7098790202966,40.87798142217801,82.04821784717808,40.87798142217801,0.0178436112497079,0.0898417174113802,0.8744812067227173,0.0,0.0,0.00133484535585,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep14_seed68.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,15,69,MWproj_completed_p30_rep15_seed69.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,27,16.83085797800004,0.0137694108777776,0.0053064155565248,0.9566837223081468,0.9497800586510262,246.94781214793323,47.80503550971106,80.64164444547758,47.80503550971106,0.0202682169707458,0.105066012109255,1.0226680399946009,0.0,0.0,0.0017385221671525,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep15_seed69.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,16,70,MWproj_completed_p30_rep16_seed70.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,27,14.304512509000006,0.0180632514556382,0.0088171408144288,0.9465624032597598,0.9127565982404692,120.97050368077188,37.671844092400505,68.85865318721623,37.671844092400505,0.0167820102587217,0.0827952617415395,0.8058939931784239,0.0,0.0,0.0009595101484292,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep16_seed70.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,17,71,MWproj_completed_p30_rep17_seed71.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,27,14.26699737299998,0.0057503543495426,0.0044112093836684,0.9949082301999606,0.944648093841642,167.75540770450894,48.0492005387091,71.35758471444039,48.0492005387091,0.0206334930902231,0.1056026385466134,1.027891334339606,0.0,0.0,0.001441241685407,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep17_seed71.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,18,72,MWproj_completed_p30_rep18_seed72.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,27,16.299572856000054,0.005245540699699,0.0042953006143355,0.996668764530868,0.9842375366568914,145.2797152141275,39.24779873180685,72.9846670789796,39.24779873180685,0.0170858305827601,0.0862588983116634,0.8396075638309275,0.0,0.0,0.0013305537556145,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep18_seed72.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,19,73,MWproj_completed_p30_rep19_seed73.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,27,14.389185920000044,0.0088010102221834,0.004318015434709,0.9909037099367352,0.9890029325513194,156.17652711942142,35.400900200875405,77.33276513838351,35.400900200875405,0.0158255173838121,0.0778041762656602,0.7573128821360127,0.0,0.0,0.0012481632890862,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep19_seed73.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,20,74,MWproj_completed_p30_rep20_seed74.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,27,14.667909863999968,0.0076568128751597,0.0047262709840488,0.9835697331603404,0.9611436950146628,152.6081343130159,42.92790852159655,71.87049778516607,42.92790852159655,0.0179704456896526,0.0943470516958165,0.918334221505403,0.0,0.0,0.0011214595263839,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep20_seed74.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
