method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MDS-SMACOF,30,15,69,MDS_SMACOF_completed_p30_rep15_seed69.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,210,32,0.0295868910982095,0.0245370950699661,0.8420855784290618,0.844941348973607,0.0549469129998669,True,True,True,1000,1000,0.0,0.0,missing_p30_rep15_seed69.csv,MDS_SMACOF_completed_p30_rep15_seed69.csv,
MDS-SMACOF,30,16,70,MDS_SMACOF_completed_p30_rep16_seed70.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,210,32,0.0350264630107643,0.0268907468753461,0.8083975494350106,0.6381964809384163,0.0471177149997856,True,True,True,1000,1000,0.0,0.0,missing_p30_rep16_seed70.csv,MDS_SMACOF_completed_p30_rep16_seed70.csv,
MDS-SMACOF,30,17,71,MDS_SMACOF_completed_p30_rep17_seed71.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,210,32,0.0305159845972751,0.0243064596705173,0.892134094505165,0.7272727272727272,0.0536555799999405,True,True,True,842,842,0.0,0.0,missing_p30_rep17_seed71.csv,MDS_SMACOF_completed_p30_rep17_seed71.csv,
MDS-SMACOF,30,18,72,MDS_SMACOF_completed_p30_rep18_seed72.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,210,32,0.0366064379210713,0.0304870485232364,0.7739409018878765,0.7327712609970675,0.0502976580000904,True,True,True,1000,1000,0.0,0.0,missing_p30_rep18_seed72.csv,MDS_SMACOF_completed_p30_rep18_seed72.csv,
MDS-SMACOF,30,19,73,MDS_SMACOF_completed_p30_rep19_seed73.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,210,32,0.0358212547389288,0.0270008677965014,0.9046710376333676,0.8181818181818181,0.0261194119998435,True,True,True,585,585,0.0,0.0,missing_p30_rep19_seed73.csv,MDS_SMACOF_completed_p30_rep19_seed73.csv,
MDS-SMACOF,30,20,74,MDS_SMACOF_completed_p30_rep20_seed74.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,210,32,0.0367699797046437,0.030619212213129,0.6091645036797976,0.7617302052785923,0.0426024440000674,True,True,True,904,904,0.0,0.0,missing_p30_rep20_seed74.csv,MDS_SMACOF_completed_p30_rep20_seed74.csv,
MDS-SMACOF,30,21,75,MDS_SMACOF_completed_p30_rep21_seed75.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,210,32,0.037418717581126,0.0298758094253813,0.93615853328828,0.7170087976539589,0.0344381400000202,True,True,True,767,767,0.0,0.0,missing_p30_rep21_seed75.csv,MDS_SMACOF_completed_p30_rep21_seed75.csv,
MDS-SMACOF,30,22,76,MDS_SMACOF_completed_p30_rep22_seed76.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,210,32,0.0324253383299203,0.0280236184749356,0.8358600680825609,0.7877565982404692,0.0451849270000366,True,True,True,1000,1000,0.0,0.0,missing_p30_rep22_seed76.csv,MDS_SMACOF_completed_p30_rep22_seed76.csv,
MDS-SMACOF,30,23,77,MDS_SMACOF_completed_p30_rep23_seed77.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,210,32,0.0317596646402972,0.0271226171555475,0.8453293892648891,0.5568181818181818,0.0436686860000463,True,True,True,1000,1000,0.0,0.0,missing_p30_rep23_seed77.csv,MDS_SMACOF_completed_p30_rep23_seed77.csv,
MDS-SMACOF,30,24,78,MDS_SMACOF_completed_p30_rep24_seed78.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,210,32,0.0540412697684347,0.0392442578822857,0.6606861669310181,0.8236803519061583,0.0377951380000922,True,True,True,720,720,0.0,0.0,missing_p30_rep24_seed78.csv,MDS_SMACOF_completed_p30_rep24_seed78.csv,
MDS-SMACOF,30,25,79,MDS_SMACOF_completed_p30_rep25_seed79.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,210,32,0.028312399401431,0.0238025924135161,0.8938820781829837,0.8361436950146626,0.0496929490000184,True,True,True,877,877,0.0,0.0,missing_p30_rep25_seed79.csv,MDS_SMACOF_completed_p30_rep25_seed79.csv,
MDS-SMACOF,30,26,80,MDS_SMACOF_completed_p30_rep26_seed80.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,210,32,0.0445066521717889,0.0350030003594034,0.8701602866581062,0.7657624633431085,0.0437648330000683,True,True,True,906,906,0.0,0.0,missing_p30_rep26_seed80.csv,MDS_SMACOF_completed_p30_rep26_seed80.csv,
MDS-SMACOF,30,27,81,MDS_SMACOF_completed_p30_rep27_seed81.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,210,32,0.0325809542216591,0.0283662595990019,0.8356426487696474,0.748900293255132,0.0414964779999991,True,True,True,912,912,0.0,0.0,missing_p30_rep27_seed81.csv,MDS_SMACOF_completed_p30_rep27_seed81.csv,
MDS-SMACOF,30,28,82,MDS_SMACOF_completed_p30_rep28_seed82.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,210,32,0.0353889285095383,0.0272214553309264,0.9007114448277036,0.7723607038123166,0.0345282090002001,True,True,True,702,702,0.0,0.0,missing_p30_rep28_seed82.csv,MDS_SMACOF_completed_p30_rep28_seed82.csv,
MDS-SMACOF,30,29,83,MDS_SMACOF_completed_p30_rep29_seed83.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,210,32,0.0382137737589056,0.0322284285655593,0.773431797289103,0.6774193548387096,0.0528803289998904,True,True,True,1000,1000,0.0,0.0,missing_p30_rep29_seed83.csv,MDS_SMACOF_completed_p30_rep29_seed83.csv,
MDS-SMACOF,30,30,84,MDS_SMACOF_completed_p30_rep30_seed84.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,210,32,0.0375370739288604,0.0311499885520268,0.7406923265765487,0.7598973607038123,0.0530319310000777,True,True,True,1000,1000,0.0,0.0,missing_p30_rep30_seed84.csv,MDS_SMACOF_completed_p30_rep30_seed84.csv,
MDS-SMACOF,50,1,55,MDS_SMACOF_completed_p50_rep01_seed55.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,210,52,0.0600318534319113,0.0457892744730128,0.469227746994151,0.667292751643473,0.0171586390001721,True,True,True,292,292,0.0,0.0,missing_p50_rep01_seed55.csv,MDS_SMACOF_completed_p50_rep01_seed55.csv,
MDS-SMACOF,50,2,56,MDS_SMACOF_completed_p50_rep02_seed56.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,210,52,0.0569227760205018,0.0451661253791506,0.5164507647917989,0.6177751216596943,0.0177017359999354,True,True,True,391,391,0.0,0.0,missing_p50_rep02_seed56.csv,MDS_SMACOF_completed_p50_rep02_seed56.csv,
MDS-SMACOF,50,3,57,MDS_SMACOF_completed_p50_rep03_seed57.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,210,52,0.0409024183934224,0.0340663202277336,0.605029612486989,0.6571330999743874,0.0230794189999414,True,True,True,505,505,0.0,0.0,missing_p50_rep03_seed57.csv,MDS_SMACOF_completed_p50_rep03_seed57.csv,
MDS-SMACOF,50,4,58,MDS_SMACOF_completed_p50_rep04_seed58.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,210,52,0.0413453640023229,0.0354665797877969,0.8017853358739073,0.725604029710578,0.013005258000021,True,True,True,283,283,0.0,0.0,missing_p50_rep04_seed58.csv,MDS_SMACOF_completed_p50_rep04_seed58.csv,
MDS-SMACOF,50,5,59,MDS_SMACOF_completed_p50_rep05_seed59.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,210,52,0.0336363761311355,0.0269318976116191,0.8005531398921406,0.7722189020746179,0.0156345369998689,True,True,True,285,285,0.0,0.0,missing_p50_rep05_seed59.csv,MDS_SMACOF_completed_p50_rep05_seed59.csv,
MDS-SMACOF,50,6,60,MDS_SMACOF_completed_p50_rep06_seed60.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,210,52,0.0329199830746482,0.0270168184706854,0.8596577200714137,0.6782207803295484,0.0179418799998529,True,True,True,403,403,0.0,0.0,missing_p50_rep06_seed60.csv,MDS_SMACOF_completed_p50_rep06_seed60.csv,
MDS-SMACOF,50,7,61,MDS_SMACOF_completed_p50_rep07_seed61.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,210,52,0.0547383842060953,0.0427881289784979,0.5390133614267707,0.5755997609493724,0.0160305130000324,True,True,True,343,343,0.0,0.0,missing_p50_rep07_seed61.csv,MDS_SMACOF_completed_p50_rep07_seed61.csv,
