method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,epochs_used,convergence_epoch,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,n_success,n_failed
KNN-impute,30,0.3,0.3047619047619048,15,69,105,32,73,0,32,True,True,True,,missing_p30_rep15_seed69.csv,KNNimpute_completed_p30_rep15_seed69.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0023757360031595454,0.035477220716958455,0.024502743812360395,0.8073273805273898,0.7980205278592374,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,16,70,105,32,73,0,32,True,True,True,,missing_p30_rep16_seed70.csv,KNNimpute_completed_p30_rep16_seed70.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0022885280050104484,0.03490026138606537,0.02503766402329343,0.8585792557517344,0.814882697947214,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,17,71,105,32,73,0,32,True,True,True,,missing_p30_rep17_seed71.csv,KNNimpute_completed_p30_rep17_seed71.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002283484995132312,0.03241149049700389,0.024618039536380813,0.8830125963752445,0.8394428152492668,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,18,72,105,32,73,0,32,True,True,True,,missing_p30_rep18_seed72.csv,KNNimpute_completed_p30_rep18_seed72.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003279915006714873,0.034022115864112225,0.027123948143614303,0.8388737988770388,0.6708211143695014,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,19,73,105,32,73,0,32,True,True,True,,missing_p30_rep19_seed73.csv,KNNimpute_completed_p30_rep19_seed73.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0027997069992125034,0.035145070218681115,0.025888645749036335,0.8038395938772908,0.7613636363636362,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,20,74,105,32,73,0,32,True,True,True,,missing_p30_rep20_seed74.csv,KNNimpute_completed_p30_rep20_seed74.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002357839999604039,0.030551180474512715,0.025641187165452235,0.8812062384618795,0.6140029325513195,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,21,75,105,32,73,0,32,True,True,True,,missing_p30_rep21_seed75.csv,KNNimpute_completed_p30_rep21_seed75.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002169850005884655,0.03206208626991021,0.026774601592433424,0.8923681767792508,0.7613636363636362,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,22,76,105,32,73,0,32,True,True,True,,missing_p30_rep22_seed76.csv,KNNimpute_completed_p30_rep22_seed76.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002103773003909737,0.032827586172090195,0.02803687792499189,0.894766084997401,0.8288123167155425,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,23,77,105,32,73,0,32,True,True,True,,missing_p30_rep23_seed77.csv,KNNimpute_completed_p30_rep23_seed77.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003737345992703922,0.02910372019693268,0.02052056324383348,0.8898739869761366,0.87316715542522,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,24,78,105,32,73,0,32,True,True,True,,missing_p30_rep24_seed78.csv,KNNimpute_completed_p30_rep24_seed78.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002280786997289397,0.03186765976554129,0.021147975268256104,0.8875962354356203,0.8409090909090908,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,25,79,105,32,73,0,32,True,True,True,,missing_p30_rep25_seed79.csv,KNNimpute_completed_p30_rep25_seed79.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0030269750131992623,0.03248488332055171,0.023971202572920455,0.8676037856835797,0.8101173020527858,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,26,80,105,32,73,0,32,True,True,True,,missing_p30_rep26_seed80.csv,KNNimpute_completed_p30_rep26_seed80.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002332356001716107,0.02780322202157585,0.02154674473614475,0.9259165840479338,0.7415689149560116,0.0,0.0,30,0
