method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,epochs_used,convergence_epoch,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,n_success,n_failed
KNN-impute,30,0.3,0.3047619047619048,15,69,105,32,73,0,32,True,True,True,,missing_p30_rep15_seed69.csv,KNNimpute_completed_p30_rep15_seed69.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002490053000201442,0.06260260627677604,0.05497130193578642,0.8171351476518877,0.7155425219941348,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,16,70,105,32,73,0,32,True,True,True,,missing_p30_rep16_seed70.csv,KNNimpute_completed_p30_rep16_seed70.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002110003999860055,0.0634445074635726,0.047831922295849996,0.8439973158414814,0.8830645161290323,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,17,71,105,32,73,0,32,True,True,True,,missing_p30_rep17_seed71.csv,KNNimpute_completed_p30_rep17_seed71.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003009297000062361,0.06725520563315018,0.05659389908042542,0.7701980790993789,0.5274926686217009,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,18,72,105,32,73,0,32,True,True,True,,missing_p30_rep18_seed72.csv,KNNimpute_completed_p30_rep18_seed72.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0024302609999722335,0.06344675512571751,0.05521618835729873,0.8019846177370034,0.6594574780058651,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,19,73,105,32,73,0,32,True,True,True,,missing_p30_rep19_seed73.csv,KNNimpute_completed_p30_rep19_seed73.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0024944780000168976,0.05949279168578302,0.05207798086595248,0.8650236760745521,0.7767595307917888,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,20,74,105,32,73,0,32,True,True,True,,missing_p30_rep20_seed74.csv,KNNimpute_completed_p30_rep20_seed74.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0025035290000232635,0.07475255821426631,0.06576498227566326,0.7141644932526181,0.7452346041055719,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,21,75,105,32,73,0,32,True,True,True,,missing_p30_rep21_seed75.csv,KNNimpute_completed_p30_rep21_seed75.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0020736169999509,0.06904660867706963,0.06313583664808964,0.8396070915386455,0.811217008797654,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,22,76,105,32,73,0,32,True,True,True,,missing_p30_rep22_seed76.csv,KNNimpute_completed_p30_rep22_seed76.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003072994000149265,0.07191645757444186,0.06265057320910883,0.6452052270852905,0.6264662756598239,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,23,77,105,32,73,0,32,True,True,True,,missing_p30_rep23_seed77.csv,KNNimpute_completed_p30_rep23_seed77.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021447699998589087,0.06529411197036696,0.052550480546644476,0.709637022242362,0.7067448680351905,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,24,78,105,32,73,0,32,True,True,True,,missing_p30_rep24_seed78.csv,KNNimpute_completed_p30_rep24_seed78.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021122460000242427,0.057377483717481546,0.05146360168636335,0.9249098495176704,0.7950879765395894,0.0,0.0,30,0
