% Missing,RMSE_all_LT_mean,RMSE_all_LT_std,RMSE_missing_LT_mean,RMSE_missing_LT_std,time_sec_mean,time_sec_std,time_min_mean,time_min_std
30%,0.029755523236094417,0.0017126130666788536,0.05389981218677977,0.0031022651462112665,0.0708110907999071,0.003032582863644667,0.0011801848466651184,5.0543047727411115e-05
50%,0.04590241826784763,0.0022257559246811193,0.06522717111665396,0.0031627911565777593,0.0683015101998535,0.003761599796949762,0.0011383585033308918,6.26933299491627e-05
65%,0.06116122730488911,0.005442601911196644,0.076000488695336,0.006763114856461499,0.0750350691996573,0.0037435386503615695,0.001250584486660955,6.23923108393595e-05
85%,0.1023134556144482,0.005985796093549484,0.11113027763156998,0.006501619730535086,0.0687091377998513,0.003358307267935962,0.0011451522966641884,5.59717877989327e-05
90%,0.11837800342951636,0.0034934771057088558,0.1251127971104667,0.0036922289587089895,0.06924278659989795,0.00266281118875956,0.0011540464433316326,4.4380186479326e-05
