method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,imputed_variables,optimized_variables,success,success_numerical,success_valid_matrix,status,reason,error_message,masked_file,completed_file,run_log_file,s_top,initial_known_graph_components,joins_performed,n_pair_selection_failures,last_active_clusters,tree_edges_final,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,epochs_used,convergence_epoch,njstar_config_json
NJstar-STRICT,30,0.3,0.3047619047619048,11,65,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep11_seed65.csv,NJstar_STRICT_completed_p30_rep11_seed65.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep11_seed65.log,15,1,13,0,2,27,0.009058958999958122,49.15961218973703,0.020747071113324057,0.10804310371370776,1.0516457881254047,46.74540871538672,0.02022617682793644,0.02092644551683074,0.011292269834832015,0.8796791728539531,0.9145894428152491,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,12,66,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep12_seed66.csv,NJstar_STRICT_completed_p30_rep12_seed66.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep12_seed66.log,15,1,13,0,2,27,0.009588285000063479,146.19750347455522,0.03873890776892813,0.3213131944495719,3.1275264778342358,46.74540871538672,0.02022617682793644,0.027063304377972205,0.020016944890190624,0.9001350449433178,0.8563049853372433,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,13,67,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep13_seed67.csv,NJstar_STRICT_completed_p30_rep13_seed67.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep13_seed67.log,15,1,13,0,2,27,0.008102910999923552,42.31960645858294,0.018643197081220905,0.09301012408479767,0.9053211346647829,46.74540871538672,0.02022617682793644,0.032293930030680894,0.017777413802256545,0.9079241238554479,0.9010263929618767,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,14,68,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep14_seed68.csv,NJstar_STRICT_completed_p30_rep14_seed68.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep14_seed68.log,15,1,13,0,2,27,0.008569460999979128,44.28591993845423,0.019157224475733918,0.09733169217242688,0.9473854471589436,46.74540871538672,0.02022617682793644,0.004932201681433379,0.004147026188645625,0.9956696131950608,0.972507331378299,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,15,69,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep15_seed69.csv,NJstar_STRICT_completed_p30_rep15_seed69.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep15_seed69.log,15,1,13,0,2,27,0.00947643499989681,121.87085956726571,0.03804118692199788,0.2678480430049796,2.6071193496089955,46.74540871538672,0.02022617682793644,0.02352925627911377,0.017387698259456505,0.9091498071726807,0.8717008797653958,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,16,70,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep16_seed70.csv,NJstar_STRICT_completed_p30_rep16_seed70.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep16_seed70.log,15,1,13,0,2,27,0.00857496200001151,42.44302727278982,0.018858567487962757,0.09328137862151609,0.9079614113806918,46.74540871538672,0.02022617682793644,0.02392360542190647,0.010873619183672398,0.9107042118457198,0.8174486803519062,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,17,71,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep17_seed71.csv,NJstar_STRICT_completed_p30_rep17_seed71.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep17_seed71.log,15,1,13,0,2,27,0.008470096000110061,336.944451836055,0.05047171112268698,0.7405372567825385,7.208075853771417,46.74540871538672,0.02022617682793644,0.03260264610512086,0.025003580959579625,0.8729930527962869,0.6664222873900293,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,18,72,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep18_seed72.csv,NJstar_STRICT_completed_p30_rep18_seed72.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep18_seed72.log,15,1,13,0,2,27,0.013352482000072996,190.592483339211,0.043189792018229436,0.4188845787674967,4.077244986767557,46.74540871538672,0.02022617682793644,0.019973146291107777,0.014344807019531822,0.9439239108301116,0.9369501466275659,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,19,73,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep19_seed73.csv,NJstar_STRICT_completed_p30_rep19_seed73.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep19_seed73.log,15,1,13,0,2,27,0.014199527999835482,70.96801031808855,0.02871419996689131,0.15597364905074407,1.518181405797158,46.74540871538672,0.02022617682793644,0.018477060603555993,0.01427400295017301,0.9537485268273997,0.846407624633431,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,20,74,105,32,73,32,0,False,False,False,FAIL,No eligible pair at r=3: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=3: need d_xy known and |S_xy|>=3.'),missing_p30_rep20_seed74.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep20_seed74.log,15,1,12,1,3,-1,0.008410391999859712,,,,,46.74540871538672,0.02022617682793644,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,21,75,105,32,73,32,0,False,False,False,FAIL,No eligible pair at r=3: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=3: need d_xy known and |S_xy|>=3.'),missing_p30_rep21_seed75.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep21_seed75.log,15,1,12,1,3,-1,0.009062750000111919,,,,,46.74540871538672,0.02022617682793644,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,22,76,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep22_seed76.csv,NJstar_STRICT_completed_p30_rep22_seed76.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep22_seed76.log,15,1,13,0,2,27,0.01307621000000836,71.67752747890205,0.02833867882770653,0.15753302742615835,1.5333597341145648,46.74540871538672,0.02022617682793644,0.013950325753657742,0.010582427574259812,0.949331764809018,0.8717008797653958,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,23,77,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep23_seed77.csv,NJstar_STRICT_completed_p30_rep23_seed77.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep23_seed77.log,15,1,13,0,2,27,0.008926328999905309,47.8523766344412,0.020299425368874822,0.10517005853723341,1.023680783834715,46.74540871538672,0.02022617682793644,0.01409001087578917,0.005695213006061256,0.956162489926327,0.8335777126099706,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,24,78,105,32,73,32,0,False,False,False,FAIL,No eligible pair at r=3: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=3: need d_xy known and |S_xy|>=3.'),missing_p30_rep24_seed78.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep24_seed78.log,15,1,12,1,3,-1,0.008357892000049105,,,,,46.74540871538672,0.02022617682793644,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,25,79,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep25_seed79.csv,NJstar_STRICT_completed_p30_rep25_seed79.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep25_seed79.log,15,1,13,0,2,27,0.008155413000167755,59.28384220807763,0.02376128988379706,0.1302941586990717,1.2682281284357184,46.74540871538672,0.02022617682793644,0.017840543043247833,0.009890468372039642,0.9437972539266547,0.9006598240469208,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,26,80,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep26_seed80.csv,NJstar_STRICT_completed_p30_rep26_seed80.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep26_seed80.log,15,1,13,0,2,27,0.011351246999993236,57.51418775754702,0.02453497610728109,0.1264048082583451,1.2303708393636452,46.74540871538672,0.02022617682793644,0.024646940715801514,0.014279128293105629,0.913446182946679,0.8874633431085044,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,27,81,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep27_seed81.csv,NJstar_STRICT_completed_p30_rep27_seed81.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep27_seed81.log,15,1,13,0,2,27,0.008848517999922478,46.25080608160667,0.020127108209119376,0.1016501232562784,0.9894192253876422,46.74540871538672,0.02022617682793644,0.003055897179108963,0.0025455191518380603,0.9980720857838786,0.9827712609970674,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
