method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,best_start_pair,n_weighted_lsq_fits,n_graft_evaluations,nnls_backend
MW-proj,65,0.65,0.6505747126436782,1,55,435,283,152,57,True,True,True,True,,missing_p65_rep01_seed55.csv,MWproj_completed_p65_rep01_seed55.csv,mw_proj_outputs/logs/MWproj_completed_p65_rep01_seed55.log,1338.1398047820003,1333.567330351841,0.04543066665992145,0.32846485969257166,0.6365634149024387,2094.9481216356535,0.06362992423130975,0.02183573312914034,0.014755729024503115,0.8308157970158935,0.8567940989293402,0.0,0.0,1365.6969581144353,1333.567330351841,2.3526176558930327,0,0,0,,ultrametric,2,283,0,0.0347112517608077,435,57,435,"(8, 13)",365835,341040,scipy.optimize.nnls
MW-proj,65,0.65,0.6505747126436782,2,56,435,283,152,57,True,True,True,True,,missing_p65_rep02_seed56.csv,MWproj_completed_p65_rep02_seed56.csv,mw_proj_outputs/logs/MWproj_completed_p65_rep02_seed56.log,1895.2307832109982,638.8250547008231,0.02961998220168004,0.15734607258640962,0.304935978176898,2094.9481216356535,0.06362992423130975,0.027432920399541094,0.015675991193903695,0.7699203231353673,0.8402031616811613,0.0,0.0,686.0877398707541,638.8250547008231,6.888723179754595,0,0,0,,ultrametric,2,283,0,0.02376209303933907,435,57,435,"(9, 27)",365835,341040,scipy.optimize.nnls
MW-proj,65,0.65,0.6505747126436782,3,57,435,283,152,57,True,True,True,True,,missing_p65_rep03_seed57.csv,MWproj_completed_p65_rep03_seed57.csv,mw_proj_outputs/logs/MWproj_completed_p65_rep03_seed57.log,1383.7833176879976,1045.9825629199067,0.040299864748339916,0.25763117313298195,0.4992880501991832,2094.9481216356535,0.06362992423130975,0.019877640463890584,0.011333554560170924,0.8572377547029224,0.884746566762427,0.0,0.0,1405.6554542166064,1045.9825629199067,25.587557051606996,0,0,0,,ultrametric,2,283,0,0.024063829187577317,435,57,435,"(7, 23)",365835,341040,scipy.optimize.nnls
MW-proj,65,0.65,0.6505747126436782,4,58,435,283,152,57,True,True,True,True,,missing_p65_rep04_seed58.csv,MWproj_completed_p65_rep04_seed58.csv,mw_proj_outputs/logs/MWproj_completed_p65_rep04_seed58.log,1369.0274927219943,1137.8917135589322,0.04142435098203253,0.28026889496525426,0.5431598528895841,2094.9481216356535,0.06362992423130975,0.019365490661677857,0.011496903914428624,0.8815760858813112,0.9300751505499426,0.0,0.0,1338.9427689496792,1137.8917135589322,15.015657132863087,0,0,0,,ultrametric,2,283,0,0.03004388950455624,435,57,435,"(5, 12)",365835,341040,scipy.optimize.nnls
MW-proj,65,0.65,0.6505747126436782,5,59,435,283,152,57,True,True,True,True,,missing_p65_rep05_seed59.csv,MWproj_completed_p65_rep05_seed59.csv,mw_proj_outputs/logs/MWproj_completed_p65_rep05_seed59.log,1314.6814580900027,874.490009529505,0.03510147865947884,0.21539162796293226,0.4174280023921248,2094.9481216356535,0.06362992423130975,0.02747656576442742,0.01500957131962828,0.7384895031221078,0.8234512707399951,0.0,0.0,926.73744244049,874.490009529505,5.63778158929195,0,0,0,,ultrametric,2,283,0,0.03047419515350214,435,57,435,"(8, 27)",365835,341040,scipy.optimize.nnls
MW-proj,85,0.85,0.8505747126436781,1,55,435,370,65,57,True,True,True,False,,missing_p85_rep01_seed55.csv,MWproj_completed_p85_rep01_seed55.csv,mw_proj_outputs/logs/MWproj_completed_p85_rep01_seed55.log,1847.8643046350044,972.4775910829803,0.03794991334690806,0.23952650026674394,0.4642012759359921,2094.9481216356535,0.06362992423130975,0.02746427422441181,0.016983730210685326,0.7179907031810665,0.6986493297583956,0.0,0.0,836.9293152986065,972.4775910829803,-16.195904875910788,0,0,0,,ultrametric,3,370,0,0.03512814392658644,435,57,435,"(11, 20)",365835,341040,scipy.optimize.nnls
MW-proj,85,0.85,0.8505747126436781,2,56,435,370,65,57,True,True,True,False,,missing_p85_rep02_seed56.csv,MWproj_completed_p85_rep02_seed56.csv,mw_proj_outputs/logs/MWproj_completed_p85_rep02_seed56.log,1842.1867748000004,402.04825207069405,0.019289099808201968,0.09902666307159952,0.19191322587825732,2094.9481216356535,0.06362992423130975,0.0307096857685352,0.018243952055788184,0.6545781690827048,0.665056760132692,0.0,0.0,387.97693695916826,402.04825207069405,-3.6268431886214656,0,0,0,,ultrametric,3,370,0,0.01383056435049517,435,57,435,"(1, 20)",365835,341040,scipy.optimize.nnls
MW-proj,85,0.85,0.8505747126436781,3,57,435,370,65,57,True,True,True,False,,missing_p85_rep03_seed57.csv,MWproj_completed_p85_rep03_seed57.csv,mw_proj_outputs/logs/MWproj_completed_p85_rep03_seed57.log,1756.0683428710036,600.4566241097818,0.02796018114010664,0.1478957202240842,0.2866212379717398,2094.9481216356535,0.06362992423130975,0.03130639338107052,0.01792096499634489,0.6215206616562363,0.6768974088808419,0.0,0.0,553.2340526281346,600.4566241097818,-8.535731171520762,0,0,0,,ultrametric,3,370,0,0.02896438767493958,435,57,435,"(0, 9)",365835,341040,scipy.optimize.nnls
MW-proj,85,0.85,0.8505747126436781,4,58,435,370,65,57,True,True,True,True,,missing_p85_rep04_seed58.csv,MWproj_completed_p85_rep04_seed58.csv,mw_proj_outputs/logs/MWproj_completed_p85_rep04_seed58.log,1935.5413042740038,442.40465946271036,0.0209578930563906,0.10896666489229319,0.21117690452272303,2094.9481216356535,0.06362992423130975,0.02890193267667317,0.018910497942872175,0.6845454852009871,0.6859181448228848,0.0,0.0,519.9157196823003,442.40465946271036,14.908389434147873,0,0,0,,ultrametric,3,370,0,0.016963631052867745,435,57,435,"(5, 29)",365835,341040,scipy.optimize.nnls
MW-proj,85,0.85,0.8505747126436781,5,59,435,370,65,57,True,True,True,False,,missing_p85_rep05_seed59.csv,MWproj_completed_p85_rep05_seed59.csv,mw_proj_outputs/logs/MWproj_completed_p85_rep05_seed59.log,1956.5399894869988,499.63585185927786,0.021928479960114686,0.12306301769932952,0.2384955726107345,2094.9481216356535,0.06362992423130975,0.032871041475487056,0.020529605437379434,0.6331164254979263,0.6182416589227451,0.0,0.0,358.14254595595014,499.63585185927786,-39.5075389676631,0,0,0,,ultrametric,2,370,0,0.01990552706527424,435,57,435,"(4, 5)",365835,341040,scipy.optimize.nnls
