method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,s_top,status,reason,joins_performed,tree_edges_final,initial_known_graph_components,n_pair_selection_failures,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
NJstar-STRICT,30,12,66,NJstar_STRICT_completed_p30_rep12_seed66.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep12_seed66.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0296767766973105,0.0111887819712207,0.7576242857523532,0.7111436950146627,0.0191475699975853,True,True,True,13,13,0.0251665255207292,1.1091950677519853,0.0,0.0,missing_p30_rep12_seed66.csv,NJstar_STRICT_completed_p30_rep12_seed66.csv,
NJstar-STRICT,30,14,68,NJstar_STRICT_completed_p30_rep14_seed68.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep14_seed68.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0243657375754159,0.0087797998302925,0.8216531332899369,0.7137096774193548,0.0107643880037358,True,True,True,13,13,0.0309129647794674,1.4120191528952104,0.0,0.0,missing_p30_rep14_seed68.csv,NJstar_STRICT_completed_p30_rep14_seed68.csv,
NJstar-STRICT,30,15,69,NJstar_STRICT_completed_p30_rep15_seed69.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0126061070185136,0.0044820358300783,0.9424188058512228,0.9541788856304986,0.0089078210003208,True,True,True,13,13,0.0196924524702709,0.803421159699217,0.0,0.0,missing_p30_rep15_seed69.csv,NJstar_STRICT_completed_p30_rep15_seed69.csv,
NJstar-STRICT,30,16,70,NJstar_STRICT_completed_p30_rep16_seed70.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0113890858461385,0.0038849298619834,0.9665704098109262,0.9527126099706744,0.0093462479999288,True,True,True,13,13,0.0175455403825352,0.7021472093727598,0.0,0.0,missing_p30_rep16_seed70.csv,NJstar_STRICT_completed_p30_rep16_seed70.csv,
NJstar-STRICT,30,17,71,NJstar_STRICT_completed_p30_rep17_seed71.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0228020701616703,0.008776936163524,0.8562950472999619,0.7543988269794721,0.0091239290049998,True,True,True,13,13,0.0203451857930245,0.8951788032813498,0.0,0.0,missing_p30_rep17_seed71.csv,NJstar_STRICT_completed_p30_rep17_seed71.csv,
NJstar-STRICT,30,18,72,NJstar_STRICT_completed_p30_rep18_seed72.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0035651163768101,0.002712519418597,0.9947898150710978,0.9501466275659824,0.0101086950016906,True,True,True,13,13,0.0253667956926052,1.1450947934424336,0.0,0.0,missing_p30_rep18_seed72.csv,NJstar_STRICT_completed_p30_rep18_seed72.csv,
NJstar-STRICT,30,19,73,NJstar_STRICT_completed_p30_rep19_seed73.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0225183196904707,0.0071351547161039,0.7362715713212337,0.629765395894428,0.0087168470054166,True,True,True,13,13,0.0224017730176578,1.0258429682295476,0.0,0.0,missing_p30_rep19_seed73.csv,NJstar_STRICT_completed_p30_rep19_seed73.csv,
NJstar-STRICT,30,20,74,NJstar_STRICT_completed_p30_rep20_seed74.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0347763897167862,0.0260050024281993,0.5427703606714754,0.125733137829912,0.0095678060024511,True,True,True,13,13,0.0845121902089348,6.3531176575379,0.0,0.0,missing_p30_rep20_seed74.csv,NJstar_STRICT_completed_p30_rep20_seed74.csv,
NJstar-STRICT,30,21,75,NJstar_STRICT_completed_p30_rep21_seed75.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.004933205406777,0.0039233892434517,0.9916668489866716,0.9208211143695014,0.0118637059931643,True,True,True,13,13,0.0322636372539986,1.688155437150341,0.0,0.0,missing_p30_rep21_seed75.csv,NJstar_STRICT_completed_p30_rep21_seed75.csv,
NJstar-STRICT,30,22,76,NJstar_STRICT_completed_p30_rep22_seed76.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0400812204392028,0.0267883428190655,0.6457224504264503,0.7463343108504398,0.0085392200126079,True,True,True,13,13,0.0798811031895425,2547312.033903337,0.0,0.0,missing_p30_rep22_seed76.csv,NJstar_STRICT_completed_p30_rep22_seed76.csv,
