method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,masked_file,__metadata_scope,__metadata_source
MDS-SMACOF,30,15,69,MDS_SMACOF_completed_p30_rep15_seed69.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,210,0.0502304490073584,0.0179158299274402,0.0123245268263945,0.904540406671749,0.8870967741935483,0.0,0.0,missing_p30_rep15_seed69.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,16,70,MDS_SMACOF_completed_p30_rep16_seed70.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,210,0.0546091239957604,0.0223490248111974,0.0153885803119163,0.9109684148047428,0.848240469208211,0.0,0.0,missing_p30_rep16_seed70.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,17,71,MDS_SMACOF_completed_p30_rep17_seed71.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,210,0.0518837490089936,0.031360340909936,0.0208883095204586,0.8323605443828379,0.7888563049853372,0.0,0.0,missing_p30_rep17_seed71.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,18,72,MDS_SMACOF_completed_p30_rep18_seed72.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,210,0.0522898550116224,0.0162510961711489,0.011859216921789,0.911297574212115,0.7628299120234603,0.0,0.0,missing_p30_rep18_seed72.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,19,73,MDS_SMACOF_completed_p30_rep19_seed73.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,210,0.0442412069969577,0.01802416615817,0.013172474265728,0.8421667589099283,0.7547653958944281,0.0,0.0,missing_p30_rep19_seed73.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,20,74,MDS_SMACOF_completed_p30_rep20_seed74.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,210,0.0386665969999739,0.0161325823570229,0.0109611593569169,0.9176129455441612,0.8596041055718473,0.0,0.0,missing_p30_rep20_seed74.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,21,75,MDS_SMACOF_completed_p30_rep21_seed75.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,210,0.0555230650061275,0.0140586312300944,0.0100440035310481,0.9514871621673152,0.9090909090909092,0.0,0.0,missing_p30_rep21_seed75.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,22,76,MDS_SMACOF_completed_p30_rep22_seed76.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,210,0.0489710320107406,0.013944326037312,0.0100559718894494,0.954670662196284,0.9142228739002932,0.0,0.0,missing_p30_rep22_seed76.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,23,77,MDS_SMACOF_completed_p30_rep23_seed77.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,210,0.0469747620081761,0.0193271556872366,0.0128349735787957,0.9105601849413234,0.9028592375366568,0.0,0.0,missing_p30_rep23_seed77.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,24,78,MDS_SMACOF_completed_p30_rep24_seed78.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,210,0.0485533489991212,0.0251794227757229,0.0182211713886576,0.788020488590769,0.7034457478005863,0.0,0.0,missing_p30_rep24_seed78.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,25,79,MDS_SMACOF_completed_p30_rep25_seed79.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,210,0.0496945429913466,0.0236744128736903,0.0165613236214672,0.9081339152175886,0.8658357771260996,0.0,0.0,missing_p30_rep25_seed79.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,26,80,MDS_SMACOF_completed_p30_rep26_seed80.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,210,0.0512505850056186,0.0253461733338735,0.0187889436832276,0.8880567854278729,0.8709677419354838,0.0,0.0,missing_p30_rep26_seed80.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,27,81,MDS_SMACOF_completed_p30_rep27_seed81.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,210,0.0514115249970927,0.0189484122537967,0.0152409417304167,0.8850923640715198,0.7804252199413488,0.0,0.0,missing_p30_rep27_seed81.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,28,82,MDS_SMACOF_completed_p30_rep28_seed82.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,210,0.0489536599925486,0.0212704844044247,0.0149402056911319,0.8265021105666142,0.6726539589442815,0.0,0.0,missing_p30_rep28_seed82.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,29,83,MDS_SMACOF_completed_p30_rep29_seed83.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,210,0.0504427609994309,0.0187659899466143,0.0129593398781254,0.8664432965976424,0.8093841642228737,0.0,0.0,missing_p30_rep29_seed83.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,30,84,MDS_SMACOF_completed_p30_rep30_seed84.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,210,0.046999329002574,0.0124852012914941,0.0092614262328733,0.9648657709688386,0.7840909090909091,0.0,0.0,missing_p30_rep30_seed84.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,1,55,MDS_SMACOF_completed_p50_rep01_seed55.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,210,0.0245296010107267,0.0230654180381213,0.0168083539880164,0.8226609420665024,0.7249210279176983,0.0,0.0,missing_p50_rep01_seed55.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,2,56,MDS_SMACOF_completed_p50_rep02_seed56.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,210,0.0207355270104017,0.0218011338142563,0.0153679034889032,0.8506138899745164,0.7629983778707418,0.0,0.0,missing_p50_rep02_seed56.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
