method,pct_missing,n_files,n_success,n_failed,edge_BL_MAE_mean,edge_BL_MAE_std,edge_BL_RMSE_mean,edge_BL_RMSE_std,edge_BL_rel_RMSE_mean,edge_BL_rel_RMSE_std,edge_BL_Pearson_mean,edge_BL_Pearson_std,edge_BL_Spearman_mean,edge_BL_Spearman_std,terminal_BL_MAE_mean,terminal_BL_MAE_std,terminal_BL_RMSE_mean,terminal_BL_RMSE_std,internal_BL_MAE_mean,internal_BL_MAE_std,internal_BL_RMSE_mean,internal_BL_RMSE_std,fit_pat_MAE_mean,fit_pat_MAE_std,fit_pat_RMSE_mean,fit_pat_RMSE_std,fit_pat_Pearson_mean,fit_pat_Pearson_std,fit_pat_Spearman_mean,fit_pat_Spearman_std,input_vs_ML_pat_MAE_mean,input_vs_ML_pat_MAE_std,input_vs_ML_pat_RMSE_mean,input_vs_ML_pat_RMSE_std,input_vs_ML_pat_Pearson_mean,input_vs_ML_pat_Pearson_std,input_vs_ML_pat_Spearman_mean,input_vs_ML_pat_Spearman_std,tree_length_abs_error_mean,tree_length_abs_error_std,tree_length_rel_error_mean,tree_length_rel_error_std
MDS-SMACOF,30,30,30,0,0.022234054368748188,0.0014389475094692774,0.03590382165352733,0.0016466705979529522,0.5795709818479678,0.02658108388698539,0.743662840231712,0.09412066089953706,0.8043400660889597,0.08212734206300722,0.019912492110783466,0.0017694489026759566,0.02984325994835364,0.0009398360884772092,0.02513600719120407,0.0017149144857650524,0.04224565314286915,0.002747994861997969,0.1377868756736409,0.0009190823913322976,0.15641266297393025,0.0008850706423941268,0.9547481579502298,0.01583799300436252,0.9318114589812703,0.018944751127541664,0.1384802549765954,0.0006856685171004423,0.1566001837023048,0.000873307599405324,0.9340779460077153,0.020219910147138156,0.894688990255028,0.023403422426198084,0.520332642869619,0.02746701454418487,0.4285262798212178,0.022620794066468258
MDS-SMACOF,50,30,30,0,0.024065794137303566,0.0019869494437607664,0.03820294010393547,0.0019978067160220467,0.6166840878160873,0.03224923550258355,0.6253154951229578,0.10809117985761743,0.6956856827796472,0.10016500426274189,0.02123499129742531,0.0024582698763669407,0.03080196089083934,0.0013843770164561496,0.02760429768715138,0.0022084056242582745,0.045754592687557924,0.003331175049502693,0.13993625801692924,0.0012170239091608488,0.15894555911979064,0.001245067979572449,0.9227395531007082,0.04082586758009126,0.9039906005943742,0.0347215006141353,0.14107446845055815,0.0012869580242010296,0.1592609244560234,0.0012072813128534501,0.8774474294850869,0.05319362445290032,0.8447612136291379,0.04332347474099542,0.4854556141002496,0.042204710050102325,0.3998028783691578,0.03475820253936158
MDS-SMACOF,65,30,30,0,0.027219836169144692,0.002732428732357947,0.04106760622399922,0.0021507917316735754,0.6629264452980753,0.034718768595322504,0.4862326449839652,0.11223907824398775,0.5813821491372841,0.10743945024353037,0.024221906230349446,0.0036784357413505004,0.03256468142739762,0.0021218805764414658,0.030967248592638743,0.0026127854258963423,0.04964164270891452,0.0031330524166708023,0.144367155616702,0.0013695715771927719,0.16257800309622336,0.0019230455474997636,0.8365331691031076,0.08334447938967474,0.8252830188679245,0.06529319244671773,0.14567571485469355,0.001321031868338256,0.16309115666965746,0.0018922647626985851,0.732856364085553,0.10714871636895146,0.7175641025641025,0.07664760288529664,0.4335905930390727,0.06253721095181411,0.3570888091429372,0.05150328107762146
MDS-SMACOF,85,30,30,0,0.031786409074557334,0.002541279974735829,0.045475220858159277,0.00211560830745517,0.7340755715882747,0.03415082649946955,0.3176710465165049,0.08122530065949558,0.4679965013686899,0.0823032496087426,0.030781790097023802,0.004066387624533082,0.037762066049268836,0.0037614776594017347,0.03304218279647425,0.0019075128615951204,0.05348600639258582,0.0015786061498973807,0.1539463628143632,0.005631911462593289,0.1721712096696434,0.007849267150021016,0.5109472998062398,0.16214659212882718,0.542046420756831,0.1673746461786976,0.15460107010893467,0.005682000421139326,0.17261391708799892,0.007903271603234351,0.39635526098431934,0.12863111698549146,0.34954232439181443,0.1328965439790535,0.38808035979872973,0.09091511733554812,0.31960830275624313,0.07487425120294466
