name,min,median,mean,max,std,nan_count,n_pairs
p_distance_pairwise_deletion,0.04103214890016921,0.2500918329864087,0.22850088203605404,0.2905401225020108,0.05313398521034458,0,105
JC69_pairwise_deletion,0.04219726877413468,0.30423659321223157,0.2761691139174706,0.36751618971605743,0.07278309471298024,0,105
K80_pairwise_deletion,0.04265535911882649,0.3096884522088136,0.2814640951929383,0.372986098360094,0.07283274282791315,0,105
pairwise_valid_sites,15756.0,16246.0,16201.809523809523,16719.0,208.14331579298207,0,105
Delta_p_distance_total,,,46.74540871538669,,,0,455
Delta_p_distance_per_triplet,,,0.10273716201183887,,,0,455
