method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,__metadata_scope,__metadata_source
NJstar-STRICT,30,29,83,NJstar_STRICT_completed_p30_rep29_seed83.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,0,0.008245947999967,0.0081489496616769,0.0043252630727367,0.9906545313971394,0.9820381231671552,49.68357182772243,0.0212537949600362,0.1091946633576317,1.0628545817242707,0.0,0.0,missing_p30_rep29_seed83.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,30,30,84,NJstar_STRICT_completed_p30_rep30_seed84.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,0,0.0087586059999011,0.0253359247673589,0.013140863837631,0.8942200488104278,0.8306451612903225,49.39606024131609,0.0206251840919884,0.1085627697611342,1.0567039972218035,0.0,0.0,missing_p30_rep30_seed84.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,2,56,NJstar_STRICT_completed_p50_rep02_seed56.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,0,0.0077058399999714,0.0291418932079421,0.0175306363836743,0.9165987732255274,0.946384359258943,51.55063059797321,0.0224875776855022,0.1132980892263147,1.1027955902972948,0.0,0.0,missing_p50_rep02_seed56.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,5,59,NJstar_STRICT_completed_p50_rep05_seed59.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,0,0.0069485159999658,0.0215360192782094,0.0092355780982215,0.924800912630873,0.8872193289507384,46.27421725637311,0.0200356925562761,0.1017015763876332,0.98992004836491,0.0,0.0,missing_p50_rep05_seed59.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,6,60,NJstar_STRICT_completed_p50_rep06_seed60.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,0,0.0105404100002033,0.0189053621089146,0.0121947307953772,0.9327384515923912,0.8830359429693503,78.57061310393546,0.0300590545590967,0.1726826661624955,1.6808198978924136,0.0,0.0,missing_p50_rep06_seed60.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,7,61,NJstar_STRICT_completed_p50_rep07_seed61.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,0,0.0073120039999139,0.029810390497967,0.0213863563058052,0.8655011896745458,0.8992572355502433,87.55538015973602,0.0352503173925972,0.1924294069444747,1.8730263049538012,0.0,0.0,missing_p50_rep07_seed61.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,8,62,NJstar_STRICT_completed_p50_rep08_seed62.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,0,0.0071413189998565,0.0415806323012199,0.0230559840118343,0.8155282282025809,0.8583625032015708,121.91670410556664,0.0449497795137946,0.2679488002320146,2.608100077760932,0.0,0.0,missing_p50_rep08_seed62.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,9,63,NJstar_STRICT_completed_p50_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,0,0.0079970629999479,0.0267658433759573,0.0177756212674112,0.8940096833257987,0.8508494834798941,87.53381636375192,0.0334749890170183,0.1923820139862679,1.872565001981452,0.0,0.0,missing_p50_rep09_seed63.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,12,66,NJstar_STRICT_completed_p50_rep12_seed66.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep12_seed66.csv,0.4952380952380952,105,52,53,0,0.0068969689998539,0.0178209300580696,0.0088014277699782,0.9654169172159512,0.985400836677196,39.42454327419323,0.0174051424865832,0.0866473478553697,0.8433885670833005,0.0,0.0,missing_p50_rep12_seed66.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,13,67,NJstar_STRICT_completed_p50_rep13_seed67.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep13_seed67.csv,0.4952380952380952,105,52,53,0,0.0074608050001643,0.0511073208904032,0.0294231885647008,0.6760367788984015,0.7895500725689406,66.62895620015658,0.0279413715337592,0.1464372663739705,1.425358297877605,0.0,0.0,missing_p50_rep13_seed67.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,14,68,NJstar_STRICT_completed_p50_rep14_seed68.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep14_seed68.csv,0.4952380952380952,105,52,53,0,0.0069233649999205,0.0328920005293796,0.0160011326714557,0.860926431749224,0.8803893110219414,52.3177455317806,0.0224661532456885,0.1149840561138035,1.1192060775491666,0.0,0.0,missing_p50_rep14_seed68.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,15,69,NJstar_STRICT_completed_p50_rep15_seed69.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep15_seed69.csv,0.4952380952380952,105,52,53,0,0.0072299470000416,0.0191953400724662,0.0077641790807608,0.9364320767795704,0.939554341330146,47.73894809510342,0.0205899554938362,0.1049207650441833,1.0212542666118494,0.0,0.0,missing_p50_rep15_seed69.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,17,71,NJstar_STRICT_completed_p50_rep17_seed71.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,0,0.0070572969998465,0.0326709551246103,0.0242693530219539,0.8447806034743498,0.8143088875608299,244.33685985995865,0.0638007473668536,0.5370040876043046,5.226970232469754,0.0,0.0,missing_p50_rep17_seed71.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
NJstar-STRICT,50,18,72,NJstar_STRICT_completed_p50_rep18_seed72.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep18_seed72.csv,0.4952380952380952,105,52,53,0,0.0067409190000944,0.034059105625932,0.0232126010563921,0.8206899198898137,0.8243831640058055,150.5748048158692,0.0515096972349162,0.3309336369579542,3.221167788534192,0.0,0.0,missing_p50_rep18_seed72.csv,method_specific,njstar_strict_outputs/tables/njstar_strict_all_masks_detailed.csv
