method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,best_start_pair,n_weighted_lsq_fits,n_graft_evaluations,nnls_backend
MW-proj,30,0.3,0.3047619047619048,11,65,105,32,73,27,True,True,True,True,,missing_p30_rep11_seed65.csv,MWproj_completed_p30_rep11_seed65.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep11_seed65.log,14.365929292000033,42.108116580785406,0.01790067355201074,0.09254531116656134,0.9007968426838269,46.74540871538672,0.02022617682793644,0.015798085317886186,0.008320187891924676,0.9365816537560543,0.9380498533724339,0.0,0.0,154.67426470819495,42.108116580785406,72.77626199793117,0,0,0,,ultrametric,2,32,0,0.0014457030863179266,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,12,66,105,32,73,27,True,True,True,True,,missing_p30_rep12_seed66.csv,MWproj_completed_p30_rep12_seed66.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep12_seed66.log,14.371230669000056,43.86137216690975,0.018508862261886038,0.0963986201470544,0.9383033194546085,46.74540871538672,0.02022617682793644,0.014336354997758293,0.007491871140710954,0.9770623388242033,0.9857038123167154,0.0,0.0,189.08960224478886,43.86137216690975,76.80392171425252,0,0,0,,ultrametric,2,32,0,0.0013971329865459672,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,13,67,105,32,73,27,True,True,True,True,,missing_p30_rep13_seed67.csv,MWproj_completed_p30_rep13_seed67.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep13_seed67.log,15.073446572999956,32.90383283248455,0.01475360631265539,0.07231611611535065,0.7038944302064455,46.74540871538672,0.02022617682793644,0.02988678709384924,0.015757181722667053,0.9270597739698914,0.971774193548387,0.0,0.0,96.15520044966246,32.90383283248455,65.78049582486202,0,0,0,,ultrametric,2,32,0,0.0019188454105852815,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,14,68,105,32,73,27,True,True,True,True,,missing_p30_rep14_seed68.csv,MWproj_completed_p30_rep14_seed68.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep14_seed68.log,12.36787209900001,40.87798142217801,0.017843611249707944,0.08984171741138024,0.8744812067227173,46.74540871538672,0.02022617682793644,0.004518618716917172,0.0035233926122843467,0.9964819013330408,0.9849706744868034,0.0,0.0,227.7098790202966,40.87798142217801,82.04821784717808,0,0,0,,ultrametric,2,32,0,0.0013348453558500648,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,15,69,105,32,73,27,True,True,True,True,,missing_p30_rep15_seed69.csv,MWproj_completed_p30_rep15_seed69.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep15_seed69.log,16.83085797800004,47.80503550971106,0.020268216970745857,0.10506601210925508,1.0226680399946007,46.74540871538672,0.02022617682793644,0.013769410877777692,0.005306415556524868,0.9566837223081468,0.9497800586510262,0.0,0.0,246.94781214793323,47.80503550971106,80.64164444547758,0,0,0,,ultrametric,2,32,0,0.0017385221671525634,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,16,70,105,32,73,27,True,True,True,True,,missing_p30_rep16_seed70.csv,MWproj_completed_p30_rep16_seed70.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep16_seed70.log,14.304512509000006,37.671844092400505,0.016782010258721728,0.08279526174153957,0.8058939931784239,46.74540871538672,0.02022617682793644,0.018063251455638207,0.00881714081442881,0.9465624032597598,0.9127565982404691,0.0,0.0,120.97050368077187,37.671844092400505,68.85865318721623,0,0,0,,ultrametric,2,32,0,0.0009595101484292084,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,17,71,105,32,73,27,True,True,True,True,,missing_p30_rep17_seed71.csv,MWproj_completed_p30_rep17_seed71.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep17_seed71.log,14.266997372999981,48.0492005387091,0.020633493090223196,0.1056026385466134,1.0278913343396059,46.74540871538672,0.02022617682793644,0.005750354349542671,0.004411209383668435,0.9949082301999606,0.9446480938416421,0.0,0.0,167.75540770450894,48.0492005387091,71.35758471444039,0,0,0,,ultrametric,2,32,0,0.0014412416854070545,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,18,72,105,32,73,27,True,True,True,True,,missing_p30_rep18_seed72.csv,MWproj_completed_p30_rep18_seed72.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep18_seed72.log,16.299572856000054,39.24779873180685,0.017085830582760163,0.08625889831166342,0.8396075638309275,46.74540871538672,0.02022617682793644,0.005245540699699056,0.004295300614335571,0.996668764530868,0.9842375366568914,0.0,0.0,145.2797152141275,39.24779873180685,72.9846670789796,0,0,0,,ultrametric,2,32,0,0.0013305537556145388,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,19,73,105,32,73,27,True,True,True,True,,missing_p30_rep19_seed73.csv,MWproj_completed_p30_rep19_seed73.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep19_seed73.log,14.389185920000045,35.400900200875405,0.01582551738381217,0.07780417626566023,0.7573128821360127,46.74540871538672,0.02022617682793644,0.008801010222183483,0.004318015434709013,0.9909037099367352,0.9890029325513194,0.0,0.0,156.17652711942142,35.400900200875405,77.33276513838351,0,0,0,,ultrametric,2,32,0,0.0012481632890862689,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,20,74,105,32,73,27,True,True,True,True,,missing_p30_rep20_seed74.csv,MWproj_completed_p30_rep20_seed74.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep20_seed74.log,14.667909863999967,42.92790852159655,0.017970445689652656,0.09434705169581659,0.918334221505403,46.74540871538672,0.02022617682793644,0.007656812875159768,0.004726270984048864,0.9835697331603405,0.9611436950146627,0.0,0.0,152.6081343130159,42.92790852159655,71.87049778516607,0,0,0,,ultrametric,2,32,0,0.0011214595263839625,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,21,75,105,32,73,27,True,True,True,True,,missing_p30_rep21_seed75.csv,MWproj_completed_p30_rep21_seed75.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep21_seed75.log,14.83032729699994,42.80365883332384,0.018617095999194023,0.09407397545785459,0.9156762131215377,46.74540871538672,0.02022617682793644,0.010348617690224772,0.0062510836958887045,0.9851119380179342,0.9765395894428152,0.0,0.0,136.9873614178363,42.80365883332384,68.75357084748504,0,0,0,,ultrametric,2,32,0,0.0021045165089246397,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,22,76,105,32,73,27,True,True,True,True,,missing_p30_rep22_seed76.csv,MWproj_completed_p30_rep22_seed76.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep22_seed76.log,17.19834644299999,42.04618897679697,0.01817971824061872,0.09240920654241092,0.8994720579468811,46.74540871538672,0.02022617682793644,0.005706720392955888,0.004352928005857857,0.9933588729815043,0.971041055718475,0.0,0.0,169.80849328431245,42.04618897679697,75.23905420537562,0,0,0,,ultrametric,2,32,0,0.0017193234548665468,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,23,77,105,32,73,27,True,True,True,True,,missing_p30_rep23_seed77.csv,MWproj_completed_p30_rep23_seed77.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep23_seed77.log,15.62567693799997,44.71127991292622,0.018848265883029184,0.0982665492591785,0.9564849498943209,46.74540871538672,0.02022617682793644,0.008579541226967446,0.005656597393246418,0.9824884077756205,0.9464809384164222,0.0,0.0,165.49638458278784,44.71127991292622,72.9835307123825,0,0,0,,ultrametric,2,32,0,0.001655301016856626,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,24,78,105,32,73,27,True,True,True,True,,missing_p30_rep24_seed78.csv,MWproj_completed_p30_rep24_seed78.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep24_seed78.log,15.588453447000006,38.38840332716543,0.017048420494940743,0.08437011720256138,0.8212229688886964,46.74540871538672,0.02022617682793644,0.02371597838352705,0.010512722422746458,0.9459723153998606,0.972873900293255,0.0,0.0,112.30575454724885,38.38840332716543,65.81795520458856,0,0,0,,ultrametric,2,32,0,0.0014359284307842615,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,25,79,105,32,73,27,True,True,True,True,,missing_p30_rep25_seed79.csv,MWproj_completed_p30_rep25_seed79.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep25_seed79.log,15.313151608999988,40.048788316266595,0.01754454978107748,0.0880193149808057,0.8567427137092104,46.74540871538672,0.02022617682793644,0.01382086253431805,0.005563345808677915,0.965395570700821,0.9736070381231671,0.0,0.0,141.6163803142745,40.048788316266595,71.72022881294488,0,0,0,,ultrametric,2,32,0,0.0012198291075258346,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,26,80,105,32,73,27,True,True,True,True,,missing_p30_rep26_seed80.csv,MWproj_completed_p30_rep26_seed80.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep26_seed80.log,13.116313492000018,41.43514318066748,0.01837300669783057,0.09106624874871974,0.886400275863428,46.74540871538672,0.02022617682793644,0.018603487186143294,0.008553778856571638,0.9516678050360324,0.9516129032258064,0.0,0.0,122.98758601152556,41.43514318066748,66.3094914499871,0,0,0,,ultrametric,2,32,0,0.001190230001904303,105,27,105,"(0, 2)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,27,81,105,32,73,27,True,True,True,True,,missing_p30_rep27_seed81.csv,MWproj_completed_p30_rep27_seed81.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep27_seed81.log,15.134514081000134,47.62583901217609,0.020372249753988894,0.10467217365313426,1.0188345833523444,46.74540871538672,0.02022617682793644,0.00414932107784314,0.003310387371654487,0.9979398885757661,0.9802052785923753,0.0,0.0,248.00027235437696,47.62583901217609,80.79605374621454,0,0,0,,ultrametric,2,32,0,0.001782465602925555,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,28,82,105,32,73,27,True,True,True,True,,missing_p30_rep28_seed82.csv,MWproj_completed_p30_rep28_seed82.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep28_seed82.log,15.898410581999997,38.112224198791274,0.0169221108571052,0.08376313010723357,0.8153148137144482,46.74540871538672,0.02022617682793644,0.010360528248016636,0.005931772313935194,0.9851063949136006,0.9670087976539589,0.0,0.0,156.68465377724513,38.112224198791274,75.67584107313118,0,0,0,,ultrametric,2,32,0,0.0013843597750401579,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,29,83,105,32,73,27,True,True,True,True,,missing_p30_rep29_seed83.csv,MWproj_completed_p30_rep29_seed83.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep29_seed83.log,13.364231851000113,48.28730637030204,0.020208167207672826,0.10612594806659789,1.0329850074539575,46.74540871538672,0.02022617682793644,0.00904172420932085,0.004312046704536781,0.9882369541025307,0.9820381231671553,0.0,0.0,199.92129525491697,48.28730637030204,75.84684197412209,0,0,0,,ultrametric,2,32,0,0.0015533814246342322,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,30,84,105,32,73,27,True,True,True,True,,missing_p30_rep30_seed84.csv,MWproj_completed_p30_rep30_seed84.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep30_seed84.log,18.17717536600003,41.006656946185274,0.017727381853189474,0.09012452076084676,0.8772338946880899,46.74540871538672,0.02022617682793644,0.017713666036431146,0.008646598956352112,0.9445182607735578,0.9428152492668621,0.0,0.0,135.44177060970947,41.006656946185274,69.7237737209221,0,0,0,,ultrametric,2,32,0,0.0013062690991632185,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,1,55,105,52,53,27,True,True,True,True,,missing_p50_rep01_seed55.csv,MWproj_completed_p50_rep01_seed55.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep01_seed55.log,11.555720327000017,29.421107176848686,0.01325828936255258,0.06466177401505206,0.6293903077408419,46.74540871538672,0.02022617682793644,0.038862221377709276,0.021538093968397065,0.8547922856802164,0.8866217023819688,0.0,0.0,87.2662918380153,29.421107176848686,66.28582863190694,0,0,0,,ultrametric,2,52,0,0.002867697938830435,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,2,56,105,52,53,27,True,True,True,True,,missing_p50_rep02_seed56.csv,MWproj_completed_p50_rep02_seed56.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep02_seed56.log,13.40996779000011,36.23400240585743,0.0161829801676094,0.07963517012276358,0.7751350004547215,46.74540871538672,0.02022617682793644,0.026994247873000175,0.015225967425725018,0.9524131179949157,0.9710577990267225,0.0,0.0,113.52431182943447,36.23400240585743,68.08260554770197,0,0,0,,ultrametric,2,52,0,0.0021933175340533447,105,27,105,"(0, 10)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,3,57,105,52,53,27,True,True,True,True,,missing_p50_rep03_seed57.csv,MWproj_completed_p50_rep03_seed57.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep03_seed57.log,11.966194761999986,27.21079174697563,0.012149666636262083,0.059803937905440946,0.5821061895650711,46.74540871538672,0.02022617682793644,0.021556335504969083,0.011715377569071555,0.9221165478872065,0.9087338854264492,0.0,0.0,122.46613715751425,27.21079174697563,77.78096674023655,0,0,0,,ultrametric,2,52,0,0.0007913255588291401,105,27,105,"(7, 12)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,4,58,105,52,53,27,True,True,True,True,,missing_p50_rep04_seed58.csv,MWproj_completed_p50_rep04_seed58.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep04_seed58.log,13.70459659800008,32.15232667635941,0.014414802769045136,0.07066445423375695,0.6878178533451595,46.74540871538672,0.02022617682793644,0.01791450269560771,0.00975261166934968,0.9552640157801272,0.9364808332621872,0.0,0.0,105.41593421448431,32.15232667635941,69.49955723871805,0,0,0,,ultrametric,2,52,0,0.0025399153413319907,105,27,105,"(2, 5)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,5,59,105,52,53,27,True,True,True,True,,missing_p50_rep05_seed59.csv,MWproj_completed_p50_rep05_seed59.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep05_seed59.log,18.712492667999868,40.321698697302395,0.017364268862597277,0.08861911801604921,0.862580942286854,46.74540871538672,0.02022617682793644,0.01707079971442794,0.008562501110084466,0.9488101357772505,0.9316144454879194,0.0,0.0,178.77214482810564,40.321698697302395,77.44520057301276,0,0,0,,ultrametric,2,52,0,0.0012004598953361677,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,6,60,105,52,53,27,True,True,True,True,,missing_p50_rep06_seed60.csv,MWproj_completed_p50_rep06_seed60.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep06_seed60.log,15.298492400999976,36.127977957136,0.0158256268701182,0.07940214935634285,0.772866875057274,46.74540871538672,0.02022617682793644,0.007634820060028893,0.004931682073118111,0.9887002287790203,0.9518483736019806,0.0,0.0,150.33136768239433,36.127977957136,75.96777138789575,0,0,0,,ultrametric,2,52,0,0.001499822851139058,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,7,61,105,52,53,27,True,True,True,True,,missing_p50_rep07_seed61.csv,MWproj_completed_p50_rep07_seed61.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep07_seed61.log,12.079278579999936,29.613906389926974,0.013413357252514893,0.06508550854929006,0.6335147601389837,46.74540871538672,0.02022617682793644,0.0332630003187146,0.0157318714600937,0.8696581120822205,0.9383590881926065,0.0,0.0,85.6717299534607,29.613906389926974,65.4332807263095,0,0,0,,ultrametric,2,52,0,0.0012589027911259806,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,8,62,105,52,53,27,True,True,True,True,,missing_p50_rep08_seed62.csv,MWproj_completed_p50_rep08_seed62.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep08_seed62.log,16.949594826000066,35.3766993412838,0.015678205924646825,0.07775098756326111,0.7567951658456503,46.74540871538672,0.02022617682793644,0.010441365164473006,0.006236574495275129,0.9778649863420439,0.9504823700162213,0.0,0.0,153.08884170448022,35.3766993412838,76.89139264011527,0,0,0,,ultrametric,2,52,0,0.0011003272356249958,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,9,63,105,52,53,27,True,True,True,True,,missing_p50_rep09_seed63.csv,MWproj_completed_p50_rep09_seed63.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep09_seed63.log,15.68528746600009,33.23263995762693,0.014887095456300393,0.07303876913764161,0.7109284285001464,46.74540871538672,0.02022617682793644,0.018079512501213302,0.010242926618201066,0.9572027171014189,0.9225646717322633,0.0,0.0,134.6843392424319,33.23263995762693,75.32553514049755,0,0,0,,ultrametric,2,52,0,0.001883374208326647,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,10,64,105,52,53,27,True,True,True,True,,missing_p50_rep10_seed64.csv,MWproj_completed_p50_rep10_seed64.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep10_seed64.log,14.206468235000102,26.091895004745624,0.011837560365675206,0.05734482418625412,0.5581702186755555,46.74540871538672,0.02022617682793644,0.03380993110957102,0.016550168132667686,0.8703765131329139,0.9539827542047298,0.0,0.0,107.06149069833141,26.091895004745624,75.62905687698193,0,0,0,,ultrametric,2,52,0,0.0012359833685960538,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,11,65,105,52,53,27,True,True,True,True,,missing_p50_rep11_seed65.csv,MWproj_completed_p50_rep11_seed65.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep11_seed65.log,13.549390820000099,36.14141459589713,0.015085627185906551,0.07943168043054315,0.7731543180197036,46.74540871538672,0.02022617682793644,0.01838254390923094,0.01052444162194848,0.936428755149902,0.9264065568172115,0.0,0.0,167.2245234755545,36.14141459589713,78.38749135309664,0,0,0,,ultrametric,2,52,0,0.0014144111860093932,105,27,105,"(0, 5)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,12,66,105,52,53,27,True,True,True,True,,missing_p50_rep12_seed66.csv,MWproj_completed_p50_rep12_seed66.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep12_seed66.log,16.409112264999976,37.460420168950044,0.01587029652569361,0.08233059377791219,0.8013711121242068,46.74540871538672,0.02022617682793644,0.017267320603404267,0.009054035387571333,0.9695989111984279,0.9845470844360967,0.0,0.0,112.98654567308313,37.460420168950044,66.84523812477767,0,0,0,,ultrametric,2,52,0,0.0016885676699525082,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,13,67,105,52,53,27,True,True,True,True,,missing_p50_rep13_seed67.csv,MWproj_completed_p50_rep13_seed67.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep13_seed67.log,18.510429447999968,28.6178916458955,0.012962231256563945,0.06289646515581429,0.6122075393572425,46.74540871538672,0.02022617682793644,0.0423239876057158,0.023127399985664814,0.802164163565735,0.8440194655510971,0.0,0.0,75.57226351567445,28.6178916458955,62.13175268998015,0,0,0,,ultrametric,2,52,0,0.004926869758424699,105,27,105,"(0, 3)",20580,17745,scipy.optimize.nnls
