Method,nRF_vs_ML,patristic_RMSE_raw,patristic_MAE_raw,patristic_scale_to_ML,patristic_RMSE_scaled,patristic_MAE_scaled,patristic_Pearson,patristic_Spearman,num_splits_ML,num_splits_method
Hyb-Adam-UM,0.5,0.15387295612057858,0.1368547571344224,2.127128032873069,0.051602732644619904,0.03678904186471001,0.9020535727599681,0.8786750984864192,12,12
MW*,0.5,0.15409637745352617,0.13718502071430091,2.1330638127204593,0.05112697780781377,0.03615448508471236,0.9016304694978005,0.8818370308936345,12,12
LRMC,0.9166666666666666,0.1779397796762934,0.15685591262968154,2.38296727861234,0.09154392232117457,0.07429175413368017,0.6198430302872215,0.625253991291727,12,12
NJ*,0.6666666666666666,0.15378574285283605,0.13746433917116155,2.0851723057656275,0.060380516051991046,0.03865807208331974,0.8339760768432101,0.7751814223512337,12,12
