method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,embedding_dim,full_dim,max_iter,tol,init_method,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,stress_init,stress_final,stress_reduction_percent,best_epoch,epochs_used,convergence_epoch,last_rel_change,n_success,n_failed
MDS-SMACOF,65,0.65,0.6505747126436782,1,55,435,283,152,870,283,True,True,True,,missing_p65_rep01_seed55.csv,MDS_SMACOF_completed_p65_rep01_seed55.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06434268599878123,0.024746630239341625,0.01693069602138569,0.8080429482066085,0.8671030770745819,0.0,0.0,0.06300543407509147,4.892744391445677e-10,99.99999922344088,1000,1000,1000,0.007215205610214109,5,0
MDS-SMACOF,65,0.65,0.6505747126436782,2,56,435,283,152,870,283,True,True,True,,missing_p65_rep02_seed56.csv,MDS_SMACOF_completed_p65_rep02_seed56.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.03174143499927595,0.034362768185579956,0.023850422307857392,0.6962943216834577,0.7954813309599723,0.0,0.0,0.02829303514116243,1.4879757289984504e-18,100.0,483,483,483,9.580374043916241e-08,5,0
MDS-SMACOF,65,0.65,0.6505747126436782,3,57,435,283,152,870,283,True,True,True,,missing_p65_rep03_seed57.csv,MDS_SMACOF_completed_p65_rep03_seed57.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06594359599876043,0.025440708208309955,0.017102536035699258,0.8137467639352299,0.8452520248927592,0.0,0.0,0.06015609322206914,5.883037422835568e-18,99.99999999999999,1000,1000,1000,1.2930433141462277e-07,5,0
MDS-SMACOF,65,0.65,0.6505747126436782,4,58,435,283,152,870,283,True,True,True,,missing_p65_rep04_seed58.csv,MDS_SMACOF_completed_p65_rep04_seed58.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06301470800099196,0.025537087361581733,0.01676016846500617,0.8149239634654312,0.8730964843266046,0.0,0.0,0.0605450695339133,3.4706268596138185e-18,99.99999999999999,922,922,922,9.965514174214992e-08,5,0
MDS-SMACOF,65,0.65,0.6505747126436782,5,59,435,283,152,870,283,True,True,True,,missing_p65_rep05_seed59.csv,MDS_SMACOF_completed_p65_rep05_seed59.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06465059100082726,0.03132403615571048,0.020885013501163282,0.7152591489457395,0.7626134220555268,0.0,0.0,0.037348564311789456,1.0663115182411335e-15,99.99999999999713,1000,1000,1000,2.6273305176383903e-05,5,0
MDS-SMACOF,85,0.85,0.8505747126436781,1,55,435,370,65,870,370,True,True,True,,missing_p85_rep01_seed55.csv,MDS_SMACOF_completed_p85_rep01_seed55.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.025611052999011008,0.032792113324945804,0.02617393103265934,0.6299371111191184,0.6272986417487109,0.0,0.0,0.017275589243522963,1.0950493705623016e-18,100.0,364,364,364,9.688783244147916e-08,5,0
MDS-SMACOF,85,0.85,0.8505747126436781,2,56,435,370,65,870,370,True,True,True,,missing_p85_rep02_seed56.csv,MDS_SMACOF_completed_p85_rep02_seed56.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.007651353000255767,0.036012423858439925,0.02763677568018315,0.5883701908751661,0.6082751872903737,0.0,0.0,0.007313185555218717,2.569580094091342e-19,100.0,124,124,124,7.778224145022009e-08,5,0
MDS-SMACOF,85,0.85,0.8505747126436781,3,57,435,370,65,870,370,True,True,True,,missing_p85_rep03_seed57.csv,MDS_SMACOF_completed_p85_rep03_seed57.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.007885761999204988,0.032537699270044,0.0246958039772838,0.6846370133896806,0.741287747546376,0.0,0.0,0.011655327201927943,6.1914642997235625e-19,100.0,129,129,129,9.047746181022556e-08,5,0
MDS-SMACOF,85,0.85,0.8505747126436781,4,58,435,370,65,870,370,True,True,True,,missing_p85_rep04_seed58.csv,MDS_SMACOF_completed_p85_rep04_seed58.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.017052492999937385,0.03302747448858126,0.024409664836798697,0.6480377405402222,0.7095909136406144,0.0,0.0,0.010466917846158563,6.759105602295961e-19,100.0,226,226,226,9.901980576873277e-08,5,0
MDS-SMACOF,85,0.85,0.8505747126436781,5,59,435,370,65,870,370,True,True,True,,missing_p85_rep05_seed59.csv,MDS_SMACOF_completed_p85_rep05_seed59.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.020851609000601457,0.036860413852847836,0.026890783651918188,0.5522136416905276,0.6226154495827759,0.0,0.0,0.004679034749020461,9.200164715762409e-19,99.99999999999997,315,315,315,9.656538238590579e-08,5,0
