method,pct_missing,n_total,n_success,n_failed,missingness_actual_mean,missingness_actual_std,n_missing_mean,n_missing_std,n_observed_mean,n_observed_std,optimized_variables_mean,optimized_variables_std,imputed_variables_mean,imputed_variables_std,RMSE_miss_mean,RMSE_miss_std,MAE_miss_mean,MAE_miss_std,Pearson_miss_mean,Pearson_miss_std,Spearman_miss_mean,Spearman_miss_std,runtime_seconds_mean,runtime_seconds_std,max_abs_error_observed_mean,max_abs_error_observed_std,mean_abs_error_observed_mean,mean_abs_error_observed_std,embedding_dim_mean,embedding_dim_std,stress_init_mean,stress_init_std,stress_final_mean,stress_final_std,stress_reduction_percent_mean,stress_reduction_percent_std,best_epoch_mean,best_epoch_std,epochs_used_mean,epochs_used_std,convergence_epoch_mean,convergence_epoch_std,last_rel_change_mean,last_rel_change_std
MDS-SMACOF,30,5,5,0,0.2988505747126437,0.0,130.0,0.0,305.0,0.0,870.0,0.0,130.0,0.0,0.019239018265973396,0.00449141528441376,0.011146669773419115,0.0021058479534521953,0.8991878679163042,0.045917085835174606,0.944400169331822,0.024948809545828506,0.06683111879974604,0.004427618546340683,0.0,0.0,0.0,0.0,29.0,0.0,0.10451181537292227,0.006084651206195452,4.881194795453353e-06,4.835384637022494e-06,99.99534135202519,0.004595745251187232,1000.0,0.0,1000.0,0.0,1000.0,0.0,0.0011634739911655818,0.0009537123334452131
MDS-SMACOF,50,5,5,0,0.5011494252873563,0.0,218.0,0.0,217.0,0.0,870.0,0.0,218.0,0.0,0.027204262376505233,0.0034060291544325237,0.01689901082815602,0.0024132451252924896,0.783756537266421,0.053080375578648004,0.8564037461725438,0.04875995740263837,0.06586716180063376,0.0021461662235976314,0.0,0.0,0.0,0.0,29.0,0.0,0.07425226702861207,0.010761866728486901,5.217374502029066e-07,1.1651893719503894e-06,99.99929433227062,0.001575798467941762,1000.0,0.0,1000.0,0.0,1000.0,0.0,0.007618976701557517,0.004580803050618299
MDS-SMACOF,65,5,5,0,0.6505747126436782,0.0,283.0,0.0,152.0,0.0,870.0,0.0,283.0,0.0,0.028282246030104752,0.004310917801913192,0.01910576726622236,0.0031592393328137326,0.7696534292472934,0.05875307436703208,0.8287092678618888,0.04793414494164036,0.057938603199727365,0.014681633323033126,0.0,0.0,0.0,0.0,29.0,0.0,0.04986963925680516,0.01592680300021697,9.785510325954518e-11,2.1881006068716716e-10,99.9999998446876,3.4728747171213757e-07,881.0,225.0377746068424,881.0,225.0377746068424,881.0,225.0377746068424,0.0014483607357208177,0.003223784197808936
MDS-SMACOF,85,5,5,0,0.850574712643678,1.2412670766236366e-16,370.0,0.0,65.0,0.0,870.0,0.0,370.0,0.0,0.03424602495897176,0.0020293037789079513,0.02596139183576863,0.0013897322036225497,0.6206391395229429,0.05161442936189684,0.6618135879617701,0.05956708571355053,0.01581045399980212,0.00794322538060519,0.0,0.0,0.0,0.0,29.0,0.0,0.010278010919169729,0.0047706789864729975,7.134161683499258e-19,3.1897299705537203e-19,100.0,1.4210854715202004e-14,231.6,107.95971470877458,231.6,107.95971470877458,231.6,107.95971470877458,9.214654477131267e-08,8.636647196762972e-09
