method,pct_missing,n_replicates,n_success_tree,n_failed_tree,RF_mean,RF_std,nRF_mean,nRF_std,shared_splits_mean,shared_splits_std,ref_splits_mean,ref_splits_std,est_splits_mean,est_splits_std,split_precision_mean,split_precision_std,split_recall_mean,split_recall_std,split_F1_mean,split_F1_std,nj_vs_ML_pat_MAE_mean,nj_vs_ML_pat_MAE_std,nj_vs_ML_pat_RMSE_mean,nj_vs_ML_pat_RMSE_std,nj_vs_ML_pat_Pearson_mean,nj_vs_ML_pat_Pearson_std,nj_vs_ML_pat_Spearman_mean,nj_vs_ML_pat_Spearman_std,input_vs_ML_pat_MAE_mean,input_vs_ML_pat_MAE_std,input_vs_ML_pat_RMSE_mean,input_vs_ML_pat_RMSE_std,input_vs_ML_pat_Pearson_mean,input_vs_ML_pat_Pearson_std,input_vs_ML_pat_Spearman_mean,input_vs_ML_pat_Spearman_std,missingness_actual_mean,missingness_actual_std,n_missing_mean,n_missing_std,n_observed_mean,n_observed_std,optimized_variables_mean,optimized_variables_std,RMSE_miss_mean,RMSE_miss_std,MAE_miss_mean,MAE_miss_std,Pearson_miss_mean,Pearson_miss_std,Spearman_miss_mean,Spearman_miss_std,runtime_seconds_mean,runtime_seconds_std,iters_used_mean,iters_used_std,epochs_used_mean,epochs_used_std,convergence_epoch_mean,convergence_epoch_std,final_rank_mean,final_rank_std
LRMC-SoftImpute,30,30,30,0,21.066666666666666,3.0505322693649353,0.8777777777777779,0.12710551122353897,1.4666666666666666,1.5252661346824676,12.0,0.0,12.0,0.0,0.12222222222222223,0.12710551122353897,0.12222222222222223,0.12710551122353897,0.17460317460317462,0.1175701974258414,0.4320126863802078,0.0027839863140562476,0.48599231574877627,0.003895031895993022,0.5907768517897287,0.07056627788661639,0.6224929158891424,0.0732575538534559,0.43179095297603104,0.002529058265558203,0.48378927355640633,0.0032928122262253397,0.6272532178076855,0.04658697983464814,0.6484249084249083,0.047565175914947695,0.30476190476190484,5.646012854083702e-17,32.0,0.0,73.0,0.0,32.0,0.0,0.10602172269762734,0.007948703428783682,0.09136673088759463,0.008219554081339493,0.4006088614706224,0.1500990727389093,0.3470430107526881,0.13904781484151546,0.05817924936669287,0.03912608424533373,1499.3666666666666,1100.669027998609,1499.3666666666666,1100.669027998609,1499.3666666666666,1100.669027998609,9.666666666666666,0.47946330148538413
LRMC-SoftImpute,50,30,30,0,22.4,2.1908902300206643,0.9333333333333332,0.09128709291752765,0.8,1.0954451150103324,12.0,0.0,12.0,0.0,0.06666666666666667,0.09128709291752769,0.06666666666666667,0.09128709291752769,0.13333333333333333,0.08796644381862459,0.4506437525159273,0.004582814651769262,0.5056803025092311,0.006149261854559209,0.4627933770066131,0.09217838117715986,0.4720844564240791,0.10068409680341436,0.4512801141771614,0.003822340902790254,0.5054145502153167,0.005816370091503724,0.4763860693873481,0.08489281458653328,0.477225101942083,0.08900567810758701,0.4952380952380952,0.0,52.0,0.0,53.0,0.0,52.0,0.0,0.11456562254369282,0.00806726721651932,0.09875583246874253,0.007432554038994908,0.30597054615270763,0.13281010828391102,0.2758473490992914,0.1480938327923201,0.07965795820000492,0.04545164241343791,2171.2,1257.4779740307238,2171.2,1257.4779740307238,2171.2,1257.4779740307238,7.833333333333333,0.461133037377414
LRMC-SoftImpute,65,30,30,0,22.866666666666667,1.1366415543118709,0.9527777777777778,0.04736006476299463,0.5666666666666667,0.5683207771559354,12.0,0.0,12.0,0.0,0.047222222222222214,0.04736006476299462,0.047222222222222214,0.04736006476299462,0.08854166666666666,0.020833333333333332,0.4747458995562926,0.005925979380034011,0.5320828762510441,0.007450040531022835,0.2853869767236319,0.1205993025415705,0.28728281152809454,0.12944022839395575,0.47670449302147727,0.005481441799373438,0.533490618542881,0.0064802619107855374,0.31162070339756304,0.08615715571419577,0.29491384917476376,0.09586798095414883,0.6476190476190479,2.2584051416334807e-16,68.0,0.0,37.0,0.0,68.0,0.0,0.1334204608228699,0.009548566564876904,0.11578491245992234,0.007995005480808426,0.17870008700317758,0.10429765426532976,0.16232053819344153,0.1016893851856986,0.09970961200000751,0.056973796089324985,2666.633333333333,1537.6816737820143,2666.633333333333,1537.6816737820143,2666.633333333333,1537.6816737820143,6.1,0.48066046515042266
LRMC-SoftImpute,85,30,30,0,23.866666666666667,0.5074162634049248,0.9944444444444444,0.021142344308538542,0.06666666666666667,0.2537081317024624,12.0,0.0,12.0,0.0,0.005555555555555555,0.021142344308538532,0.005555555555555555,0.021142344308538532,0.08333333333333333,0.0,0.5448148474504152,0.01639638219567873,0.6020787233676195,0.016098920201212657,0.07614312744191708,0.16084707960301922,0.07684378144937165,0.1639106875692985,0.5460806247197115,0.015105807724800845,0.604434023357936,0.015864233132763347,0.09872880886170105,0.11779803006491263,0.04285892237803126,0.15286344092298174,0.8476190476190477,1.1292025708167404e-16,89.0,0.0,16.0,0.0,89.0,0.0,0.18789711465235692,0.01543509001763839,0.1692846121246731,0.01729255058443779,0.025300660040229645,0.12384529305240152,-0.004766448389257788,0.16110009144246543,0.15506342693335376,0.06736254675649442,4282.366666666667,1791.2190124534497,4282.366666666667,1791.2190124534497,4282.366666666667,1791.2190124534497,5.166666666666667,1.11674815279973
