method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,iters_used,epochs_used,convergence_epoch,final_rank,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
LRMC-SoftImpute,30,13,67,LRMC_SoftImpute_completed_p30_rep13_seed67.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep13_seed67.csv,0.3047619047619048,105,32,73,32,0.1040540003545375,0.0876410736988229,0.5580031338834353,0.4076246334310849,0.0465381840001555,True,True,True,1178,1178,1178,9,0.1365291717710071,54.36850067052811,0.0,0.0,missing_p30_rep13_seed67.csv,LRMC_SoftImpute_completed_p30_rep13_seed67.csv,
LRMC-SoftImpute,30,14,68,LRMC_SoftImpute_completed_p30_rep14_seed68.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep14_seed68.csv,0.3047619047619048,105,32,73,32,0.0995154452576343,0.0830157002112532,0.4781300311616706,0.4263196480938416,0.0398875179998867,True,True,True,1049,1049,1049,9,0.1260607735237105,14.566342621422768,0.0,0.0,missing_p30_rep14_seed68.csv,LRMC_SoftImpute_completed_p30_rep14_seed68.csv,
LRMC-SoftImpute,30,15,69,LRMC_SoftImpute_completed_p30_rep15_seed69.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,32,0.100626020464257,0.0868135026053775,0.3938615527825104,0.3339442815249266,0.1308315819999279,True,True,True,3365,3365,3365,10,0.1210352589138313,13.19744797813704,0.0,0.0,missing_p30_rep15_seed69.csv,LRMC_SoftImpute_completed_p30_rep15_seed69.csv,
LRMC-SoftImpute,30,16,70,LRMC_SoftImpute_completed_p30_rep16_seed70.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,32,0.1120879074257028,0.1019817612254367,0.2844025116707631,0.4259530791788856,0.0515737650000573,True,True,True,1377,1377,1377,9,0.1404499758921714,24.440419699836458,0.0,0.0,missing_p30_rep16_seed70.csv,LRMC_SoftImpute_completed_p30_rep16_seed70.csv,
LRMC-SoftImpute,30,17,71,LRMC_SoftImpute_completed_p30_rep17_seed71.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,32,0.106607219416577,0.0913785003521305,0.5573047704581994,0.4171554252199413,0.1168906909999805,True,True,True,3099,3099,3099,10,0.1380908559196492,21.359672245797352,0.0,0.0,missing_p30_rep17_seed71.csv,LRMC_SoftImpute_completed_p30_rep17_seed71.csv,
LRMC-SoftImpute,30,18,72,LRMC_SoftImpute_completed_p30_rep18_seed72.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,32,0.0963143101931236,0.083929433481545,0.3981955079344345,0.3980938416422287,0.2094138599998132,True,True,True,6000,6000,6000,10,0.1111027297440054,11.130731583554914,0.0,0.0,missing_p30_rep18_seed72.csv,LRMC_SoftImpute_completed_p30_rep18_seed72.csv,
LRMC-SoftImpute,30,19,73,LRMC_SoftImpute_completed_p30_rep19_seed73.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,32,0.1078163152093704,0.0902803905184059,0.4422739262737622,0.4035923753665689,0.03213305700001,True,True,True,891,891,891,10,0.1349830206231223,18.335518539295947,0.0,0.0,missing_p30_rep19_seed73.csv,LRMC_SoftImpute_completed_p30_rep19_seed73.csv,
LRMC-SoftImpute,30,20,74,LRMC_SoftImpute_completed_p30_rep20_seed74.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,32,0.1125105279459959,0.0992684326150225,0.4084229303787127,0.3203812316715542,0.0274441530000331,True,True,True,805,805,805,10,0.1295880547234142,13.56369144186047,0.0,0.0,missing_p30_rep20_seed74.csv,LRMC_SoftImpute_completed_p30_rep20_seed74.csv,
LRMC-SoftImpute,30,21,75,LRMC_SoftImpute_completed_p30_rep21_seed75.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,32,0.1115505529639346,0.1037354547577631,0.5626946227620628,0.4886363636363636,0.0325214849999611,True,True,True,893,893,893,10,0.1362544637905426,14.2879961052644,0.0,0.0,missing_p30_rep21_seed75.csv,LRMC_SoftImpute_completed_p30_rep21_seed75.csv,
LRMC-SoftImpute,30,22,76,LRMC_SoftImpute_completed_p30_rep22_seed76.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,32,0.1209384730397505,0.1016331080697071,-0.0262372401527099,0.0410557184750733,0.0310754760000691,True,True,True,879,879,879,9,0.1287721984245781,14.930583666975652,0.0,0.0,missing_p30_rep22_seed76.csv,LRMC_SoftImpute_completed_p30_rep22_seed76.csv,
