method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,completed_file,error_message
Hyb-Adam-UM,30,14,68,HybAdamUM_completed_p30_rep14_seed68.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep14_seed68.csv,0.3047619047619048,105,32,73,32,missing_p30_rep14_seed68.csv,0.0279115138734168,0.0120316633948488,0.7605371714524957,0.7434017595307918,21.732014945999254,True,True,True,5000,4500,0.0198200232194163,0.9569573472413424,0.0,0.0,HybAdamUM_completed_p30_rep14_seed68.csv,
Hyb-Adam-UM,30,15,69,HybAdamUM_completed_p30_rep15_seed69.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,32,missing_p30_rep15_seed69.csv,0.0124768585347788,0.0045953418849563,0.9441903219395392,0.9567448680351904,21.483998584997607,True,True,True,5000,5000,0.014606361512184,0.5758810790430717,0.0,0.0,HybAdamUM_completed_p30_rep15_seed69.csv,
Hyb-Adam-UM,30,16,70,HybAdamUM_completed_p30_rep16_seed70.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,32,missing_p30_rep16_seed70.csv,0.0117177670982504,0.0045865672865757,0.9666925488938548,0.943548387096774,21.415914564975537,True,True,True,5000,5000,0.0137265837744207,0.5340238150303636,0.0,0.0,HybAdamUM_completed_p30_rep16_seed70.csv,
Hyb-Adam-UM,30,17,71,HybAdamUM_completed_p30_rep17_seed71.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,32,missing_p30_rep17_seed71.csv,0.0206877254193145,0.0094936833312723,0.8883877247458692,0.7917888563049852,21.774084108998068,True,True,True,5000,5000,0.0152101456044203,0.6637862614975256,0.0,0.0,HybAdamUM_completed_p30_rep17_seed71.csv,
Hyb-Adam-UM,30,18,72,HybAdamUM_completed_p30_rep18_seed72.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,32,missing_p30_rep18_seed72.csv,0.0120517426738207,0.0036964013553899,0.935283563951904,0.9079912023460408,21.511628531006863,True,True,True,5000,5000,0.0184973633329179,0.8367557636989766,0.0,0.0,HybAdamUM_completed_p30_rep18_seed72.csv,
Hyb-Adam-UM,30,19,73,HybAdamUM_completed_p30_rep19_seed73.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,32,missing_p30_rep19_seed73.csv,0.0195739256051316,0.0063007464735483,0.7927719268049964,0.7364369501466275,21.48960775701562,True,True,True,5000,4500,0.0171430806178477,0.74668158495836,0.0,0.0,HybAdamUM_completed_p30_rep19_seed73.csv,
Hyb-Adam-UM,30,20,74,HybAdamUM_completed_p30_rep20_seed74.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,32,missing_p30_rep20_seed74.csv,0.011862145077025,0.0036812465966202,0.9405944815697438,0.8651026392961876,21.39797969997744,True,True,True,5000,4500,0.0164441337195884,0.6823866885866028,0.0,0.0,HybAdamUM_completed_p30_rep20_seed74.csv,
Hyb-Adam-UM,30,21,75,HybAdamUM_completed_p30_rep21_seed75.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,32,missing_p30_rep21_seed75.csv,0.0023658384507376,0.0018572967223006,0.9985699768230252,0.9662756598240468,21.425866609992227,True,True,True,5000,4500,0.0161858474676898,0.6708911098480578,0.0,0.0,HybAdamUM_completed_p30_rep21_seed75.csv,
Hyb-Adam-UM,30,22,76,HybAdamUM_completed_p30_rep22_seed76.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,32,missing_p30_rep22_seed76.csv,0.0023171843702157,0.0018872682899559,0.9983869459423425,0.9534457478005866,21.593259329994908,True,True,True,5000,5000,0.0155446476600262,0.6502024159689946,0.0,0.0,HybAdamUM_completed_p30_rep22_seed76.csv,
Hyb-Adam-UM,30,23,77,HybAdamUM_completed_p30_rep23_seed77.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,32,missing_p30_rep23_seed77.csv,0.010427031669343,0.0033550072894559,0.9702690375197832,0.9303519061583576,21.827561001991853,True,True,True,5000,4500,0.01684745701123,0.7091642251263196,0.0,0.0,HybAdamUM_completed_p30_rep23_seed77.csv,
Hyb-Adam-UM,30,24,78,HybAdamUM_completed_p30_rep24_seed78.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,32,missing_p30_rep24_seed78.csv,0.0256532074890168,0.0103849808097599,0.8060261419142765,0.6092375366568915,21.81539023699588,True,True,True,5000,5000,0.0158606338779926,0.6689630389786186,0.0,0.0,HybAdamUM_completed_p30_rep24_seed78.csv,
Hyb-Adam-UM,30,25,79,HybAdamUM_completed_p30_rep25_seed79.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,32,missing_p30_rep25_seed79.csv,0.0128589858724779,0.0052693827301526,0.9572849045463628,0.9296187683284456,21.64191011199728,True,True,True,5000,5000,0.0123036454411479,0.4728126152438243,0.0,0.0,HybAdamUM_completed_p30_rep25_seed79.csv,
Hyb-Adam-UM,30,26,80,HybAdamUM_completed_p30_rep26_seed80.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,32,missing_p30_rep26_seed80.csv,0.0124021741837144,0.0051991138439105,0.9717685491332234,0.8984604105571847,21.35128968700883,True,True,True,5000,5000,0.0148765975619503,0.5896304131961808,0.0,0.0,HybAdamUM_completed_p30_rep26_seed80.csv,
Hyb-Adam-UM,30,27,81,HybAdamUM_completed_p30_rep27_seed81.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,32,missing_p30_rep27_seed81.csv,0.0017040977333987,0.0015053409242186,0.9986008084486868,0.8823313782991202,21.34753126002033,True,True,True,5000,4500,0.0172490725206117,0.7509158357322631,0.0,0.0,HybAdamUM_completed_p30_rep27_seed81.csv,
Hyb-Adam-UM,30,28,82,HybAdamUM_completed_p30_rep28_seed82.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,32,missing_p30_rep28_seed82.csv,0.0195895858392647,0.0063426184408685,0.8507466127322325,0.8189149560117301,21.285499210993294,True,True,True,5000,4500,0.0167750959064132,0.7012808654802775,0.0,0.0,HybAdamUM_completed_p30_rep28_seed82.csv,
Hyb-Adam-UM,30,29,83,HybAdamUM_completed_p30_rep29_seed83.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,32,missing_p30_rep29_seed83.csv,0.0164634017560867,0.00539445704138,0.8937496191584041,0.9424486803519062,21.438550707011014,True,True,True,5000,5000,0.0191668548039758,0.876793673716062,0.0,0.0,HybAdamUM_completed_p30_rep29_seed83.csv,
