method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
KNN-Impute,30,11,65,KNNimpute_completed_p30_rep11_seed65.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep11_seed65.csv,True,,KNN-Impute_NJ_p30_rep11_seed65.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0628580866840625,0.0537700877568261,0.7445321240751858,0.5436217008797654,0.0021327380000002,True,True,True,0,0,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T10|T8;T11|T14;T5|T6;T10|T7|T8;T11|T12|T14;T11|T12|T13|T14,T11|T12;T14|T15;T7|T8;T13|T14|T15;T7|T8|T9;T1|T2|T3|T4|T5,0.4200035261313188,0.4709933904384147,0.8401135245902376,0.8019593613933236,0.4211252399469787,0.4722513363105437,0.790201580657356,0.7273170226000414,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,12,66,KNNimpute_completed_p30_rep12_seed66.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep12_seed66.csv,True,,KNN-Impute_NJ_p30_rep12_seed66.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.061061435910213,0.0558469130958038,0.8960855748066499,0.7302052785923753,0.0024732419999509,True,True,True,0,0,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T11|T13;T12|T14;T2|T4;T5|T6;T2|T3|T4;T11|T12|T13|T14,T11|T12;T14|T15;T2|T3;T1|T2|T3;T13|T14|T15;T1|T2|T3|T4|T5,0.42027619721476445,0.4695841963454593,0.8580427399890372,0.8028405556707443,0.4216142516592432,0.4703760523293561,0.8304556950726786,0.7905764047273481,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,13,67,KNNimpute_completed_p30_rep13_seed67.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep13_seed67.csv,True,,KNN-Impute_NJ_p30_rep13_seed67.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0576425029179166,0.0495708190922052,0.8988879264431452,0.7247067448680351,0.0027744240001084,True,True,True,0,0,0.0,0.0,14.0,0.5833333333333334,5.0,12.0,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,T10|T13;T5|T6;T8|T9;T10|T13|T14;T11|T12|T15;T2|T3|T4;T10|T11|T12|T13|T14|T15,T14|T15;T7|T8;T1|T2|T3;T13|T14|T15;T10|T7|T8|T9;T1|T2|T3|T4|T5;T11|T12|T13|T14|T15,0.4172602431265839,0.46664105855989946,0.8214787609890017,0.6635600248807796,0.4198454628301419,0.46802148763909424,0.83837131009999,0.7849263943603566,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,14,68,KNNimpute_completed_p30_rep14_seed68.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep14_seed68.csv,True,,KNN-Impute_NJ_p30_rep14_seed68.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0599673928764438,0.0511897963230445,0.8442603498763775,0.7291055718475072,0.0022128509999674,True,True,True,0,0,0.0,0.0,16.0,0.6666666666666666,4.0,12.0,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,T10|T5;T13|T15;T3|T4;T8|T9;T2|T3|T4;T11|T12|T13|T15;T11|T12|T13|T14|T15|T6;T1|T2|T3|T4|T7|T8|T9,T14|T15;T2|T3;T7|T8;T1|T2|T3;T13|T14|T15;T10|T7|T8|T9;T1|T2|T3|T4|T5;T1|T2|T3|T4|T5|T6,0.4182148725360514,0.4662494875551852,0.849440637848618,0.8129794733568318,0.4203388654147786,0.46890905946571204,0.8332767687964437,0.793188886585113,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,15,69,KNNimpute_completed_p30_rep15_seed69.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep15_seed69.csv,True,,KNN-Impute_NJ_p30_rep15_seed69.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.062602606276776,0.0549713019357864,0.8171351476518877,0.7155425219941348,0.0024900530002014,True,True,True,0,0,0.0,0.0,14.0,0.5833333333333334,5.0,12.0,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,T10|T15;T7|T9;T11|T12|T13;T10|T15|T7|T9;T11|T12|T13|T14;T1|T2|T3|T4|T6;T1|T2|T3|T4|T5|T6|T8,T14|T15;T7|T8;T13|T14|T15;T7|T8|T9;T10|T7|T8|T9;T1|T2|T3|T4|T5;T11|T12|T13|T14|T15,0.4182659001040038,0.46773385220546676,0.8285580470232332,0.7339622641509433,0.4214913242681857,0.46950723261510086,0.841753277075502,0.8151565415716359,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,16,70,KNNimpute_completed_p30_rep16_seed70.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep16_seed70.csv,True,,KNN-Impute_NJ_p30_rep16_seed70.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0634445074635726,0.0478319222958499,0.8439973158414814,0.8830645161290323,0.00211000399986,True,True,True,0,0,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T1|T4;T13|T15;T5|T6;T10|T7|T8;T5|T6|T9;T1|T2|T3|T4|T5|T6|T9,T14|T15;T1|T2|T3;T7|T8|T9;T10|T7|T8|T9;T1|T2|T3|T4|T5;T1|T2|T3|T4|T5|T6,0.41916138622657373,0.4656159921122874,0.8676726239549708,0.9440700808625335,0.41931551333030026,0.4646525806019739,0.8734872414118948,0.9180696661828738,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,17,71,KNNimpute_completed_p30_rep17_seed71.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep17_seed71.csv,True,,KNN-Impute_NJ_p30_rep17_seed71.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0672552056331501,0.0565938990804254,0.7701980790993789,0.5274926686217009,0.0030092970000623,True,True,True,0,0,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T11|T14;T13|T15;T3|T4;T8|T9;T11|T12|T14;T2|T3|T4,T11|T12;T14|T15;T2|T3;T7|T8;T1|T2|T3;T13|T14|T15,0.4192292466837986,0.46964651598000334,0.8125287872764834,0.7414783329877669,0.42198583006464707,0.47255992060290547,0.7790362725356361,0.7266846361185983,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,18,72,KNNimpute_completed_p30_rep18_seed72.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep18_seed72.csv,True,,KNN-Impute_NJ_p30_rep18_seed72.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0634467551257175,0.0552161883572987,0.8019846177370034,0.6594574780058651,0.0024302609999722,True,True,True,0,0,0.0,0.0,10.0,0.4166666666666667,7.0,12.0,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,T11|T13;T12|T15;T5|T6;T10|T7|T8;T11|T12|T13|T15,T11|T12;T14|T15;T13|T14|T15;T7|T8|T9;T1|T2|T3|T4|T5,0.4188222017364858,0.47087994346414874,0.7915909028112332,0.7088534107402031,0.42150893044962373,0.47231911837320206,0.7966088864731462,0.7272859216255443,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,19,73,KNNimpute_completed_p30_rep19_seed73.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep19_seed73.csv,True,,KNN-Impute_NJ_p30_rep19_seed73.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.059492791685783,0.0520779808659524,0.8650236760745521,0.7767595307917888,0.0024944780000168,True,True,True,0,0,0.0,0.0,10.0,0.4166666666666667,7.0,12.0,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,T10|T7;T11|T13;T5|T6;T8|T9;T11|T12|T13,T11|T12;T7|T8;T13|T14|T15;T7|T8|T9;T1|T2|T3|T4|T5,0.42148128954902636,0.47059218220334587,0.87835586429959,0.8440078789135392,0.4206095502278553,0.4693678530568131,0.8335200865005351,0.7894982376114452,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,20,74,KNNimpute_completed_p30_rep20_seed74.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep20_seed74.csv,True,,KNN-Impute_NJ_p30_rep20_seed74.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0747525582142663,0.0657649822756632,0.7141644932526181,0.7452346041055719,0.0025035290000232,True,True,True,0,0,0.0,0.0,16.0,0.6666666666666666,4.0,12.0,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,T10|T8;T13|T14;T5|T6;T10|T7|T8;T11|T12|T4;T13|T14|T15|T9;T1|T2|T3|T5|T6;T10|T13|T14|T15|T7|T8|T9,T14|T15;T7|T8;T7|T8|T9;T1|T2|T3|T4;T10|T7|T8|T9;T1|T2|T3|T4|T5;T11|T12|T13|T14|T15;T1|T2|T3|T4|T5|T6,0.4241252944044454,0.47355755658838367,0.7930711497564086,0.7955732946298985,0.4247808268479577,0.47356745238759407,0.797751370791606,0.8101285506945883,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
